,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
feria,19,7.0,2.0,2.0,5.0,9.0,0.2333333333333333,0.34545454545454546,0.026550174757067994,0.026550174757067994,2.3684210526315788,FEMALE,1778
mela,19,7.0,3.0,3.0,4.0,8.0,0.024242424242424242,0.2803030303030302,0.0327378618032825,0.0327378618032825,1.6842105263157894,FEMALE,1778
mana,65,10.0,5.0,15.0,5.0,20.0,0.26060606060606056,0.2954545454545454,0.14299199091399814,0.14299199091399814,1.5384615384615385,FEMALE,1778
sora,85,10.0,5.0,14.0,5.0,21.0,0.08636363636363634,0.08636363636363636,0.0984281687801767,0.0984281687801767,1.2352941176470589,FEMALE,1778
mandandanens_kammerdiener,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0125,0.0125,1.0,MALE,1778
andrason,88,13.0,8.0,33.0,5.0,15.0,0.17878787878787875,0.1590909090909091,0.17958863707336858,0.17958863707336858,0.8522727272727272,MALE,1778
mandandane,11,5.0,2.0,3.0,3.0,3.0,0.23636363636363636,0.2681818181818182,0.02814003419634392,0.02814003419634392,0.8181818181818181,FEMALE,1778
prinz,41,4.0,2.0,6.0,2.0,8.0,0.007575757575757575,0.004545454545454545,0.10751978357973928,0.10751978357973928,0.3902439024390244,MALE,1778
lato,27,4.0,2.0,2.0,2.0,5.0,0.0,0.019696969696969695,0.019962400038813763,0.019962400038813763,0.37037037037037035,FEMALE,1778
proserpina,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.10775614629726853,0.10775614629726853,0.25,FEMALE,1778
merkulo,60,6.0,4.0,17.0,2.0,6.0,0.03636363636363636,0.00909090909090909,0.13176410147669965,0.13176410147669965,0.2,MALE,1778
die_parzen,5,3.0,2.0,2.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.11206070108324095,0.11206070108324095,0.2,,1778
