,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
daemon_der_unterdrueckung,15,4.0,1.0,3.0,6.0,0.047619047619047616,0.047619047619047616,0.06191142220034218,0.06191142220034218,1.2000000000000002,UNKNOWN,1815
epimenides,10,2.0,0.0,2.0,3.0,0.0,0.0,0.02943581357318071,0.02943581357318071,0.6,MALE,1815
heereszug,2,1.0,0.0,1.0,1.0,0.0,0.0,0.02943581357318071,0.02943581357318071,0.5,,1815
hofmann_und_daemon_der_list_allein,8,2.0,1.0,1.0,2.0,0.0,0.0,0.03820659838489585,0.03820659838489585,0.25,MALE,1815
liebe,15,3.0,2.0,1.0,1.0,0.0,0.0,0.3750746053729707,0.3750746053729707,0.06666666666666667,UNKNOWN,1815
glaube,15,4.0,3.0,1.0,1.0,0.023809523809523808,0.07142857142857142,0.3653633838537289,0.3653633838537289,0.06666666666666667,UNKNOWN,1815
erster_genius,8,1.0,1.0,0.0,0.0,0.0,0.0,0.046116107931316444,0.046116107931316444,0.0,UNKNOWN,1815
daemon_des_kriegs,4,1.0,1.0,0.0,0.0,0.0,0.0,0.05445625511038431,0.05445625511038431,0.0,UNKNOWN,1815
die_muse,2,,,,,,,,,,UNKNOWN,1815
pfaffe,7,,,,,,,,,,MALE,1815
jurist,2,,,,,,,,,,MALE,1815
diplomat,4,,,,,,,,,,MALE,1815
dame,2,,,,,,,,,,FEMALE,1815
lustige_person,1,,,,,,,,,,UNKNOWN,1815
hoffnung,6,,,,,,,,,,UNKNOWN,1815
zweiter_genius,1,,,,,,,,,,UNKNOWN,1815
chor_der_krieger,5,,,,,,,,,,,1815
jugendfuerst,3,,,,,,,,,,MALE,1815
landbewohner,1,,,,,,,,,,,1815
priester,2,,,,,,,,,,MALE,1815
die_einigkeit,1,,,,,,,,,,UNKNOWN,1815
chor_der_frauen,1,,,,,,,,,,,1815
