,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
eugenie,165,14.0,7.0,33.0,7.0,48.0,0.6041666666666666,0.611111111111111,0.20501779522808614,0.20501779522808614,2.036363636363636,FEMALE,1803
koenig,32,8.0,4.0,6.0,4.0,14.0,0.2222222222222222,0.3611111111111111,0.06743425501536736,0.06743425501536736,1.75,MALE,1803
gerichtsrat,71,4.0,2.0,18.0,2.0,25.0,0.0,0.0,0.08728945564277696,0.08728945564277696,0.704225352112676,MALE,1803
hofmeisterin,103,6.0,3.0,33.0,3.0,24.0,0.11805555555555555,0.041666666666666664,0.16782606929429322,0.16782606929429322,0.6990291262135923,FEMALE,1803
weltgeistlicher,36,4.0,2.0,10.0,2.0,11.0,0.027777777777777776,0.09722222222222221,0.11795490732269466,0.11795490732269466,0.6111111111111112,MALE,1803
herzog,81,7.0,4.0,20.0,3.0,15.0,0.21527777777777776,0.29166666666666663,0.12713404821173394,0.12713404821173394,0.5555555555555556,MALE,1803
sekretaer,45,5.0,2.0,18.0,3.0,7.0,0.048611111111111105,0.06944444444444445,0.14418336250113023,0.14418336250113023,0.4666666666666667,MALE,1803
gouverneur,10,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.022261087058087298,0.022261087058087298,0.2,MALE,1803
graf,7,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.03137684560965572,0.03137684560965572,0.14285714285714285,MALE,1803
moench,10,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.029522174116174593,0.029522174116174593,0.1,MALE,1803
