,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
egmont,158,18.0,7.0,11.0,54.0,0.35513888888888895,0.4280555555555556,0.1343120731205471,0.1343120731205471,3.759493670886076,MALE,1788
klare_klaerchen,87,11.0,5.0,6.0,31.0,0.03958333333333334,0.0,0.06909028203159626,0.06909028203159626,2.137931034482759,FEMALE,1788
alba,46,8.0,3.0,5.0,13.0,0.015000000000000001,0.04666666666666667,0.027789251995513395,0.027789251995513395,1.4130434782608694,MALE,1788
zimmermeister,41,12.0,7.0,5.0,11.0,0.29694444444444446,0.31222222222222223,0.08835342706150934,0.08835342706150934,1.3414634146341464,MALE,1788
soest,45,9.0,4.0,5.0,10.0,0.10361111111111113,0.24694444444444444,0.041318609485845426,0.041318609485845426,1.1111111111111112,MALE,1788
buerger_d,1,1.0,0.0,1.0,1.0,0.0,0.0,0.00716392104545922,0.00716392104545922,1.0,MALE,1788
ein_anderer_f,1,2.0,1.0,1.0,1.0,0.03333333333333333,0.08833333333333333,0.019556010295152425,0.019556010295152425,1.0,MALE,1788
ein_anderer_e,1,2.0,1.0,1.0,1.0,0.03166666666666667,0.08666666666666667,0.014578828226409116,0.014578828226409116,1.0,MALE,1788
vansen,40,9.0,4.0,5.0,7.0,0.15125000000000002,0.095,0.07270269082196322,0.07270269082196322,0.875,MALE,1788
brackenburg,31,6.0,3.0,3.0,8.0,0.012361111111111111,0.0625,0.030269304101541026,0.030269304101541026,0.7741935483870968,MALE,1788
jetter,69,10.0,6.0,4.0,13.0,0.08805555555555555,0.06777777777777778,0.07603745873851148,0.07603745873851148,0.7536231884057971,MALE,1788
ferdinand,36,6.0,3.0,3.0,9.0,0.06333333333333334,0.0775,0.0424478589920392,0.0424478589920392,0.75,MALE,1788
einige_andere_mehrere_das_volk_andere,10,5.0,3.0,2.0,3.0,0.125,0.13416666666666668,0.026170055617120887,0.026170055617120887,0.6,,1788
mutter,28,4.0,2.0,2.0,7.0,0.0,0.0,0.016855865688103048,0.016855865688103048,0.5,FEMALE,1788
regentin,38,4.0,2.0,2.0,9.0,0.0,0.0,0.050295333827487215,0.050295333827487215,0.47368421052631576,FEMALE,1788
machiavell,35,2.0,1.0,1.0,14.0,0.0,0.0,0.04515978035108912,0.04515978035108912,0.4,MALE,1788
gomez,12,4.0,2.0,2.0,2.0,0.03333333333333333,0.035833333333333335,0.0446228062663419,0.0446228062663419,0.3333333333333333,MALE,1788
buyck,16,3.0,1.0,2.0,2.0,0.0030555555555555557,0.001388888888888889,0.017107463664949554,0.017107463664949554,0.25,MALE,1788
oranien,37,2.0,1.0,1.0,8.0,0.0,0.0,0.043105126803431565,0.043105126803431565,0.21621621621621623,MALE,1788
ruysum,11,3.0,2.0,1.0,2.0,0.0016666666666666668,0.0,0.02145899047389478,0.02145899047389478,0.18181818181818182,MALE,1788
seifensieder,6,1.0,0.0,1.0,1.0,0.0,0.0,0.00716392104545922,0.00716392104545922,0.16666666666666666,MALE,1788
silva,24,5.0,4.0,1.0,4.0,0.015000000000000001,0.028333333333333335,0.04193130420210964,0.04193130420210964,0.16666666666666666,MALE,1788
sekretaer,28,2.0,1.0,1.0,4.0,0.0,0.0,0.019849052489449463,0.019849052489449463,0.14285714285714285,MALE,1788
ein_buerger_a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015992259901917032,0.015992259901917032,0.0,MALE,1788
alle_1-1,7,1.0,1.0,0.0,0.0,0.0,0.0,0.01067606385064247,0.01067606385064247,0.0,,1788
anderer_buerger_a,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015992259901917032,0.015992259901917032,0.0,MALE,1788
ein_buerger_b,1,,,,,,,,,,MALE,1788
ein_anderer_b,1,,,,,,,,,,MALE,1788
ein_buerger_c,1,,,,,,,,,,MALE,1788
ein_anderer_c,1,,,,,,,,,,MALE,1788
ein_anderer_d,1,,,,,,,,,,MALE,1788
