,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mephistopheles,259,38.0,16.0,22.0,53.0,0.10542168674698793,0.09753298909925415,0.1371696791859834,0.1371696791859834,4.501930501930502,MALE,1832
faust,144,18.0,8.0,10.0,42.0,0.044654809715050675,0.06514151845477147,0.07154582762187243,0.07154582762187243,2.916666666666667,MALE,1832
chor_gefangener_trojanerinnen,38,7.0,2.0,5.0,14.0,0.0046854082998661305,0.014080130043985464,0.014434470523096118,0.014434470523096118,1.8421052631578947,,1832
kaiser,59,12.0,4.0,8.0,12.0,0.031100592847580794,0.037268120099445405,0.021605737110763547,0.021605737110763547,1.6271186440677967,MALE,1832
helena,54,11.0,6.0,5.0,17.0,0.02168196595907439,0.020486708739720787,0.037474309876132546,0.037474309876132546,1.5740740740740742,FEMALE,1832
holzhauer,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,MALE,1832
dame_rittersaal_4,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,FEMALE,1832
choretide_5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,FEMALE,1832
satiriker,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,MALE,1832
zweiter_greif,2,1.0,0.0,1.0,2.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,MALE,1832
junges_maedchen,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,FEMALE,1832
parasiten,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,,1832
erster_trabant,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,MALE,1832
erzkaemmerer,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,MALE,1832
lemur,2,2.0,1.0,1.0,2.0,0.0038726333907056795,0.0038726333907056795,0.00628705225193237,0.00628705225193237,1.0,UNKNOWN,1832
junker,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004087103128839224,0.004087103128839224,1.0,MALE,1832
lynkeus,6,4.0,2.0,2.0,2.0,0.0,0.0,0.007408855898950985,0.007408855898950985,0.6666666666666666,MALE,1832
die_menge_erster_akt,9,3.0,1.0,2.0,3.0,0.0,0.0,0.008487001375025517,0.008487001375025517,0.6666666666666666,,1832
knabe_lenker,11,3.0,1.0,2.0,3.0,0.0,0.0,0.006773209643149305,0.006773209643149305,0.5454545454545454,MALE,1832
