,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
mephistopheles,257,28.0,12.0,73.0,16.0,49.0,0.12409288824383162,0.12264150943396226,0.1798567134229846,0.1798567134229846,3.0505836575875485,MALE,1808
faust,224,16.0,7.0,48.0,9.0,67.0,0.06513062409288824,0.06331640058055152,0.1517497230122974,0.1517497230122974,2.6919642857142856,MALE,1808
gretchen,95,13.0,7.0,24.0,6.0,23.0,0.0414247701983551,0.041908563134978226,0.06186276664002541,0.06186276664002541,1.4526315789473685,FEMALE,1808
siebel,22,6.0,2.0,3.0,4.0,7.0,0.007922109337203678,0.01995645863570392,0.024037991767994704,0.024037991767994704,1.2727272727272727,MALE,1808
valentin,11,6.0,3.0,4.0,3.0,4.0,0.000725689404934688,0.07982583454281568,0.015075213327328222,0.015075213327328222,1.0909090909090908,MALE,1808
marthe,40,5.0,2.0,2.0,3.0,14.0,0.0006047411707789065,0.03265602322206096,0.010145124595325903,0.010145124595325903,1.0499999999999998,FEMALE,1808
fuenfter_handwerksbursch,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,MALE,1808
boeser_geist,4,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.010319667608814843,0.010319667608814843,1.0,UNKNOWN,1808
chor_im_dom,4,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.010319667608814843,0.010319667608814843,1.0,,1808
alte,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,FEMALE,1808
stimme_2,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,UNKNOWN,1808
buerger,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,MALE,1808
stimme_8,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,UNKNOWN,1808
direktor,4,3.0,1.0,1.0,2.0,2.0,0.0010885341074020319,0.0010885341074020319,0.022034424990153248,0.022034424990153248,1.0,MALE,1808
matrone,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,FEMALE,1808
dogmatiker,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,MALE,1808
sternschnuppe,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005933724598410994,0.005933724598410994,1.0,UNKNOWN,1808
frosch,29,6.0,3.0,6.0,3.0,9.0,0.01088534107402032,0.0,0.03935296754643097,0.03935296754643097,0.9310344827586208,MALE,1808
andre_handwerksburschen,2,2.0,1.0,1.0,1.0,1.0,0.000362844702467344,0.000362844702467344,0.010977451284048432,0.010977451284048432,0.5,,1808
