,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
faust,137,16.0,7.0,31.0,9.0,39.0,0.5608974358974359,0.5288461538461539,0.31928458693791995,0.31928458693791995,2.562043795620438,MALE,1775
siebel,20,7.0,2.0,3.0,5.0,7.0,0.009615384615384616,0.10683760683760682,0.029426469092284552,0.029426469092284552,1.75,MALE,1775
boeser_geist,4,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.01863354072516301,0.01863354072516301,1.0,UNKNOWN,1775
chor,4,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.01863354072516301,0.01863354072516301,1.0,,1775
margarethe-gretchen,87,10.0,6.0,21.0,4.0,18.0,0.2948717948717949,0.3333333333333333,0.16124720020804315,0.16124720020804315,0.8275862068965517,FEMALE,1775
mephistopheles,110,11.0,6.0,30.0,5.0,18.0,0.1858974358974359,0.3931623931623931,0.19468322250778736,0.19468322250778736,0.8181818181818181,MALE,1775
marthe,36,4.0,2.0,2.0,2.0,13.0,0.0,0.0641025641025641,0.025287496449203854,0.025287496449203854,0.7222222222222222,FEMALE,1775
frosch,26,5.0,2.0,3.0,3.0,5.0,0.0,0.0,0.02820484211933362,0.02820484211933362,0.576923076923077,MALE,1775
geist,5,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.024631595142477956,0.024631595142477956,0.4,UNKNOWN,1775
wagner,7,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.024631595142477956,0.024631595142477956,0.14285714285714285,MALE,1775
lieschen,7,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.018328841735107737,0.018328841735107737,0.14285714285714285,FEMALE,1775
alten,8,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.02481943438209316,0.02481943438209316,0.125,MALE,1775
brander,16,6.0,5.0,7.0,1.0,1.0,0.0641025641025641,0.33974358974358976,0.06469928011046726,0.06469928011046726,0.0625,MALE,1775
student,17,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.04748835472247738,0.04748835472247738,0.058823529411764705,MALE,1775
