,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
herkules,19,5.0,2.0,3.0,7.0,0.0625,0.18452380952380948,0.04996962750310223,0.04996962750310223,1.1052631578947367,MALE,1774
merkurius,18,6.0,3.0,3.0,6.0,0.44345238095238093,0.42857142857142855,0.16618181583714683,0.16618181583714683,1.0,MALE,1774
admet,13,5.0,2.0,3.0,4.0,0.22916666666666666,0.2976190476190476,0.06416426938410726,0.06416426938410726,0.9230769230769231,MALE,1774
wieland,35,7.0,3.0,4.0,6.0,0.43154761904761896,0.2857142857142857,0.13883450847250406,0.13883450847250406,0.6857142857142857,MALE,1774
alceste,18,5.0,3.0,2.0,4.0,0.29464285714285715,0.36011904761904756,0.16640842276965995,0.16640842276965995,0.4444444444444444,FEMALE,1774
charon,5,2.0,1.0,1.0,2.0,0.0,0.0,0.06375162916639177,0.06375162916639177,0.4,MALE,1774
literator,5,3.0,2.0,1.0,1.0,0.017857142857142856,0.03571428571428571,0.09619857242277927,0.09619857242277927,0.2,MALE,1774
das_maedchen,5,2.0,1.0,1.0,1.0,0.0,0.0,0.12275288710591065,0.12275288710591065,0.2,FEMALE,1774
euripides,21,5.0,3.0,2.0,2.0,0.25297619047619047,0.375,0.1317382673383978,0.1317382673383978,0.19047619047619047,MALE,1774
pluto,1,,,,,,,,,,MALE,1774
