,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
goetz,295,37.0,15.0,22.0,77.0,0.34254362771020624,0.3248281332628239,0.10052115256434113,0.10052115256434113,5.742372881355932,MALE,1773
erster_reiter_berlichingen,5,4.0,1.0,3.0,4.0,0.00978318350079323,0.012162876784769964,0.008940372684957827,0.008940372684957827,2.4000000000000004,MALE,1773
adelheid,107,8.0,3.0,5.0,33.0,0.04675656619072801,0.03648863035430989,0.03629250913849191,0.03629250913849191,1.542056074766355,FEMALE,1773
hauptmann,17,7.0,2.0,5.0,5.0,0.0520888418826018,0.06292966684294024,0.011666152993698478,0.011666152993698478,1.4705882352941178,MALE,1773
selbitz,42,6.0,2.0,4.0,12.0,0.04019037546271814,0.046800634584875725,0.020814345251652898,0.020814345251652898,1.1428571428571428,MALE,1773
erster_reiter_bamberg,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004204291024909511,0.004204291024909511,1.0,MALE,1773
bauer_bauernhochzeit,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004204291024909511,0.004204291024909511,1.0,MALE,1773
weislingen,139,13.0,7.0,6.0,21.0,0.1634056054997356,0.1641988365943945,0.08369809527915814,0.08369809527915814,0.9064748201438849,MALE,1773
kaiser,9,3.0,1.0,2.0,4.0,0.00819672131147541,0.00819672131147541,0.007592112499091296,0.007592112499091296,0.8888888888888888,MALE,1773
braeutigam,7,3.0,1.0,2.0,3.0,0.0,0.0,0.011859438373453777,0.011859438373453777,0.8571428571428571,MALE,1773
erster_reichsknecht,10,3.0,1.0,2.0,4.0,0.013220518244315176,0.013220518244315176,0.016979851229991294,0.016979851229991294,0.8,MALE,1773
liebetraut,37,8.0,4.0,4.0,7.0,0.02106469240260885,0.025118984664198835,0.023849392846952075,0.023849392846952075,0.7567567567567568,MALE,1773
elisabeth,67,8.0,4.0,4.0,11.0,0.008328926493918561,0.046536224219989424,0.024214744308235316,0.024214744308235316,0.6567164179104478,FEMALE,1773
erster_rat,29,5.0,2.0,3.0,6.0,0.07297726070861978,0.07297726070861978,0.015545648214451665,0.015545648214451665,0.6206896551724138,MALE,1773
bischof,35,6.0,3.0,3.0,7.0,0.02846818261942535,0.03860391327340032,0.018488254978381642,0.018488254978381642,0.6000000000000001,MALE,1773
karl,35,6.0,3.0,3.0,7.0,0.00013220518244315177,0.0005288207297726071,0.01661564876647128,0.01661564876647128,0.6000000000000001,MALE,1773
zigeunermutter,7,2.0,0.0,2.0,2.0,0.0,0.0,0.004204291024909511,0.004204291024909511,0.5714285714285714,FEMALE,1773
metzler,33,7.0,4.0,3.0,6.0,0.0370174510840825,0.037149656266525645,0.05036761644357216,0.05036761644357216,0.5454545454545454,MALE,1773
zweiter_ritter,2,2.0,1.0,1.0,1.0,0.023268112109994712,0.034108937070333155,0.006187557678918066,0.006187557678918066,0.5,MALE,1773
schreiber,2,1.0,0.0,1.0,1.0,0.0,0.0,0.004204291024909511,0.004204291024909511,0.5,MALE,1773
zweite_zigeunerin,2,2.0,1.0,1.0,1.0,0.00026441036488630354,0.00026441036488630354,0.005991136921060982,0.005991136921060982,0.5,FEMALE,1773
zweiter_reiter_bamberg,2,1.0,0.0,1.0,1.0,0.0,0.0,0.004204291024909511,0.004204291024909511,0.5,MALE,1773
sievers,16,6.0,4.0,2.0,4.0,0.020624008461131677,0.020624008461131677,0.022288515580208605,0.022288515580208605,0.5,MALE,1773
