,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
fernando,126,12,6,6,41,0.2986111111111111,0.2361111111111111,0.2521646780424636,0.2521646780424636,1.9523809523809526,MALE,1776
lucie,58,13,6,7,15,0.34027777777777773,0.611111111111111,0.15747070711467667,0.15747070711467667,1.810344827586207,FEMALE,1776
stella,88,11,6,5,30,0.053240740740740734,0.041666666666666664,0.12005351644061944,0.12005351644061944,1.7045454545454544,FEMALE,1776
annchen,9,5,2,3,5,0.0,0.22916666666666666,0.029151134497507655,0.029151134497507655,1.6666666666666667,FEMALE,1776
bedienter,11,5,2,3,4,0.0,0.1111111111111111,0.0341277290171476,0.0341277290171476,1.0909090909090908,MALE,1776
der_junge,1,1,0,1,1,0.0,0.0,0.015000000000000003,0.015000000000000003,1.0,MALE,1776
madame_sommer_bzw_caecilie,95,8,4,4,20,0.02083333333333333,0.0,0.15809604914454897,0.15809604914454897,0.8421052631578947,FEMALE,1776
postillion,4,2,1,1,2,0.0,0.0,0.032846535661443216,0.032846535661443216,0.5,MALE,1776
verwalter,14,2,1,1,5,0.0,0.0,0.03591146666714418,0.03591146666714418,0.35714285714285715,MALE,1776
postmeisterin,43,9,6,3,5,0.12037037037037035,0.125,0.16517818341444915,0.16517818341444915,0.3488372093023256,FEMALE,1776
