,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_obriste,62,14.0,6.0,8.0,26.0,0.05020833333333333,0.17083333333333334,0.0661807722903481,0.0661807722903481,3.3548387096774195,MALE,1775
fikfak,142,24.0,13.0,11.0,41.0,0.4205555555555555,0.26562499999999994,0.23556630980705265,0.23556630980705265,3.176056338028169,MALE,1775
der_lieutenant,75,10.0,4.0,6.0,31.0,0.023402777777777776,0.06666666666666667,0.0807429158777366,0.0807429158777366,2.48,MALE,1775
baerbchen,91,15.0,7.0,8.0,25.0,0.18416666666666667,0.18090277777777777,0.14300823710399704,0.14300823710399704,2.197802197802198,FEMALE,1775
tobis,47,11.0,4.0,7.0,12.0,0.14833333333333332,0.1815972222222222,0.04309659098934845,0.04309659098934845,1.7872340425531914,MALE,1775
nathan,10,4.0,1.0,3.0,4.0,0.003472222222222222,0.048611111111111105,0.01259765068619927,0.01259765068619927,1.2000000000000002,MALE,1775
der_aeltere_bauer,5,4.0,2.0,2.0,3.0,0.0625,0.07777777777777777,0.03042487190554076,0.03042487190554076,1.2,MALE,1775
greif,34,8.0,5.0,3.0,13.0,0.029027777777777774,0.08854166666666667,0.059536462403289574,0.059536462403289574,1.1470588235294117,MALE,1775
paul,17,7.0,3.0,4.0,4.0,0.016805555555555556,0.15763888888888888,0.029218622481027204,0.029218622481027204,0.9411764705882353,MALE,1775
lene,20,5.0,2.0,3.0,6.0,0.0,0.03333333333333333,0.03129335773531881,0.03129335773531881,0.8999999999999999,FEMALE,1775
jeremis,23,9.0,5.0,4.0,5.0,0.06055555555555556,0.14895833333333333,0.031195939160448855,0.031195939160448855,0.8695652173913043,MALE,1775
eve,15,5.0,2.0,3.0,4.0,0.01,0.04305555555555555,0.020616126587118047,0.020616126587118047,0.8,FEMALE,1775
lukas,85,11.0,8.0,3.0,19.0,0.07319444444444442,0.08541666666666665,0.12450134356421136,0.12450134356421136,0.6705882352941177,MALE,1775
jobst,9,4.0,2.0,2.0,2.0,0.0,0.01111111111111111,0.017900956679927887,0.017900956679927887,0.4444444444444444,MALE,1775
suschen,12,2.0,1.0,1.0,5.0,0.0,0.0,0.038718121851360046,0.038718121851360046,0.4166666666666667,FEMALE,1775
die_bauern,5,4.0,3.0,1.0,1.0,0.02611111111111111,0.03333333333333333,0.020973145802487513,0.020973145802487513,0.2,,1775
soldaten,1,1.0,1.0,0.0,0.0,0.0,0.0,0.014428575074587616,0.014428575074587616,0.0,,1775
michel,4,,,,,,,,,,MALE,1775
