,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
cato,75,16,7,27,9,36,0.2662037037037037,0.053240740740740734,0.24375025018135738,0.24375025018135738,4.32,MALE,1731
caesar,32,7,3,8,4,19,0.009259259259259259,0.034722222222222224,0.07794894252578523,0.07794894252578523,2.375,MALE,1731
pharnaces,28,10,5,9,5,11,0.16435185185185186,0.2916666666666666,0.10851681035216106,0.10851681035216106,1.9642857142857142,MALE,1731
arsene_porcia,48,11,6,23,5,14,0.22916666666666666,0.3055555555555555,0.14961846511501253,0.14961846511501253,1.4583333333333335,FEMALE,1731
phoenice,9,3,1,1,2,6,0.006944444444444444,0.034722222222222224,0.028374611503238764,0.028374611503238764,1.3333333333333333,FEMALE,1731
domitius,17,7,4,12,3,6,0.030092592592592587,0.21527777777777773,0.10385391983267916,0.10385391983267916,1.0588235294117647,MALE,1731
phokas,16,7,3,9,4,4,0.006944444444444444,0.06944444444444443,0.10571048619780136,0.10571048619780136,1.0,MALE,1731
porcius,29,7,3,7,4,7,0.037037037037037035,0.07638888888888888,0.08154599722591555,0.08154599722591555,0.9655172413793104,MALE,1731
felix,10,3,2,4,1,2,0.0,0.0,0.05020263152212773,0.05020263152212773,0.2,MALE,1731
artabanus,8,3,3,5,0,0,0.0,0.0,0.05047788554392123,0.05047788554392123,0.0,MALE,1731
