,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
frau_glaubeleichtin,231,18,7,11,85,0.2511904761904762,0.24309523809523811,0.14043457822930674,0.14043457822930674,4.0476190476190474,FEMALE,1736
herr_wackermann,124,14,6,8,42,0.11547619047619048,0.2877777777777778,0.07520202024544687,0.07520202024544687,2.7096774193548385,MALE,1736
herr_liebmann,45,7,3,4,21,0.012301587301587301,0.0,0.0527721997891593,0.0527721997891593,1.8666666666666667,MALE,1736
herr_scheinfromm,141,16,8,8,32,0.19206349206349205,0.22746031746031747,0.14191525704923957,0.14191525704923957,1.8156028368794326,MALE,1736
jungfer_luischen,120,12,7,5,43,0.12341269841269842,0.09563492063492064,0.17299166405720165,0.17299166405720165,1.7916666666666667,FEMALE,1736
jungfer_dorchen,37,7,3,4,13,0.012301587301587303,0.0976984126984127,0.029579696356980677,0.029579696356980677,1.4054054054054055,FEMALE,1736
herr_glaubeleicht,9,6,3,3,4,0.00873015873015873,0.2520634920634921,0.01753209019745424,0.01753209019745424,1.3333333333333333,MALE,1736
cathrine,124,13,8,5,29,0.09007936507936509,0.13174603174603175,0.1770351970019391,0.1770351970019391,1.1693548387096773,FEMALE,1736
frau_seuffzerin,51,8,4,4,8,0.0031746031746031746,0.19952380952380955,0.04007100404675778,0.04007100404675778,0.6274509803921569,FEMALE,1736
frau_ehrlichen,7,2,1,1,4,0.0,0.0,0.02573479053469792,0.02573479053469792,0.5714285714285714,FEMALE,1736
frau_zanckenheimin,50,7,4,3,9,0.0,0.0,0.04155054153178714,0.04155054153178714,0.54,FEMALE,1736
der_advocat,15,2,0,2,3,0.0,0.0,0.010656461463225355,0.010656461463225355,0.4,MALE,1736
frau_bettelsackin,18,4,2,2,2,0.0,0.1196825396825397,0.02708031221923633,0.02708031221923633,0.2222222222222222,FEMALE,1736
herr_von_muckersdorff,22,4,3,1,1,0.0007936507936507937,0.0503968253968254,0.023322564014147475,0.023322564014147475,0.045454545454545456,MALE,1736
der_diener,2,1,1,0,0,0.0,0.0,0.012060811631709818,0.012060811631709818,0.0,MALE,1736
jacob,5,1,1,0,0,0.0,0.0,0.012060811631709818,0.012060811631709818,0.0,MALE,1736
