,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
manipelfuehrer,22,7.0,2.0,4.0,5.0,11.0,0.006349206349206349,0.006349206349206349,0.03908239538794208,0.03908239538794208,2.5,MALE,1838
thusnelda,48,11.0,4.0,14.0,7.0,16.0,0.07387566137566137,0.07142857142857142,0.06189132865903684,0.06189132865903684,2.333333333333333,FEMALE,1838
hermann,69,13.0,6.0,13.0,7.0,20.0,0.0943121693121693,0.07936507936507936,0.09105670822908225,0.09105670822908225,2.028985507246377,MALE,1838
volk_eingang,7,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.008770214833467658,0.008770214833467658,1.4285714285714286,,1838
der_schreiber,26,11.0,5.0,9.0,6.0,6.0,0.07473544973544972,0.10158730158730159,0.06372185782655394,0.06372185782655394,1.3846153846153846,MALE,1838
varus,73,10.0,5.0,14.0,5.0,17.0,0.08326719576719577,0.09642857142857143,0.06681923818711163,0.06681923818711163,1.1643835616438356,MALE,1838
segest,17,4.0,1.0,1.0,3.0,6.0,0.010317460317460317,0.02619047619047619,0.012058282909422118,0.012058282909422118,1.0588235294117647,MALE,1838
katermeier,4,3.0,1.0,1.0,2.0,2.0,0.0011243386243386243,0.002380952380952381,0.017797716200054617,0.017797716200054617,1.0,MALE,1838
der_herzog_der_engerer,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.012640234646641636,0.012640234646641636,1.0,MALE,1838
roemische_soldaten,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.012640234646641636,0.012640234646641636,1.0,,1838
ein_soldat_eingang_1,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01179027387168511,0.01179027387168511,0.5,MALE,1838
ein_pfoertner,2,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.015346350985376577,0.015346350985376577,0.5,MALE,1838
ein_tenkterer,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008770214833467658,0.008770214833467658,0.5,MALE,1838
praetor,24,6.0,3.0,7.0,3.0,3.0,0.028240740740740736,0.055952380952380955,0.03625970295438315,0.03625970295438315,0.375,MALE,1838
zweiter_axttraeger,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.058443632643095954,0.058443632643095954,0.3333333333333333,MALE,1838
erster_axttraeger,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.058443632643095954,0.058443632643095954,0.3333333333333333,MALE,1838
eggius,10,2.0,1.0,3.0,1.0,3.0,0.0,0.0,0.018793391899261002,0.018793391899261002,0.3,MALE,1838
erster_cherusker_erste_nacht,11,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.058443632643095954,0.058443632643095954,0.2727272727272727,MALE,1838
der_cherusker_eingang,12,2.0,1.0,5.0,1.0,3.0,0.0,0.0,0.023870510024554925,0.023870510024554925,0.25,MALE,1838
die_klopp,5,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.02660826312021401,0.02660826312021401,0.2,FEMALE,1838
ingomar,6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008770214833467658,0.008770214833467658,0.16666666666666666,MALE,1838
der_chatte,8,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.024250294086163575,0.024250294086163575,0.125,MALE,1838
zweiter_cherusker_erste_nacht,11,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.058443632643095954,0.058443632643095954,0.09090909090909091,MALE,1838
wigand_der_schmied,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016224983587549178,0.016224983587549178,0.0,MALE,1838
ein_brukterer,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016224983587549178,0.016224983587549178,0.0,MALE,1838
segests_knechte_dritter_tag,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0104785014981435,0.0104785014981435,0.0,,1838
dietrich,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017797716200054617,0.017797716200054617,0.0,MALE,1838
ein_quaestor_eingang,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.015452332877329888,0.015452332877329888,0.0,MALE,1838
thumelico,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.015346350985376577,0.015346350985376577,0.0,MALE,1838
amelung,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017797716200054617,0.017797716200054617,0.0,MALE,1838
rammshagel,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017797716200054617,0.017797716200054617,0.0,MALE,1838
knechte_eingang,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012058282909422118,0.012058282909422118,0.0,,1838
das_gesinde,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012058282909422118,0.012058282909422118,0.0,,1838
stimme_aus_dem_walde,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01179027387168511,0.01179027387168511,0.0,MALE,1838
ein_soldat_eingang_2,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01179027387168511,0.01179027387168511,0.0,MALE,1838
ein_veteran_eingang,6,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.017830391948120018,0.017830391948120018,0.0,MALE,1838
ein_deutscher_aus_hermanns_naechster_umgebung,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012640234646641636,0.012640234646641636,0.0,MALE,1838
