,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_gouverneur,60,11.0,3.0,8.0,24.0,0.14722222222222223,0.27291666666666664,0.03476334245305432,0.03476334245305432,3.2,MALE,1829
don_juan,244,15.0,8.0,7.0,66.0,0.23645833333333333,0.23333333333333334,0.1879278595316824,0.1879278595316824,1.8934426229508199,MALE,1829
donna_anna,71,8.0,3.0,5.0,13.0,0.09826388888888889,0.06875,0.06539538144683472,0.06539538144683472,0.9154929577464789,FEMALE,1829
lisette,9,3.0,1.0,2.0,4.0,0.0,0.010416666666666666,0.017800272360232492,0.017800272360232492,0.8888888888888888,FEMALE,1829
leporello,158,7.0,3.0,4.0,34.0,0.04618055555555555,0.09583333333333333,0.13117193017954373,0.13117193017954373,0.8607594936708861,MALE,1829
faust,140,8.0,5.0,3.0,31.0,0.1875,0.1875,0.19322076607223101,0.19322076607223101,0.6642857142857143,MALE,1829
signor_rubio,22,4.0,2.0,2.0,7.0,0.0,0.0,0.04016848215172603,0.04016848215172603,0.6363636363636364,MALE,1829
signor_negro,19,7.0,4.0,3.0,4.0,0.021875,0.18958333333333333,0.04096724876200561,0.04096724876200561,0.631578947368421,MALE,1829
der_priester,3,1.0,0.0,1.0,1.0,0.0,0.0,0.014520969417499736,0.014520969417499736,0.3333333333333333,MALE,1829
die_gnomen,6,1.0,0.0,1.0,1.0,0.0,0.0,0.014520969417499736,0.014520969417499736,0.16666666666666666,UNKNOWN,1829
der_ritter,82,2.0,1.0,1.0,12.0,0.0,0.0,0.13107249449510414,0.13107249449510414,0.14634146341463414,MALE,1829
erster_gnom,7,1.0,0.0,1.0,1.0,0.0,0.0,0.014520969417499736,0.014520969417499736,0.14285714285714285,UNKNOWN,1829
don_octavio,31,3.0,3.0,0.0,0.0,0.0,0.0,0.034321813330094854,0.034321813330094854,0.0,MALE,1829
erster_herr,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015752166446992247,0.015752166446992247,0.0,MALE,1829
der_diener,1,1.0,1.0,0.0,0.0,0.0,0.0,0.015752166446992247,0.015752166446992247,0.0,MALE,1829
ein_diener,1,1.0,1.0,0.0,0.0,0.0,0.0,0.018796952711294678,0.018796952711294678,0.0,MALE,1829
gasparo,6,2.0,2.0,0.0,0.0,0.0,0.0,0.029326215359712478,0.029326215359712478,0.0,MALE,1829
zweiter_herr,1,,,,,,,,,,MALE,1829
die_anwesenden,4,,,,,,,,,,UNKNOWN,1829
zweiter_gnom,2,,,,,,,,,,UNKNOWN,1829
