,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hannibal,136,24.0,12.0,12.0,45.0,0.11458718992965569,0.11495742317660126,0.08574294991075947,0.08574294991075947,3.9705882352941178,MALE,1835
scipio_der_juengere,39,12.0,3.0,9.0,14.0,0.07080710847834136,0.07052943354313218,0.01926286417436703,0.01926286417436703,3.230769230769231,MALE,1835
erster_konsul,4,3.0,0.0,3.0,3.0,0.0,0.0,0.004963798500066575,0.004963798500066575,2.25,MALE,1835
prusias,30,9.0,3.0,6.0,11.0,0.06164383561643836,0.06164383561643836,0.016678697732515384,0.016678697732515384,2.1999999999999997,MALE,1835
barkas,16,5.0,2.0,3.0,7.0,0.0,0.0,0.011549269905206447,0.011549269905206447,1.3125,MALE,1835
erster_gesandter_3-7,5,2.0,0.0,2.0,3.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.2,MALE,1835
der_hauptmann_hannibals,5,2.0,0.0,2.0,3.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.2,MALE,1835
fabius_maximus,9,2.0,0.0,2.0,5.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.1111111111111112,MALE,1835
zweiter_konsul,11,6.0,3.0,3.0,4.0,0.014994446501295817,0.014994446501295817,0.025946013827087954,0.025946013827087954,1.0909090909090908,MALE,1835
alitta,34,6.0,3.0,3.0,12.0,0.004627915586819697,0.009811181044057756,0.03658564398752172,0.03658564398752172,1.0588235294117647,FEMALE,1835
gisgon,57,7.0,2.0,5.0,12.0,0.037671232876712334,0.03776379118844873,0.03722213230746792,0.03722213230746792,1.0526315789473684,MALE,1835
scipio_der_aeltere,16,7.0,3.0,4.0,4.0,0.006941873380229545,0.018881895594224363,0.023641597916684524,0.023641597916684524,1.0,MALE,1835
die_menge_3-3,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.0,,1835
erster_sklav,6,3.0,1.0,2.0,3.0,0.0,0.0,0.008859690118968193,0.008859690118968193,1.0,MALE,1835
stimmen_der_kommandierenden_flottenoffiziere,1,2.0,1.0,1.0,1.0,0.0,0.0,0.006583407317456802,0.006583407317456802,1.0,,1835
ein_liktor_2-1,1,2.0,1.0,1.0,1.0,0.005923731951129212,0.005923731951129212,0.009183104215965035,0.009183104215965035,1.0,MALE,1835
ein_knabe_2-1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.0,MALE,1835
ein_zollbedienter,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.0,MALE,1835
ein_zweiter_priester,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.0,MALE,1835
der_leibpage,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.0,MALE,1835
ein_gefangener,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,1.0,MALE,1835
despot,10,5.0,2.0,3.0,3.0,0.0007404664938911515,0.0007404664938911515,0.013749863558736586,0.013749863558736586,0.8999999999999999,MALE,1835
terenz,13,6.0,3.0,3.0,3.0,0.015734912995186968,0.015734912995186968,0.021302345619615585,0.021302345619615585,0.6923076923076923,MALE,1835
zollbediente,3,1.0,0.0,1.0,2.0,0.0,0.0,0.004963798500066575,0.004963798500066575,0.6666666666666666,,1835
kaufherr,3,1.0,0.0,1.0,2.0,0.0,0.0,0.004963798500066575,0.004963798500066575,0.6666666666666666,MALE,1835
ein_karthager_1-2,3,1.0,0.0,1.0,2.0,0.0,0.0,0.004963798500066575,0.004963798500066575,0.6666666666666666,MALE,1835
erster_buerger,7,3.0,1.0,2.0,2.0,0.00037023324694557573,0.00037023324694557573,0.008859690118968193,0.008859690118968193,0.5714285714285714,MALE,1835
brasidas,44,5.0,3.0,2.0,12.0,0.009440947797112182,0.013328396890040726,0.04522060440382822,0.04522060440382822,0.5454545454545454,MALE,1835
zweiter_gesandter_3-7,2,2.0,1.0,1.0,1.0,0.00018511662347278786,0.00018511662347278786,0.0063702337386993945,0.0063702337386993945,0.5,MALE,1835
pfoertner,24,3.0,1.0,2.0,6.0,0.006849315068493151,0.006849315068493151,0.01771805630746497,0.01771805630746497,0.5,MALE,1835
die_braut,2,2.0,1.0,1.0,1.0,0.0,0.0,0.03658016729202253,0.03658016729202253,0.5,FEMALE,1835
hanno,38,5.0,3.0,2.0,9.0,0.026008885597926693,0.0259163272861903,0.03881953458493126,0.03881953458493126,0.47368421052631576,MALE,1835
turnu,52,3.0,1.0,2.0,10.0,0.0038874490929285454,0.0,0.04221480130004177,0.04221480130004177,0.38461538461538464,MALE,1835
knabe_4-6,20,2.0,1.0,1.0,7.0,0.0,0.0,0.015004406924473678,0.015004406924473678,0.35,MALE,1835
ein_atellan,3,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,0.3333333333333333,MALE,1835
ein_bote_2-2,3,2.0,1.0,1.0,1.0,0.0,0.012217697149204,0.006583407317456802,0.006583407317456802,0.3333333333333333,MALE,1835
roemischer_gesandter,14,3.0,1.0,2.0,2.0,0.0,0.0,0.01551086675758527,0.01551086675758527,0.2857142857142857,MALE,1835
zweiter_sklavenhaendler,4,2.0,1.0,1.0,1.0,0.00018511662347278786,0.00018511662347278786,0.009183104215965035,0.009183104215965035,0.25,MALE,1835
ein_greis,4,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,0.25,MALE,1835
kato_zensor,11,3.0,2.0,1.0,2.0,0.00037023324694557573,0.00037023324694557573,0.017397684104377985,0.017397684104377985,0.18181818181818182,MALE,1835
erster_zierbengel,6,1.0,0.0,1.0,1.0,0.0,0.0,0.004963798500066575,0.004963798500066575,0.16666666666666666,MALE,1835
melkir,36,5.0,4.0,1.0,5.0,0.01999259533506109,0.01999259533506109,0.022766817906362813,0.022766817906362813,0.1388888888888889,MALE,1835
keltiberier,9,3.0,2.0,1.0,1.0,0.0,0.0,0.01349654952635551,0.01349654952635551,0.1111111111111111,MALE,1835
ein_bote_1-5,9,2.0,1.0,1.0,1.0,0.0,0.0,0.009822624952237251,0.009822624952237251,0.1111111111111111,MALE,1835
allochlin,10,3.0,2.0,1.0,1.0,0.004813032210292485,0.004813032210292485,0.03721824510885842,0.03721824510885842,0.1,MALE,1835
erster_karthagischer_abgeordneter,2,1.0,1.0,0.0,0.0,0.0,0.0,0.006133375352156039,0.006133375352156039,0.0,MALE,1835
ein_weib_4-7,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009183104215965035,0.009183104215965035,0.0,FEMALE,1835
erster_sklavenhaendler,2,1.0,1.0,0.0,0.0,0.0,0.0,0.009183104215965035,0.009183104215965035,0.0,MALE,1835
marktweib,6,1.0,1.0,0.0,0.0,0.0,0.0,0.009183104215965035,0.009183104215965035,0.0,FEMALE,1835
zweiter_roemischer_gesandter,7,1.0,1.0,0.0,0.0,0.0,0.0,0.012874099693205597,0.012874099693205597,0.0,MALE,1835
ein_voruebergehender,1,1.0,1.0,0.0,0.0,0.0,0.0,0.012769594593326647,0.012769594593326647,0.0,MALE,1835
hoefling_5-1,2,1.0,1.0,0.0,0.0,0.0,0.0,0.006252668689896369,0.006252668689896369,0.0,MALE,1835
protovestiar,3,1.0,1.0,0.0,0.0,0.0,0.0,0.007541538879726164,0.007541538879726164,0.0,MALE,1835
marktjunge,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0063702337386993945,0.0063702337386993945,0.0,MALE,1835
maler,1,1.0,1.0,0.0,0.0,0.0,0.0,0.006252668689896369,0.006252668689896369,0.0,MALE,1835
hoefling_5-3,4,1.0,1.0,0.0,0.0,0.0,0.0,0.008830409069555957,0.008830409069555957,0.0,MALE,1835
flamininus,6,1.0,1.0,0.0,0.0,0.0,0.0,0.008830409069555957,0.008830409069555957,0.0,MALE,1835
ein_velit,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01099962606956603,0.01099962606956603,0.0,MALE,1835
das_heer,1,1.0,1.0,0.0,0.0,0.0,0.0,0.006133375352156039,0.006133375352156039,0.0,,1835
der_fuehrende_scheich,5,2.0,2.0,0.0,0.0,0.0,0.0,0.013402409931863495,0.013402409931863495,0.0,MALE,1835
