,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
napoleon,184,31.0,8.0,23.0,23.0,80.0,0.03783656117146906,0.03939537080774681,0.01984847255105643,0.01984847255105643,10.0,MALE,1831
jouve,50,16.0,5.0,8.0,11.0,16.0,0.012659423712801134,0.012659423712801134,0.013797607876162528,0.013797607876162528,3.52,MALE,1831
herzogin_von_angouleme,56,14.0,6.0,11.0,8.0,17.0,0.009738623838765548,0.012210675484175721,0.028416683315250005,0.028416683315250005,2.4285714285714284,FEMALE,1831
koenig_ludwig,67,12.0,5.0,13.0,7.0,20.0,0.0069752794835458995,0.004629192253188474,0.021103191070890696,0.021103191070890696,2.08955223880597,MALE,1831
berliner_freiwilliger,58,9.0,4.0,16.0,5.0,23.0,0.002031176192725555,0.002031176192725555,0.022164622884847385,0.022164622884847385,1.9827586206896552,MALE,1831
bluecher,48,8.0,2.0,5.0,6.0,15.0,0.0020784128483703353,0.0020784128483703353,0.009116444018779129,0.009116444018779129,1.875,MALE,1831
ein_englischer_obrist,5,3.0,1.0,1.0,2.0,4.0,0.00023618327822390176,0.00023618327822390176,0.009984975227887237,0.009984975227887237,1.6,MALE,1831
englischer_general,13,5.0,1.0,1.0,4.0,5.0,0.00023618327822390176,0.00042512990080302316,0.005064603470504171,0.005064603470504171,1.5384615384615385,MALE,1831
vitry,91,11.0,4.0,12.0,7.0,18.0,0.011006140765233822,0.009636277751535192,0.010519336009769887,0.010519336009769887,1.3846153846153846,MALE,1831
chassecoeur,81,11.0,4.0,14.0,7.0,16.0,0.026169107227208315,0.02701936702881436,0.010278888849209234,0.010278888849209234,1.382716049382716,MALE,1831
gensdarmes_2-5,3,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.3333333333333333,MALE,1831
herzog_von_berry,23,7.0,2.0,2.0,5.0,6.0,0.017823964729963785,0.01861124232404346,0.0047900412090696055,0.0047900412090696055,1.3043478260869565,MALE,1831
cambronne,31,6.0,1.0,6.0,5.0,7.0,0.0035427491733585263,0.004676428908833255,0.003737536155199172,0.003737536155199172,1.129032258064516,MALE,1831
einige,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,UNKNOWN,1831
ein_vorstaedter_3-2,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,MALE,1831
ein_anderer_aus_der_masse,1,2.0,1.0,1.0,1.0,1.0,4.723665564478035e-05,4.723665564478035e-05,0.004573508635122223,0.004573508635122223,1.0,MALE,1831
einer_aus_der_masse,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,MALE,1831
ein_franzoesischer_hauptmann,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,MALE,1831
noch_andere_a,1,2.0,1.0,1.0,1.0,1.0,0.00023618327822390176,0.00023618327822390176,0.005466621768944954,0.005466621768944954,1.0,UNKNOWN,1831
andere_umstehende,1,2.0,1.0,1.0,1.0,1.0,4.723665564478035e-05,4.723665564478035e-05,0.003522821688282564,0.003522821688282564,1.0,UNKNOWN,1831
der_nebenstehende,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,MALE,1831
gensdarmeriepatrouille_zu_fuss,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,MALE,1831
ein_englischer_liniensoldat,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,MALE,1831
ein_kuerassier,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00565581503211999,0.00565581503211999,1.0,MALE,1831
marschall_ney,8,3.0,1.0,1.0,2.0,4.0,0.0,4.723665564478035e-05,0.00336909034930843,0.00336909034930843,1.0,MALE,1831
eine_dame_der_halle_2-1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0024721347414429044,0.0024721347414429044,1.0,FEMALE,1831
