,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
schulmeister,110,20.0,9.0,11.0,24.0,0.17857142857142855,0.18134920634920637,0.146908134202769,0.146908134202769,2.4,MALE,1827
teufel,104,24.0,13.0,11.0,20.0,0.359920634920635,0.4115079365079365,0.20728344978097643,0.20728344978097643,2.1153846153846154,MALE,1827
liddy,63,11.0,4.0,7.0,17.0,0.0623015873015873,0.09404761904761906,0.060539087726362024,0.060539087726362024,1.8888888888888888,FEMALE,1827
baron,49,9.0,4.0,5.0,17.0,0.03968253968253968,0.03333333333333334,0.052873697742420504,0.052873697742420504,1.7346938775510203,MALE,1827
wernthal,28,5.0,2.0,3.0,9.0,0.0,0.0031746031746031746,0.047743399283329664,0.047743399283329664,0.9642857142857144,MALE,1827
rattengift,57,6.0,3.0,3.0,18.0,0.005555555555555556,0.030158730158730163,0.050489346896437026,0.050489346896437026,0.9473684210526315,MALE,1827
freiherr,16,4.0,1.0,3.0,4.0,0.03333333333333334,0.03333333333333334,0.03981233142778986,0.03981233142778986,0.75,MALE,1827
tobies,15,3.0,1.0,2.0,3.0,0.0,0.0,0.044601199653773405,0.044601199653773405,0.4,MALE,1827
nero,3,1.0,0.0,1.0,1.0,0.0,0.0,0.013383121576532155,0.013383121576532155,0.3333333333333333,MALE,1827
der_bediente_1-4,3,2.0,1.0,1.0,1.0,0.0,0.0,0.022192858193618055,0.022192858193618055,0.3333333333333333,MALE,1827
vierter_naturhistoriker,6,1.0,0.0,1.0,2.0,0.0,0.0,0.013383121576532155,0.013383121576532155,0.3333333333333333,MALE,1827
mollfels,47,5.0,3.0,2.0,7.0,0.0015873015873015873,0.027380952380952384,0.04868700102426929,0.04868700102426929,0.2978723404255319,MALE,1827
erster_naturhistoriker,15,4.0,2.0,2.0,2.0,0.03333333333333334,0.03333333333333334,0.03620560782357749,0.03620560782357749,0.26666666666666666,MALE,1827
zweiter_naturhistoriker,4,1.0,0.0,1.0,1.0,0.0,0.0,0.013383121576532155,0.013383121576532155,0.25,MALE,1827
schmied,20,3.0,2.0,1.0,2.0,0.0,0.0,0.03259888421936514,0.03259888421936514,0.1,MALE,1827
gottliebchen,8,3.0,3.0,0.0,0.0,0.0,0.0,0.037276890563835194,0.037276890563835194,0.0,MALE,1827
dritter_naturhistoriker,6,1.0,1.0,0.0,0.0,0.0,0.0,0.028770170495610165,0.028770170495610165,0.0,MALE,1827
der_bediente_2-4,2,1.0,1.0,0.0,0.0,0.0,0.0,0.016410030263194153,0.016410030263194153,0.0,MALE,1827
gretchen,4,1.0,1.0,0.0,0.0,0.0,0.0,0.018586134589405695,0.018586134589405695,0.0,FEMALE,1827
die_spiessgesellen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.021843005711254398,0.021843005711254398,0.0,,1827
der_hauswirt,1,1.0,1.0,0.0,0.0,0.0,0.0,0.016026810861712093,0.016026810861712093,0.0,MALE,1827
des_teufels_grossmutter,4,1.0,1.0,0.0,0.0,0.0,0.0,0.031002594810703953,0.031002594810703953,0.0,FEMALE,1827
ein_diener_1-3,1,,,,,,,,,,MALE,1827
einer_von_ihnen,1,,,,,,,,,,MALE,1827
ein_diener_3-6a,1,,,,,,,,,,MALE,1827
der_bediente_3-6b,1,,,,,,,,,,MALE,1827
grabbe,1,,,,,,,,,,MALE,1827
