,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
medea,58,8.0,3.0,5.0,22.0,0.25,0.2857142857142857,0.22089895125504616,0.22089895125504616,1.896551724137931,FEMALE,1821
aietes,81,8.0,3.0,5.0,28.0,0.15476190476190477,0.14285714285714285,0.31079296988898547,0.31079296988898547,1.728395061728395,MALE,1821
phryxus,42,6.0,3.0,3.0,17.0,0.0,0.14285714285714285,0.15799249126079457,0.15799249126079457,1.2142857142857144,MALE,1821
hauptmann,3,2.0,1.0,1.0,2.0,0.09523809523809523,0.09523809523809523,0.04720971817392479,0.04720971817392479,0.6666666666666666,MALE,1821
kolcher_bote,8,3.0,2.0,1.0,1.0,0.0,0.09523809523809523,0.08404898091633556,0.08404898091633556,0.125,MALE,1821
eine_der_jungfrauen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.04630957399139178,0.04630957399139178,0.0,FEMALE,1821
peritta,4,1.0,1.0,0.0,0.0,0.0,0.0,0.054844281540094714,0.054844281540094714,0.0,FEMALE,1821
ein_kolcher_aus_dem_hause,3,1.0,1.0,0.0,0.0,0.0,0.0,0.07790303297342677,0.07790303297342677,0.0,MALE,1821
jungfrauen_chor,4,,,,,,,,,,,1821
gora,3,,,,,,,,,,FEMALE,1821
kolcher,1,,,,,,,,,,MALE,1821
gewaffnete,1,,,,,,,,,,,1821
