,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig,75,10.0,5.0,15.0,5.0,43.0,0.17803030303030304,0.15151515151515152,0.09189020349582794,0.09189020349582794,2.8666666666666667,MALE,1834
rustan,222,20.0,10.0,75.0,10.0,55.0,0.5378787878787878,0.4696969696969697,0.33709704393596607,0.33709704393596607,2.4774774774774775,MALE,1834
zanga,128,14.0,6.0,33.0,8.0,35.0,0.15151515151515152,0.3939393939393939,0.15309722626325942,0.15309722626325942,2.1875,MALE,1834
guelnare,49,8.0,3.0,9.0,5.0,10.0,0.026515151515151516,0.13257575757575757,0.05928329186143513,0.05928329186143513,1.0204081632653061,FEMALE,1834
ein_kaemmerer,1,2.0,1.0,1.0,1.0,1.0,0.0,0.09090909090909091,0.01777612907910474,0.01777612907910474,1.0,MALE,1834
mirza,55,5.0,3.0,13.0,2.0,22.0,0.0,0.0,0.07896964557017078,0.07896964557017078,0.8,FEMALE,1834
massud,62,6.0,3.0,23.0,3.0,16.0,0.007575757575757576,0.03409090909090909,0.0985192436578776,0.0985192436578776,0.7741935483870968,MALE,1834
karkhan,15,4.0,2.0,5.0,2.0,5.0,0.0,0.15151515151515152,0.026362837380734083,0.026362837380734083,0.6666666666666666,MALE,1834
der_mann_vom_felsen,14,2.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0401067514598362,0.0401067514598362,0.14285714285714285,MALE,1834
kaemmerling,7,2.0,1.0,6.0,1.0,1.0,0.0,0.0,0.024956657252838157,0.024956657252838157,0.14285714285714285,MALE,1834
die_alte,11,3.0,2.0,4.0,1.0,1.0,0.0,0.09090909090909091,0.03340532625260106,0.03340532625260106,0.09090909090909091,FEMALE,1834
hauptmann,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01926782189517444,0.01926782189517444,0.0,MALE,1834
der_alte,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01926782189517444,0.01926782189517444,0.0,MALE,1834
