,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_graf,102,13,5,8,38,0.07060185185185185,0.06944444444444445,0.13137752311032846,0.13137752311032846,2.980392156862745,MALE,1817
bertha,143,13,6,7,56,0.15393518518518515,0.12962962962962962,0.2623986020357275,0.2623986020357275,2.7412587412587412,FEMALE,1817
jaromir,117,15,7,8,31,0.32754629629629634,0.4722222222222222,0.2407506756489219,0.2407506756489219,2.1196581196581197,MALE,1817
hauptmann,52,9,4,5,10,0.10069444444444443,0.22685185185185183,0.07673290825534038,0.07673290825534038,0.9615384615384616,MALE,1817
guenther,45,7,3,4,10,0.0,0.22916666666666666,0.07932056154794787,0.07932056154794787,0.8888888888888888,MALE,1817
ahnfrau_gestalt,14,3,2,1,3,0.0,0.0,0.036233550332236054,0.036233550332236054,0.21428571428571427,FEMALE,1817
soldat,9,3,2,1,1,0.0,0.018518518518518517,0.03791811765018728,0.03791811765018728,0.1111111111111111,MALE,1817
boleslav,25,5,4,1,2,0.0,0.19444444444444442,0.07535861660682404,0.07535861660682404,0.08,MALE,1817
walter,2,1,1,0,0,0.0,0.0,0.026614597895148452,0.026614597895148452,0.0,MALE,1817
chor_gesang,2,1,1,0,0,0.0,0.0,0.033294846917338056,0.033294846917338056,0.0,,1817
