,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
gora,43,13.0,6.0,11.0,7.0,20.0,0.10256410256410256,0.29304029304029305,0.05216139710238861,0.05216139710238861,3.255813953488372,FEMALE,1821
jason,209,15.0,6.0,59.0,9.0,62.0,0.23901098901098902,0.23626373626373628,0.14835970116159514,0.14835970116159514,2.6698564593301435,MALE,1821
milo,52,9.0,3.0,13.0,6.0,20.0,0.04487179487179487,0.047619047619047616,0.03957207279736203,0.03957207279736203,2.307692307692308,MALE,1821
medea,197,15.0,8.0,74.0,7.0,59.0,0.11721611721611724,0.05494505494505495,0.18189080720988174,0.18189080720988174,2.0964467005076144,FEMALE,1821
aietes,138,8.0,4.0,44.0,4.0,49.0,0.0,0.0,0.1201085621797483,0.1201085621797483,1.4202898550724639,MALE,1821
peritta,5,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.016258540864937235,0.016258540864937235,1.2,FEMALE,1821
absyrtus,63,9.0,5.0,17.0,4.0,16.0,0.0018315018315018315,0.11721611721611722,0.05248182971232661,0.05248182971232661,1.0158730158730158,MALE,1821
erster_argonaut,4,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.06947080053970925,0.06947080053970925,1.0,MALE,1821
dritter_argonaut,7,5.0,3.0,4.0,2.0,2.0,0.09340659340659341,0.09340659340659341,0.1313743399921596,0.1313743399921596,0.5714285714285714,MALE,1821
jungfrau_2,8,4.0,2.0,5.0,2.0,2.0,0.0,0.06593406593406594,0.025126035251338996,0.025126035251338996,0.5,FEMALE,1821
zweiter_argonaut,3,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.09899521550760701,0.09899521550760701,0.3333333333333333,MALE,1821
mehrere_alle_vermischte_stimmen,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015319874872087795,0.015319874872087795,0.0,,1821
kolcher,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015672037170084772,0.015672037170084772,0.0,MALE,1821
argonaut,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015672037170084772,0.015672037170084772,0.0,MALE,1821
soldat,2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.017536748468688235,0.017536748468688235,0.0,MALE,1821
