,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig,164,16.0,6.0,10.0,66.0,0.33484848484848484,0.2954545454545454,0.21116743297160143,0.21116743297160143,4.024390243902439,MALE,1851
isaak,49,10.0,5.0,5.0,20.0,0.07651515151515151,0.10454545454545454,0.12473769227115275,0.12473769227115275,2.0408163265306123,MALE,1851
manrique,44,8.0,3.0,5.0,13.0,0.10757575757575756,0.25,0.06329882169934663,0.06329882169934663,1.4772727272727273,MALE,1851
rahel,64,11.0,6.0,5.0,16.0,0.0659090909090909,0.20909090909090908,0.14697896282978742,0.14697896282978742,1.25,FEMALE,1851
garceran,80,7.0,3.0,4.0,12.0,0.040151515151515146,0.07727272727272727,0.11970627070144382,0.11970627070144382,0.6,MALE,1851
diener_3,5,2.0,1.0,1.0,3.0,0.0,0.0,0.023276654408334384,0.023276654408334384,0.6,MALE,1851
esther,49,6.0,3.0,3.0,9.0,0.011363636363636364,0.0,0.13952003212883998,0.13952003212883998,0.5510204081632654,FEMALE,1851
koenigin,35,3.0,2.0,1.0,3.0,0.0,0.0,0.057568594635132614,0.057568594635132614,0.08571428571428572,FEMALE,1851
knappe,9,2.0,2.0,0.0,0.0,0.0,0.0,0.03991470366878753,0.03991470366878753,0.0,MALE,1851
zweiter_bittsteller,3,1.0,1.0,0.0,0.0,0.0,0.0,0.02585838596359727,0.02585838596359727,0.0,MALE,1851
diener_4,3,1.0,1.0,0.0,0.0,0.0,0.0,0.02469579431364178,0.02469579431364178,0.0,MALE,1851
kammerfrau,2,1.0,1.0,0.0,0.0,0.0,0.0,0.023276654408334384,0.023276654408334384,0.0,FEMALE,1851
eine_weiberstimme,1,,,,,,,,,,FEMALE,1851
bittsteller,1,,,,,,,,,,MALE,1851
dritter_bittsteller,2,,,,,,,,,,MALE,1851
von_aussen,1,,,,,,,,,,,1851
