,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
rudolf,118,16.0,5.0,19.0,11.0,48.0,0.07241161616161616,0.0809027777777778,0.04694503356549995,0.04694503356549995,4.474576271186441,MALE,1848
ferdinand,119,17.0,7.0,26.0,10.0,32.0,0.12784090909090906,0.13754734848484848,0.05924585012086735,0.05924585012086735,2.6890756302521006,MALE,1848
hauptmann_2,16,10.0,6.0,10.0,4.0,10.0,0.14393939393939395,0.14393939393939395,0.10182717093452862,0.10182717093452862,2.5,MALE,1848
klesel,105,15.0,6.0,30.0,9.0,23.0,0.20703914141414145,0.183917297979798,0.06694527078156796,0.06694527078156796,1.9714285714285715,MALE,1848
prokop,29,12.0,5.0,10.0,7.0,8.0,0.1259469696969697,0.16377840909090907,0.03085133530769135,0.03085133530769135,1.9310344827586206,MALE,1848
don_caesar,41,13.0,7.0,11.0,6.0,13.0,0.09963699494949495,0.1003314393939394,0.057608861545647067,0.057608861545647067,1.9024390243902438,MALE,1848
max,31,9.0,4.0,8.0,5.0,10.0,0.0018781565656565658,0.00866477272727273,0.02331846016333232,0.02331846016333232,1.6129032258064515,MALE,1848
ramee,21,8.0,4.0,8.0,4.0,8.0,0.1846590909090909,0.1846590909090909,0.0621046191735128,0.0621046191735128,1.5238095238095237,MALE,1848
mathias,68,10.0,5.0,16.0,5.0,19.0,0.006407828282828283,0.017045454545454544,0.041518954722112124,0.041518954722112124,1.3970588235294117,MALE,1848
leopold,42,11.0,5.0,6.0,6.0,7.0,0.09382891414141414,0.17601010101010103,0.019507039192404832,0.019507039192404832,1.0,MALE,1848
julius,68,10.0,5.0,12.0,5.0,10.0,0.06969696969696969,0.09319760101010102,0.030611635314501735,0.030611635314501735,0.7352941176470589,MALE,1848
zweiter_soldat_2b,4,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.05677443504113005,0.05677443504113005,0.5,MALE,1848
russworm,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011152427989575123,0.011152427989575123,0.5,MALE,1848
kuerassier,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007385632550914902,0.007385632550914902,0.5,MALE,1848
rumpf,60,9.0,5.0,16.0,4.0,6.0,0.0390625,0.0639993686868687,0.06085500254938523,0.06085500254938523,0.4,MALE,1848
fahnentraeger,4,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.03335205506175942,0.03335205506175942,0.25,MALE,1848
ein_soldat_2a,4,2.0,1.0,1.0,1.0,1.0,0.0,0.04261363636363637,0.013984384216637918,0.013984384216637918,0.25,MALE,1848
ein_buerger,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010663629604008712,0.010663629604008712,0.25,MALE,1848
lukrezia,16,3.0,2.0,5.0,1.0,4.0,0.000946969696969697,0.0,0.024821561317373134,0.024821561317373134,0.25,FEMALE,1848
erster_soldat_2c,4,2.0,1.0,1.0,1.0,1.0,0.01893939393939394,0.01893939393939394,0.010663629604008712,0.010663629604008712,0.25,MALE,1848
erster_soldat_2b,5,3.0,2.0,3.0,1.0,1.0,0.01893939393939394,0.01893939393939394,0.05811119004114624,0.05811119004114624,0.2,MALE,1848
mehrere_im_trupp_rings_herum_geschrei_alle,6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.007385632550914902,0.007385632550914902,0.16666666666666666,,1848
schlick,11,2.0,1.0,2.0,1.0,1.0,0.001893939393939394,0.001893939393939394,0.009048300768222982,0.009048300768222982,0.09090909090909091,MALE,1848
thurn,16,3.0,2.0,2.0,1.0,1.0,0.019886363636363636,0.019886363636363636,0.017678787237385064,0.017678787237385064,0.0625,MALE,1848
wallenstein,17,3.0,2.0,7.0,1.0,1.0,0.0,0.027462121212121212,0.018685590834321097,0.018685590834321097,0.058823529411764705,MALE,1848
dritter_soldat_2c,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016449791152195723,0.016449791152195723,0.0,MALE,1848
zweiter_soldat_2a,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016041106721196408,0.016041106721196408,0.0,MALE,1848
diener_3,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008216966659568944,0.008216966659568944,0.0,MALE,1848
hauptmann_4,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.014919223428235342,0.014919223428235342,0.0,MALE,1848
diener_4,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009987669312984965,0.009987669312984965,0.0,MALE,1848
arbeiter,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.022412743104792337,0.022412743104792337,0.0,MALE,1848
kaemmerling,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01053312989400584,0.01053312989400584,0.0,MALE,1848
seyfried,6,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.011433498316110381,0.011433498316110381,0.0,MALE,1848
ein_diener_5,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008959381222460372,0.008959381222460372,0.0,MALE,1848
