,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenigin,117,18.0,7.0,26.0,11.0,63.0,0.16479276895943562,0.29828042328042326,0.09151001331469581,0.09151001331469581,5.9230769230769225,FEMALE,1828
bancbanus,145,29.0,15.0,52.0,14.0,51.0,0.3604497354497355,0.31569664902998235,0.18206436165241158,0.18206436165241158,4.924137931034482,MALE,1828
koenig,56,7.0,2.0,6.0,5.0,27.0,0.06161816578483245,0.056878306878306875,0.02883783846260952,0.02883783846260952,2.4107142857142856,MALE,1828
otto,120,13.0,6.0,49.0,7.0,40.0,0.09336419753086418,0.06701940035273368,0.14102306380422494,0.14102306380422494,2.333333333333333,MALE,1828
simon,60,12.0,5.0,18.0,7.0,19.0,0.0867504409171076,0.23500881834215165,0.07627057152587542,0.07627057152587542,2.216666666666667,MALE,1828
erny,77,8.0,4.0,35.0,4.0,26.0,0.03262786596119929,0.03262786596119929,0.11152921116343378,0.11152921116343378,1.3506493506493507,FEMALE,1828
diener_1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008714107303992996,0.008714107303992996,1.0,MALE,1828
edelmann,2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.008714107303992996,0.008714107303992996,1.0,MALE,1828
ernys_kammerfrau,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008714107303992996,0.008714107303992996,1.0,FEMALE,1828
peter,37,7.0,4.0,17.0,3.0,9.0,0.007275132275132275,0.15079365079365079,0.04835127429042981,0.04835127429042981,0.7297297297297298,MALE,1828
hauptmann,11,4.0,2.0,5.0,2.0,4.0,0.0,0.07208994708994709,0.02539653370799758,0.02539653370799758,0.7272727272727273,MALE,1828
kammerfrau_der_koenigin,6,3.0,1.0,4.0,2.0,2.0,0.0,0.0,0.013652497695094475,0.013652497695094475,0.6666666666666666,FEMALE,1828
erster_diener_2,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008714107303992996,0.008714107303992996,0.5,MALE,1828
befehlshaber,10,4.0,2.0,6.0,2.0,2.0,0.021604938271604937,0.09788359788359788,0.016665453234908232,0.016665453234908232,0.4,MALE,1828
dienerin,3,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.01781741861228634,0.01781741861228634,0.3333333333333333,FEMALE,1828
soldat,3,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.014782981509521894,0.014782981509521894,0.3333333333333333,MALE,1828
arzt,13,3.0,1.0,6.0,2.0,2.0,0.0,0.0,0.016121692890645214,0.016121692890645214,0.3076923076923077,MALE,1828
erster_diener_3,4,2.0,1.0,1.0,1.0,1.0,0.026455026455026454,0.026455026455026454,0.009948704901768366,0.009948704901768366,0.25,MALE,1828
gertrude,22,3.0,2.0,5.0,1.0,5.0,0.02601410934744268,0.0,0.015342461652747497,0.015342461652747497,0.22727272727272727,FEMALE,1828
erster_diener_1,11,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.01781741861228634,0.01781741861228634,0.18181818181818182,MALE,1828
schlosshauptmann,7,3.0,2.0,4.0,1.0,1.0,0.0,0.020061728395061724,0.01717705342808441,0.01717705342808441,0.14285714285714285,MALE,1828
ein_gewaffneter,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01212610462930303,0.01212610462930303,0.0,MALE,1828
von_der_strasse_herauf_gesang_viele_stimmen_geschrei,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011748544406757445,0.011748544406757445,0.0,,1828
zweiter_diener_3,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017170629606442684,0.017170629606442684,0.0,MALE,1828
diener_3,3,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.01680070940207357,0.01680070940207357,0.0,MALE,1828
diener_2,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.014782981509521894,0.014782981509521894,0.0,MALE,1828
kaemmerer,5,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.014472153570120567,0.014472153570120567,0.0,MALE,1828
erster_begleiter,8,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.02138831101231051,0.02138831101231051,0.0,MALE,1828
zweiter_anfuehrer,5,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.01234558618847716,0.01234558618847716,0.0,MALE,1828
