,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ottokar,273,42.0,14.0,28.0,124.0,0.37374344742522353,0.3098596978106691,0.09815337951105725,0.09815337951105725,12.717948717948717,MALE,1825
rudolf_von_habsburg,80,22.0,7.0,15.0,32.0,0.16130126426148628,0.17738205365402404,0.04026953546037274,0.04026953546037274,6.0,MALE,1825
benesch,34,10.0,4.0,6.0,15.0,0.009065679925994448,0.06120875732346592,0.018331650605677225,0.018331650605677225,2.6470588235294117,MALE,1825
der_alte_merenberg,36,12.0,6.0,6.0,13.0,0.05664508171446191,0.08826703669441875,0.0485313164788955,0.0485313164788955,2.1666666666666665,MALE,1825
zawisch,95,16.0,9.0,7.0,29.0,0.02699660807893925,0.02335800185013876,0.06816016517657321,0.06816016517657321,2.136842105263158,MALE,1825
seyfried,42,12.0,6.0,6.0,11.0,0.05792476102374344,0.06537156953438174,0.034378135554879424,0.034378135554879424,1.5714285714285716,MALE,1825
milota,51,11.0,6.0,5.0,16.0,0.0515109466543324,0.11451588035769349,0.03568215098751152,0.03568215098751152,1.5686274509803921,MALE,1825
kunigunde,32,8.0,4.0,4.0,12.0,0.03266265803268578,0.061979648473635525,0.01958744135089092,0.01958744135089092,1.5,FEMALE,1825
koenigin_margarethe,58,10.0,5.0,5.0,12.0,0.023088189947579402,0.06521739130434781,0.04599023957223939,0.04599023957223939,1.0344827586206897,FEMALE,1825
diener_1a,1,2.0,1.0,1.0,1.0,0.0,0.0,0.006370047458554491,0.006370047458554491,1.0,MALE,1825
emerberg,4,3.0,1.0,2.0,2.0,0.005550416281221092,0.04394079555966698,0.006370047458554491,0.006370047458554491,1.0,MALE,1825
gemurmel,1,2.0,1.0,1.0,1.0,0.005550416281221092,0.005550416281221092,0.006370047458554491,0.006370047458554491,1.0,,1825
erster_abgesandter,4,3.0,1.0,2.0,2.0,0.0,0.012334258402713537,0.007042892095581661,0.007042892095581661,1.0,MALE,1825
bertha,8,4.0,2.0,2.0,4.0,0.0008094357076780759,0.0034690101757631825,0.010431408588810677,0.010431408588810677,1.0,FEMALE,1825
von_aussen_5,1,2.0,1.0,1.0,1.0,0.0,0.0,0.021307553958548036,0.021307553958548036,1.0,UNKNOWN,1825
fuellenstein,41,9.0,4.0,5.0,8.0,0.028677150786308975,0.09875115633672527,0.03242554657841281,0.03242554657841281,0.975609756097561,MALE,1825
zweiter_abgesandter,6,2.0,1.0,1.0,4.0,0.0,0.0,0.00783657378472962,0.00783657378472962,0.6666666666666666,MALE,1825
schweizersoldat,6,3.0,1.0,2.0,2.0,0.0120259019426457,0.0120259019426457,0.00783657378472962,0.00783657378472962,0.6666666666666666,MALE,1825
bote,4,2.0,1.0,1.0,2.0,0.0,0.0,0.007592870643616976,0.007592870643616976,0.5,MALE,1825
hornek,2,2.0,1.0,1.0,1.0,0.0,0.0,0.006766888303128469,0.006766888303128469,0.5,MALE,1825
kammerfraeulein,27,5.0,3.0,2.0,6.0,0.00046253469010175765,0.00046253469010175765,0.020978546355238086,0.020978546355238086,0.4444444444444444,FEMALE,1825
bela,3,2.0,1.0,1.0,1.0,0.0,0.029139685476410732,0.006370047458554491,0.006370047458554491,0.3333333333333333,MALE,1825
erster_buerger,3,2.0,1.0,1.0,1.0,0.012488436632747457,0.012488436632747457,0.006766888303128469,0.006766888303128469,0.3333333333333333,MALE,1825
kanzler,63,7.0,4.0,3.0,7.0,0.021546407647240213,0.03006475485661424,0.04906889283963776,0.04906889283963776,0.3333333333333333,MALE,1825
buerger,5,2.0,1.0,1.0,1.0,0.0,0.0,0.06077982887772323,0.06077982887772323,0.2,MALE,1825
knappe-diener,5,2.0,1.0,1.0,1.0,0.0,0.0,0.03796611401520619,0.03796611401520619,0.2,MALE,1825
elisabeth,23,6.0,4.0,2.0,2.0,0.032377428307123035,0.032377428307123035,0.0367290682858149,0.0367290682858149,0.17391304347826086,FEMALE,1825
heinrich_von_lichtenstein,6,3.0,2.0,1.0,1.0,0.028368794326241138,0.030218933086648164,0.013819106738000533,0.013819106738000533,0.16666666666666666,MALE,1825
buergermeister_von_prag,17,4.0,3.0,1.0,2.0,0.012488436632747457,0.012488436632747457,0.06481417290554922,0.06481417290554922,0.11764705882352941,MALE,1825
burggraf,9,2.0,1.0,1.0,1.0,0.0,0.0,0.008388581369636001,0.008388581369636001,0.1111111111111111,MALE,1825
herold,20,3.0,2.0,1.0,1.0,0.0,0.01518655565834104,0.0196328574999302,0.0196328574999302,0.05,MALE,1825
zweiter_buerger,2,1.0,1.0,0.0,0.0,0.0,0.0,0.01144912717084583,0.01144912717084583,0.0,MALE,1825
diener_2a,2,1.0,1.0,0.0,0.0,0.0,0.0,0.006370047458554491,0.006370047458554491,0.0,MALE,1825
diener_1b,5,1.0,1.0,0.0,0.0,0.0,0.0,0.007715736732608832,0.007715736732608832,0.0,MALE,1825
es_stuerzt_einer_herein,1,1.0,1.0,0.0,0.0,0.0,0.0,0.006766888303128469,0.006766888303128469,0.0,MALE,1825
knecht_5a,3,1.0,1.0,0.0,0.0,0.0,0.0,0.011384206287796288,0.011384206287796288,0.0,MALE,1825
wortfuehrer_der_kaerntner,2,1.0,1.0,0.0,0.0,0.0,0.0,0.007042892095581661,0.007042892095581661,0.0,MALE,1825
kuester,4,1.0,1.0,0.0,0.0,0.0,0.0,0.006370047458554491,0.006370047458554491,0.0,MALE,1825
diener_5a,11,1.0,1.0,0.0,0.0,0.0,0.0,0.011752804554771856,0.011752804554771856,0.0,MALE,1825
diener_4,1,1.0,1.0,0.0,0.0,0.0,0.0,0.006370047458554491,0.006370047458554491,0.0,MALE,1825
frau_3b,3,1.0,1.0,0.0,0.0,0.0,0.0,0.00783657378472962,0.00783657378472962,0.0,FEMALE,1825
diener_2b,2,1.0,1.0,0.0,0.0,0.0,0.0,0.007042892095581661,0.007042892095581661,0.0,MALE,1825
frau_3a,4,1.0,1.0,0.0,0.0,0.0,0.0,0.012043817766881494,0.012043817766881494,0.0,FEMALE,1825
pettauer,1,1.0,1.0,0.0,0.0,0.0,0.0,0.006370047458554491,0.006370047458554491,0.0,MALE,1825
paltram,1,1.0,1.0,0.0,0.0,0.0,0.0,0.006766888303128469,0.006766888303128469,0.0,MALE,1825
knecht_duxer,5,1.0,1.0,0.0,0.0,0.0,0.0,0.012587850043025338,0.012587850043025338,0.0,MALE,1825
hauptmann,3,1.0,1.0,0.0,0.0,0.0,0.0,0.009027794540752448,0.009027794540752448,0.0,MALE,1825
knecht_5b,3,1.0,1.0,0.0,0.0,0.0,0.0,0.00835376902721249,0.00835376902721249,0.0,MALE,1825
alle_von_aussen_die_im_saale_zuruf,4,,,,,,,,,,,1825
wortfuehrer_der_steirer,1,,,,,,,,,,MALE,1825
ortolf,1,,,,,,,,,,MALE,1825
die_böhmen,1,,,,,,,,,,,1825
ein_ritter,1,,,,,,,,,,MALE,1825
diener_5b,1,,,,,,,,,,MALE,1825
alle_5,0,,,,,,,,,,,1825
