,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
libussa,160,19.0,8.0,39.0,11.0,65.0,0.14970355731225293,0.03590250329380763,0.10832363317455403,0.10832363317455403,4.46875,FEMALE,1848
primislaus,157,15.0,7.0,45.0,8.0,51.0,0.08712121212121214,0.15085638998682477,0.12597444855916726,0.12597444855916726,2.5987261146496814,MALE,1848
wlasta,78,12.0,5.0,22.0,7.0,23.0,0.21772068511198941,0.2243083003952569,0.06429758879251295,0.06429758879251295,2.0641025641025643,FEMALE,1848
ein_alter,5,5.0,2.0,2.0,3.0,3.0,0.11660079051383399,0.11660079051383399,0.03128901325558761,0.03128901325558761,1.7999999999999998,MALE,1848
dobra,17,7.0,3.0,3.0,4.0,7.0,0.04051383399209486,0.14723320158102765,0.05504392168397475,0.05504392168397475,1.6470588235294117,FEMALE,1848
domaslav,77,13.0,7.0,24.0,6.0,16.0,0.026185770750988144,0.09617918313570487,0.08603332810526215,0.08603332810526215,1.2467532467532467,MALE,1848
biwoy,37,10.0,5.0,13.0,5.0,9.0,0.023056653491436093,0.1920289855072464,0.05651569790529281,0.05651569790529281,1.2162162162162162,MALE,1848
lapak,69,12.0,6.0,15.0,6.0,13.0,0.03376152832674571,0.07938076416337286,0.060857696367702344,0.060857696367702344,1.1304347826086958,MALE,1848
erster_spieler,8,6.0,3.0,3.0,3.0,3.0,0.1284584980237154,0.1284584980237154,0.04079728272668623,0.04079728272668623,1.125,MALE,1848
gewaffneter,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.010664468141824823,0.010664468141824823,1.0,MALE,1848
einer_der_zusehenden,5,3.0,1.0,1.0,2.0,2.0,0.001976284584980237,0.001976284584980237,0.030889708893687737,0.030889708893687737,0.8,MALE,1848
tetka,32,7.0,4.0,10.0,3.0,8.0,0.011528326745718047,0.09584980237154149,0.03589767066060221,0.03589767066060221,0.75,FEMALE,1848
kascha,43,5.0,2.0,10.0,3.0,10.0,0.0006587615283267456,0.0,0.03441994241305989,0.03441994241305989,0.6976744186046512,FEMALE,1848
einer_von_denen_am_tische,5,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.010664468141824823,0.010664468141824823,0.6,MALE,1848
dobromila,31,5.0,3.0,13.0,2.0,6.0,0.0,0.11363636363636363,0.03552026130389416,0.03552026130389416,0.3870967741935484,FEMALE,1848
zweiter_spieler,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.02222410596751563,0.02222410596751563,0.3333333333333333,MALE,1848
ein_alter_von_der_linken_seite_kommend,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.02379320310848418,0.02379320310848418,0.25,MALE,1848
swartka,12,3.0,2.0,6.0,1.0,1.0,0.01054018445322793,0.03293807641633728,0.04215231179727755,0.04215231179727755,0.08333333333333333,FEMALE,1848
das_weib,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02222410596751563,0.02222410596751563,0.0,FEMALE,1848
einer_der_gekommenen,5,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0285948599564212,0.0285948599564212,0.0,MALE,1848
weiber_und_kinder,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02379320310848418,0.02379320310848418,0.0,,1848
erster_streitender,8,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0230845598464757,0.0230845598464757,0.0,MALE,1848
zweiter_streitender,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012080982191974957,0.012080982191974957,0.0,MALE,1848
slawa,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01486353793021712,0.01486353793021712,0.0,FEMALE,1848
