,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
jason,197,15.0,7.0,8.0,57.0,0.26666666666666666,0.41111111111111115,0.23678947219584687,0.23678947219584687,2.314720812182741,MALE,1821
medea,288,12.0,6.0,6.0,104.0,0.23333333333333334,0.16666666666666669,0.3015617694790002,0.3015617694790002,2.1666666666666665,FEMALE,1821
koenig,120,9.0,4.0,5.0,49.0,0.1,0.1,0.10259933883739597,0.10259933883739597,2.0416666666666665,MALE,1821
kreusa,72,6.0,2.0,4.0,22.0,0.0,0.0,0.06760327062141178,0.06760327062141178,1.2222222222222223,FEMALE,1821
gora,99,7.0,4.0,3.0,39.0,0.0,0.21666666666666667,0.12172651643994348,0.12172651643994348,1.1818181818181817,FEMALE,1821
knabe_aeltere,14,5.0,2.0,3.0,5.0,0.07777777777777778,0.26666666666666666,0.03869089646443397,0.03869089646443397,1.0714285714285714,MALE,1821
sklave,3,2.0,1.0,1.0,1.0,0.0,0.0,0.024234709385945064,0.024234709385945064,0.3333333333333333,MALE,1821
landmann,6,2.0,1.0,1.0,1.0,0.0,0.0,0.033429870846904915,0.033429870846904915,0.16666666666666666,MALE,1821
herold,7,2.0,2.0,0.0,0.0,0.0,0.0,0.02461630236543864,0.02461630236543864,0.0,MALE,1821
kleine_kleinere,2,1.0,1.0,0.0,0.0,0.0,0.0,0.025882887162224505,0.025882887162224505,0.0,MALE,1821
magd,2,1.0,1.0,0.0,0.0,0.0,0.0,0.02286496620145454,0.02286496620145454,0.0,FEMALE,1821
sklavin,1,,,,,,,,,,FEMALE,1821
