,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
horribilicribrifax,76,12.0,5.0,13.0,7.0,23.0,0.18274853801169588,0.25146198830409355,0.07415272823162673,0.07415272823162673,2.1184210526315788,MALE,1650
cleander,43,5.0,2.0,3.0,3.0,20.0,0.005847953216374269,0.007309941520467836,0.04069334227024056,0.04069334227024056,1.3953488372093024,MALE,1650
coelestina,88,9.0,4.0,19.0,5.0,20.0,0.13396686159844057,0.17397660818713448,0.06295298284041197,0.06295298284041197,1.1363636363636362,FEMALE,1650
daradiridatumtarides,52,8.0,3.0,5.0,5.0,11.0,0.1537037037037037,0.195906432748538,0.037339340437545214,0.037339340437545214,1.0576923076923077,MALE,1650
sempronius,143,6.0,2.0,40.0,4.0,36.0,0.06671539961013645,0.08187134502923976,0.12041906665381132,0.12041906665381132,1.006993006993007,MALE,1650
cyrilla,179,11.0,7.0,44.0,4.0,43.0,0.23903508771929824,0.22514619883040934,0.14238181302345074,0.14238181302345074,0.9608938547486033,FEMALE,1650
antonia,42,7.0,3.0,14.0,4.0,10.0,0.15204678362573099,0.19005847953216373,0.08647882820015106,0.08647882820015106,0.9523809523809523,FEMALE,1650
camilla,50,6.0,4.0,12.0,2.0,14.0,0.012865497076023392,0.007309941520467836,0.041949633109831505,0.041949633109831505,0.56,FEMALE,1650
selene_selenissa,50,6.0,4.0,11.0,2.0,13.0,0.10526315789473684,0.10526315789473684,0.07309128277068819,0.07309128277068819,0.52,FEMALE,1650
rabbi,16,2.0,1.0,4.0,1.0,8.0,0.0,0.0,0.03746554991386881,0.03746554991386881,0.5,MALE,1650
page,9,4.0,2.0,4.0,2.0,2.0,0.0011695906432748538,0.07748538011695906,0.018959904871219138,0.018959904871219138,0.4444444444444444,MALE,1650
sophia,14,4.0,2.0,5.0,2.0,3.0,0.0,0.0029239766081871343,0.04052214876177775,0.04052214876177775,0.42857142857142855,FEMALE,1650
florianus_florentin,26,4.0,2.0,11.0,2.0,5.0,0.0,0.005847953216374269,0.06320361611861751,0.06320361611861751,0.38461538461538464,MALE,1650
flaccilla,32,4.0,2.0,16.0,2.0,4.0,0.0,0.0029239766081871343,0.04548805093762299,0.04548805093762299,0.25,FEMALE,1650
don_diego,17,3.0,1.0,1.0,2.0,2.0,0.0,0.04093567251461988,0.010948550925722465,0.010948550925722465,0.23529411764705882,MALE,1650
bonosus,13,2.0,1.0,1.0,1.0,3.0,0.0029239766081871343,0.005847953216374269,0.010906498945611725,0.010906498945611725,0.23076923076923078,MALE,1650
palladius,35,4.0,2.0,4.0,2.0,4.0,0.04093567251461988,0.04678362573099415,0.020009164252280075,0.020009164252280075,0.22857142857142856,MALE,1650
don_cacciadiavolo,8,3.0,2.0,4.0,1.0,1.0,0.00804093567251462,0.02631578947368421,0.021372348503382495,0.021372348503382495,0.125,MALE,1650
harpax,26,3.0,2.0,11.0,1.0,3.0,0.0,0.0,0.03841331820786231,0.03841331820786231,0.11538461538461539,MALE,1650
dionysis,13,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.01325183102427755,0.01325183102427755,0.0,MALE,1650
