,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
michael,126,22.0,10.0,21.0,12.0,51.0,0.4882260101010101,0.5233585858585859,0.12834184478013413,0.12834184478013413,4.857142857142858,MALE,1650
crambe,37,11.0,5.0,7.0,6.0,15.0,0.14681186868686869,0.1848169191919192,0.04313984293467262,0.04313984293467262,2.4324324324324325,MALE,1650
theodosia,90,15.0,7.0,18.0,8.0,26.0,0.3700441919191919,0.38178661616161613,0.08027983682532513,0.08027983682532513,2.311111111111111,FEMALE,1650
leo,95,10.0,4.0,13.0,6.0,31.0,0.09119318181818183,0.10306186868686866,0.04871762895285662,0.04871762895285662,1.9578947368421054,MALE,1650
jamblichius,10,3.0,1.0,1.0,2.0,7.0,0.027462121212121212,0.027462121212121212,0.019313609113827117,0.019313609113827117,1.4,MALE,1650
zweiter_verschworener,29,10.0,5.0,9.0,5.0,8.0,0.14232954545454543,0.10290404040404041,0.042545599375043104,0.042545599375043104,1.3793103448275863,MALE,1650
dritter_richter,9,6.0,3.0,4.0,3.0,3.0,0.02888257575757576,0.06865530303030305,0.03683851392008854,0.03683851392008854,1.0,MALE,1650
zehnter_richter,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005930867588826407,0.005930867588826407,1.0,MALE,1650
neunter_richter,4,3.0,1.0,2.0,2.0,2.0,0.08159722222222222,0.05318813131313132,0.022628078179584687,0.022628078179584687,1.0,MALE,1650
vierter_richter,10,5.0,2.0,2.0,3.0,3.0,0.07196969696969698,0.12326388888888888,0.024944417800250203,0.024944417800250203,0.8999999999999999,MALE,1650
erster_verschworener,28,7.0,3.0,6.0,4.0,6.0,0.09201388888888888,0.12279040404040406,0.03171677789515614,0.03171677789515614,0.8571428571428571,MALE,1650
sechster_richter,5,3.0,1.0,1.0,2.0,2.0,0.02998737373737374,0.030303030303030304,0.016979602420696332,0.016979602420696332,0.8,MALE,1650
siebenter_richter,5,4.0,2.0,2.0,2.0,2.0,0.0533459595959596,0.08096590909090905,0.01528607019317697,0.01528607019317697,0.8,MALE,1650
exabolius,55,7.0,3.0,19.0,4.0,11.0,0.011710858585858592,0.008049242424242424,0.045933388546205885,0.045933388546205885,0.8,MALE,1650
nicander,34,5.0,2.0,9.0,3.0,8.0,0.004103535353535353,0.001893939393939394,0.028002269197186378,0.028002269197186378,0.7058823529411764,MALE,1650
zweiter_richter,9,4.0,2.0,4.0,2.0,3.0,0.020675505050505052,0.0,0.033797464414407265,0.033797464414407265,0.6666666666666666,MALE,1650
jungfrauen,2,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.018924829087571385,0.018924829087571385,0.5,,1650
achter_richter,4,3.0,2.0,2.0,1.0,2.0,0.07970328282828283,0.05129419191919193,0.01964381231979741,0.01964381231979741,0.5,MALE,1650
erster_richter,17,7.0,5.0,9.0,2.0,4.0,0.06644570707070707,0.060448232323232334,0.040356797545901234,0.040356797545901234,0.47058823529411764,MALE,1650
phronesis,9,3.0,1.0,5.0,2.0,2.0,0.0,0.02556818181818182,0.01905384611597714,0.01905384611597714,0.4444444444444444,FEMALE,1650
sechster_verschworener,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.008375510857801124,0.008375510857801124,0.3333333333333333,MALE,1650
bothe,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.008555463294256552,0.008555463294256552,0.3333333333333333,MALE,1650
reyen_der_hoeflinge,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.005930867588826407,0.005930867588826407,0.3333333333333333,,1650
priester,20,5.0,3.0,8.0,2.0,3.0,0.054924242424242424,0.054924242424242424,0.045862251744210714,0.045862251744210714,0.3,,1650
vierter_verschworener,11,4.0,3.0,5.0,1.0,3.0,0.0,0.0,0.022278539480614735,0.022278539480614735,0.2727272727272727,MALE,1650
fuenfter_verschworener,4,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.014971870222326267,0.014971870222326267,0.25,MALE,1650
dritter_verschworener,19,5.0,3.0,9.0,2.0,2.0,0.08112373737373738,0.12452651515151515,0.03148800500230941,0.03148800500230941,0.21052631578947367,MALE,1650
waechter,10,2.0,1.0,9.0,1.0,2.0,0.0,0.0,0.025181286523771072,0.025181286523771072,0.2,MALE,1650
fuenfter_richter,6,2.0,1.0,1.0,1.0,1.0,0.02809343434343434,0.02840909090909091,0.012998371699508657,0.012998371699508657,0.16666666666666666,MALE,1650
papias,30,3.0,2.0,18.0,1.0,4.0,0.0,0.0,0.041219002228436746,0.041219002228436746,0.13333333333333333,MALE,1650
der_geist,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008276116173994479,0.008276116173994479,0.0,MALE,1650
diener,5,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.015709440664725276,0.015709440664725276,0.0,MALE,1650
trabanten,20,4.0,4.0,12.0,0.0,0.0,0.0,0.0,0.028222714018277213,0.028222714018277213,0.0,,1650
oberster_priester,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008555463294256552,0.008555463294256552,0.0,MALE,1650
