,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
la_roquette,182,19.0,9.0,57.0,10.0,58.0,0.1194270015698587,0.031318681318681325,0.21050123058409398,0.21050123058409398,3.1868131868131866,MALE,1844
ludwig,132,16.0,7.0,21.0,9.0,46.0,0.09772370486656201,0.08516483516483517,0.09378133364662034,0.09378133364662034,3.1363636363636367,MALE,1844
moliere,90,16.0,7.0,20.0,9.0,28.0,0.13683935112506543,0.16923076923076924,0.07923673778304366,0.07923673778304366,2.8,MALE,1844
lefevre,107,17.0,8.0,31.0,9.0,30.0,0.13287545787545785,0.1532967032967033,0.10812741569316636,0.10812741569316636,2.523364485981308,MALE,1844
lionne,64,13.0,6.0,7.0,7.0,20.0,0.0381083202511774,0.2945970695970696,0.034106098807357335,0.034106098807357335,2.1875,MALE,1844
chapelle,92,11.0,5.0,11.0,6.0,25.0,0.04933281004709576,0.11529304029304031,0.041358869061615525,0.041358869061615525,1.6304347826086956,MALE,1844
matthieu,45,9.0,3.0,16.0,6.0,12.0,0.009065934065934067,0.0018315018315018315,0.04133369123899556,0.04133369123899556,1.6,MALE,1844
delarive,44,9.0,5.0,17.0,4.0,11.0,0.009981684981684983,0.019230769230769232,0.05266858646704767,0.05266858646704767,1.0,MALE,1844
madeleine,100,10.0,6.0,38.0,4.0,21.0,0.02294610151753009,0.11694139194139194,0.12716031388149074,0.12716031388149074,0.84,FEMALE,1844
dubois,40,9.0,5.0,11.0,4.0,7.0,0.008516483516483516,0.03571428571428572,0.041225548821015486,0.041225548821015486,0.7,MALE,1844
armande,64,9.0,5.0,29.0,4.0,10.0,0.007051282051282052,0.045787545787545784,0.08500645747421526,0.08500645747421526,0.625,FEMALE,1844
germain,9,3.0,2.0,5.0,1.0,2.0,0.0,0.023809523809523815,0.026976698774118832,0.026976698774118832,0.2222222222222222,MALE,1844
lakai,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015048903289329433,0.015048903289329433,0.0,MALE,1844
offizier,4,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.021576964166639387,0.021576964166639387,0.0,MALE,1844
louison,3,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.021891150311250412,0.021891150311250412,0.0,FEMALE,1844
