,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
lady,149,16.0,8.0,8.0,41.0,0.24057734204793033,0.34771241830065364,0.11279148761072677,0.11279148761072677,2.2013422818791946,FEMALE,1839
savage,184,13.0,5.0,8.0,38.0,0.13959694989106755,0.11633986928104575,0.15190698436911965,0.15190698436911965,1.6521739130434783,MALE,1839
bursche,3,3.0,1.0,2.0,2.0,0.0,0.0,0.021958074999674233,0.021958074999674233,1.3333333333333333,MALE,1839
toms,16,5.0,1.0,4.0,5.0,0.017020697167755994,0.018627450980392157,0.02335093460335481,0.02335093460335481,1.25,MALE,1839
miss_ellen,107,8.0,3.0,5.0,24.0,0.0784313725490196,0.0784313725490196,0.053607892431062426,0.053607892431062426,1.1214953271028036,FEMALE,1839
neunte_maske,2,1.0,0.0,1.0,2.0,0.0,0.0,0.014018737658293296,0.014018737658293296,1.0,MALE,1839
steele,112,12.0,6.0,6.0,16.0,0.08387799564270153,0.11993464052287583,0.10443121929139473,0.10443121929139473,0.8571428571428571,MALE,1839
lord_tyrconnel,96,9.0,4.0,5.0,16.0,0.10242374727668845,0.12908496732026145,0.10278397307564657,0.10278397307564657,0.8333333333333333,MALE,1839
viscount,50,5.0,2.0,3.0,6.0,0.008741830065359476,0.014705882352941176,0.03824283534720142,0.03824283534720142,0.36,MALE,1839
kitty,18,6.0,4.0,2.0,2.0,0.0821078431372549,0.1676470588235294,0.07039455210207153,0.07039455210207153,0.2222222222222222,FEMALE,1839
lord_berwick,58,4.0,2.0,2.0,4.0,0.004847494553376906,0.0,0.054566479547021665,0.054566479547021665,0.13793103448275862,MALE,1839
lord_winchester,44,4.0,3.0,1.0,6.0,0.005446623093681917,0.0,0.06988552516273436,0.06988552516273436,0.13636363636363635,MALE,1839
bedienter_der_lady,25,3.0,2.0,1.0,2.0,0.0016339869281045752,0.0,0.04517216012729783,0.04517216012729783,0.08,MALE,1839
haushofmeister,10,1.0,1.0,0.0,0.0,0.0,0.0,0.015917365278440627,0.015917365278440627,0.0,MALE,1839
oberrichter,8,2.0,2.0,0.0,0.0,0.0,0.0,0.03870649313339602,0.03870649313339602,0.0,MALE,1839
erster_bedienter,4,1.0,1.0,0.0,0.0,0.0,0.0,0.02493914859296392,0.02493914859296392,0.0,MALE,1839
dritter_bedienter,4,1.0,1.0,0.0,0.0,0.0,0.0,0.020814676107871813,0.020814676107871813,0.0,MALE,1839
alle_4-2-4,2,1.0,1.0,0.0,0.0,0.0,0.0,0.018695467663140078,0.018695467663140078,0.0,,1839
maennliche_stimme,4,1.0,1.0,0.0,0.0,0.0,0.0,0.017815992898587957,0.017815992898587957,0.0,MALE,1839
zweiter_bedienter,2,,,,,,,,,,MALE,1839
erste_maske,2,,,,,,,,,,MALE,1839
zweite_maske,2,,,,,,,,,,MALE,1839
dritte_maske,2,,,,,,,,,,MALE,1839
vierte_maske,2,,,,,,,,,,MALE,1839
fuenfte_maske,2,,,,,,,,,,MALE,1839
sechste_maske,2,,,,,,,,,,MALE,1839
achte_maske,2,,,,,,,,,,MALE,1839
zehnte_maske,2,,,,,,,,,,MALE,1839
