,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
koenig,457,23.0,10.0,111.0,13.0,155.0,0.2625438596491228,0.19692982456140348,0.1492185787507323,0.1492185787507323,4.409190371991247,MALE,1844
erbprinz,408,17.0,8.0,124.0,9.0,172.0,0.11605263157894735,0.08925438596491227,0.18796489140893155,0.18796489140893155,3.7941176470588234,MALE,1844
grumbkow,74,10.0,4.0,14.0,6.0,28.0,0.0,0.0,0.022504206361397442,0.022504206361397442,2.27027027027027,MALE,1844
wilhelmine,248,10.0,4.0,81.0,6.0,76.0,0.09263157894736843,0.11842105263157894,0.09170418168206991,0.09170418168206991,1.838709677419355,FEMALE,1844
koenigin,120,13.0,7.0,38.0,6.0,34.0,0.20464912280701753,0.26842105263157895,0.057661082146073045,0.057661082146073045,1.7,FEMALE,1844
seckendorf,64,10.0,5.0,16.0,5.0,20.0,0.002631578947368421,0.14298245614035085,0.036953842746288386,0.036953842746288386,1.5625,MALE,1844
kamke,16,4.0,2.0,4.0,2.0,12.0,0.039473684210526314,0.039473684210526314,0.013288260742107878,0.013288260742107878,1.5,MALE,1844
sonnsfeld,166,10.0,6.0,38.0,4.0,58.0,0.12070175438596491,0.13728070175438598,0.07863277144945584,0.07863277144945584,1.3975903614457832,MALE,1844
alle_5-1-4_und_5-1-5,8,3.0,1.0,2.0,2.0,4.0,0.0,0.02763157894736842,0.01139840397236258,0.01139840397236258,1.0,,1844
alle_3-1-4,2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.009347044626685248,0.009347044626685248,1.0,,1844
holzendorf,20,4.0,2.0,6.0,2.0,10.0,0.0,0.02236842105263158,0.02131690008311592,0.02131690008311592,1.0,FEMALE,1844
alle_4-2-2,8,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.009347044626685248,0.009347044626685248,1.0,,1844
hotham,236,12.0,7.0,115.0,5.0,38.0,0.06657894736842106,0.21557017543859647,0.12948563289619297,0.12948563289619297,0.8050847457627118,MALE,1844
viereck,28,4.0,2.0,10.0,2.0,10.0,0.0,0.0,0.02672563691359922,0.02672563691359922,0.7142857142857143,FEMALE,1844
eversmann,154,9.0,5.0,57.0,4.0,26.0,0.0,0.10394736842105264,0.06119437780379997,0.06119437780379997,0.6753246753246753,MALE,1844
eckhof,58,3.0,2.0,26.0,1.0,2.0,0.0,0.0,0.03880077594856122,0.03880077594856122,0.034482758620689655,MALE,1844
graf_schwerin,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.010983623230242306,0.010983623230242306,0.0,MALE,1844
graf_wartensleben,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.010983623230242306,0.010983623230242306,0.0,MALE,1844
lakai,8,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.010983623230242306,0.010983623230242306,0.0,MALE,1844
lakaien,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0112295751415692,0.0112295751415692,0.0,,1844
die_trommler,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010275923009644913,0.010275923009644913,0.0,,1844
