,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
adele,104,17.0,8.0,31.0,9.0,30.0,0.0615424430641822,0.10408432147562582,0.08772808977233647,0.08772808977233647,2.596153846153846,FEMALE,1874
rosalinde,201,18.0,11.0,41.0,7.0,55.0,0.1060370788631658,0.12285902503293807,0.12995315522163656,0.12995315522163656,1.9154228855721391,FEMALE,1874
eisenstein,250,18.0,11.0,65.0,7.0,64.0,0.09632505175983436,0.03623188405797101,0.20125709489588103,0.20125709489588103,1.792,MALE,1874
frank,112,12.0,6.0,33.0,6.0,32.0,0.052018633540372665,0.06587615283267458,0.10543547013929856,0.10543547013929856,1.7142857142857142,MALE,1874
melanie,10,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.008134543304032557,0.008134543304032557,1.6,FEMALE,1874
frosch,42,6.0,2.0,16.0,4.0,13.0,0.0,0.018774703557312252,0.052627872391453646,0.052627872391453646,1.2380952380952381,MALE,1874
orlofsky,57,8.0,4.0,11.0,4.0,16.0,0.03136645962732919,0.037549407114624504,0.04469204576464543,0.04469204576464543,1.1228070175438596,MALE,1874
ida,36,7.0,3.0,7.0,4.0,10.0,0.03425559947299078,0.06949934123847168,0.02594097387852417,0.02594097387852417,1.1111111111111112,FEMALE,1874
ramusin,4,5.0,3.0,3.0,2.0,2.0,0.11857707509881422,0.11857707509881422,0.025526965197466306,0.025526965197466306,1.0,MALE,1874
falke,88,14.0,8.0,32.0,6.0,10.0,0.1388763410502541,0.17061923583662714,0.10293125577357548,0.10293125577357548,0.6818181818181818,MALE,1874
erster_diener,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008134543304032557,0.008134543304032557,0.5,MALE,1874
zweiter_diener,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008134543304032557,0.008134543304032557,0.5,MALE,1874
minni,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008134543304032557,0.008134543304032557,0.5,FEMALE,1874
hermine,2,2.0,1.0,1.0,1.0,1.0,0.07707509881422925,0.07707509881422925,0.018983840014703695,0.018983840014703695,0.5,FEMALE,1874
blind,25,4.0,2.0,3.0,2.0,6.0,0.0,0.01383399209486166,0.015488785529361294,0.015488785529361294,0.48,MALE,1874
chor_der_gaeste_alle,45,5.0,1.0,1.0,4.0,5.0,0.06916996047430829,0.06916996047430829,0.02427152000076052,0.02427152000076052,0.4444444444444444,,1874
felicitas,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008134543304032557,0.008134543304032557,0.3333333333333333,FEMALE,1874
ali_bey,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008134543304032557,0.008134543304032557,0.3333333333333333,MALE,1874
alfred,76,6.0,4.0,16.0,2.0,10.0,0.0,0.0,0.044673269230572736,0.044673269230572736,0.2631578947368421,MALE,1874
mehrere_damen_alle_damen_die_damen,7,2.0,1.0,1.0,1.0,1.0,0.0032938076416337285,0.044466403162055336,0.010339506820342395,0.010339506820342395,0.14285714285714285,,1874
faustine,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008134543304032557,0.008134543304032557,0.125,FEMALE,1874
sidi,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015049042473811489,0.015049042473811489,0.0,FEMALE,1874
murray,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015049042473811489,0.015049042473811489,0.0,MALE,1874
carikoni,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.023110267293590683,0.023110267293590683,0.0,MALE,1874
