,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ingomar,238,17.0,8.0,64.0,9.0,71.0,0.3229303236446094,0.25158730158730164,0.23815894854479364,0.23815894854479364,2.6848739495798317,MALE,1842
parthenia,221,14.0,6.0,61.0,8.0,55.0,0.31297722119150695,0.2623015873015873,0.20661446016049953,0.20661446016049953,1.990950226244344,FEMALE,1842
myron,90,11.0,5.0,22.0,6.0,24.0,0.14999999999999997,0.13650793650793652,0.09349531017854826,0.09349531017854826,1.6,MALE,1842
timarch,23,7.0,3.0,3.0,4.0,8.0,0.03024427952999382,0.23571428571428577,0.021495663130090978,0.021495663130090978,1.391304347826087,MALE,1842
actaea,48,10.0,5.0,13.0,5.0,12.0,0.1138894042465471,0.15674603174603174,0.06952108419422079,0.06952108419422079,1.25,FEMALE,1842
amyntas,4,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.009375000000000001,0.009375000000000001,1.0,MALE,1842
novio,25,7.0,4.0,8.0,3.0,7.0,0.08923160173160176,0.05793650793650794,0.05291564221824303,0.05291564221824303,0.8400000000000001,MALE,1842
alastor,39,8.0,4.0,10.0,4.0,7.0,0.05124458874458875,0.15476190476190477,0.05003979781145513,0.05003979781145513,0.717948717948718,MALE,1842
theano,14,4.0,2.0,2.0,2.0,5.0,0.011111111111111112,0.1,0.03670208216541761,0.03670208216541761,0.7142857142857143,FEMALE,1842
ambivar,30,5.0,2.0,4.0,3.0,7.0,0.005555555555555556,0.011904761904761906,0.04219239417622722,0.04219239417622722,0.7,MALE,1842
polydor,28,4.0,2.0,6.0,2.0,6.0,0.04829416615130902,0.0071428571428571435,0.029325291829298012,0.029325291829298012,0.42857142857142855,MALE,1842
lykon,13,7.0,5.0,7.0,2.0,2.0,0.07948361162646876,0.15873015873015872,0.05452570224321598,0.05452570224321598,0.3076923076923077,MALE,1842
elpenor,13,5.0,3.0,4.0,2.0,2.0,0.07948258091115233,0.16666666666666669,0.0337172883883034,0.0337172883883034,0.3076923076923077,MALE,1842
trinobant,19,6.0,4.0,5.0,2.0,2.0,0.048412698412698414,0.11071428571428571,0.03186048902356195,0.03186048902356195,0.21052631578947367,MALE,1842
adrast,8,3.0,2.0,2.0,1.0,1.0,0.009523809523809523,0.04285714285714286,0.017492662570264682,0.017492662570264682,0.125,MALE,1842
samo,10,2.0,1.0,1.0,1.0,1.0,0.0,0.03333333333333333,0.012568183365859603,0.012568183365859603,0.1,MALE,1842
