,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
hans,415,21.0,10.0,87.0,11.0,98.0,0.39178338001867413,0.2638888888888889,0.2653745341099773,0.2653745341099773,2.597590361445783,MALE,1898
harold,132,8.0,3.0,23.0,5.0,44.0,0.018082788671023965,0.05010893246187364,0.06772668840365803,0.06772668840365803,1.6666666666666665,MALE,1898
peter,108,17.0,10.0,23.0,7.0,20.0,0.2195922813569872,0.3116557734204793,0.09778904046956924,0.09778904046956924,1.2962962962962963,MALE,1898
benno,30,9.0,5.0,10.0,4.0,8.0,0.06454248366013073,0.05473856209150327,0.047015228672573656,0.047015228672573656,1.0666666666666667,MALE,1898
von_grobitzsch,57,9.0,4.0,7.0,5.0,12.0,0.08459383753501401,0.23061002178649237,0.03068502764664048,0.03068502764664048,1.0526315789473684,MALE,1898
die_ordonnanz_1-6,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009122878431411605,0.009122878431411605,1.0,MALE,1898
paul,59,9.0,4.0,14.0,5.0,11.0,0.035130718954248366,0.05925925925925926,0.05508284058341577,0.05508284058341577,0.9322033898305084,MALE,1898
von_marschall,48,8.0,3.0,8.0,5.0,7.0,0.02748988484282602,0.15386710239651416,0.028279005355052934,0.028279005355052934,0.7291666666666667,MALE,1898
meitzen,9,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.014118228796841683,0.014118228796841683,0.6666666666666666,MALE,1898
glahn,19,4.0,1.0,1.0,3.0,4.0,0.0016339869281045752,0.04379084967320262,0.011296383098164954,0.011296383098164954,0.631578947368421,MALE,1898
eine_ordonnanz_1-3a,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009122878431411605,0.009122878431411605,0.5,MALE,1898
fritz,16,5.0,3.0,8.0,2.0,4.0,0.006598194833488951,0.013071895424836602,0.04091664593244709,0.04091664593244709,0.5,MALE,1898
joseph,12,2.0,1.0,2.0,1.0,6.0,0.0,0.0,0.03509844863620106,0.03509844863620106,0.5,MALE,1898
schmitz,48,6.0,3.0,9.0,3.0,8.0,0.030773420479302836,0.14161220043572986,0.0328251725305783,0.0328251725305783,0.5,MALE,1898
traute,112,4.0,2.0,32.0,2.0,27.0,0.005446623093681917,0.03485838779956427,0.08265121914270915,0.08265121914270915,0.48214285714285715,MALE,1898
moritz,79,11.0,7.0,16.0,4.0,9.0,0.02936507936507936,0.09891067538126362,0.06904222969757647,0.06904222969757647,0.45569620253164556,MALE,1898
heinrich,67,6.0,4.0,23.0,2.0,5.0,0.09803921568627451,0.15359477124183007,0.07640071758029647,0.07640071758029647,0.14925373134328357,MALE,1898
drewes,5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01372641624073704,0.01372641624073704,0.0,MALE,1898
die_masken,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01372641624073704,0.01372641624073704,0.0,,1898
