,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_freund,134,11.0,5.0,6.0,40.0,0.5138888888888888,0.5208333333333333,0.22712038004464277,0.22712038004464277,1.7910447761194028,MALE,1914
der_sohn,280,12.0,6.0,6.0,59.0,0.7222222222222222,0.6944444444444444,0.2803032229334627,0.2803032229334627,1.2642857142857142,MALE,1914
der_vater,82,5.0,3.0,2.0,31.0,0.027777777777777776,0.2777777777777778,0.0833207876576848,0.0833207876576848,0.7560975609756098,MALE,1914
von_tuchmeyer,33,5.0,2.0,3.0,8.0,0.006944444444444444,0.0,0.10795281980324786,0.10795281980324786,0.7272727272727273,MALE,1914
cherubim,44,5.0,3.0,2.0,14.0,0.006944444444444444,0.006944444444444444,0.11188217374082844,0.11188217374082844,0.6363636363636364,MALE,1914
der_kommissar,18,4.0,2.0,2.0,4.0,0.0,0.38888888888888884,0.03625329090105658,0.03625329090105658,0.4444444444444444,MALE,1914
der_fuerst,11,4.0,2.0,2.0,2.0,0.0,0.1111111111111111,0.047592641159765706,0.047592641159765706,0.36363636363636365,MALE,1914
adrienne,36,2.0,1.0,1.0,13.0,0.0,0.0,0.035191561253103756,0.035191561253103756,0.3611111111111111,FEMALE,1914
der_hauslehrer,19,2.0,1.0,1.0,6.0,0.0,0.0,0.019038312250620755,0.019038312250620755,0.3157894736842105,MALE,1914
das_fraeulein,58,2.0,1.0,1.0,18.0,0.0,0.0,0.051344810255586765,0.051344810255586765,0.3103448275862069,FEMALE,1914
tenorsolo_und_maennerchor,1,,,,,,,,,,,1914
