,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
der_gendarm,54,13.0,5.0,9.0,8.0,21.0,0.24877450980392152,0.31985294117647056,0.08638232632816543,0.08638232632816543,3.111111111111111,MALE,1913
der_amtssekretaer,71,7.0,3.0,12.0,4.0,31.0,0.09558823529411764,0.09191176470588235,0.0769210541546872,0.0769210541546872,1.7464788732394365,MALE,1913
der_alte_raschke,99,12.0,4.0,17.0,8.0,19.0,0.07781862745098038,0.10845588235294118,0.0714867197991089,0.0714867197991089,1.5353535353535352,MALE,1913
die_wirtin,8,5.0,2.0,2.0,3.0,3.0,0.08823529411764705,0.08823529411764705,0.04584424446228115,0.04584424446228115,1.125,FEMALE,1913
ein_bauernbursche,1,2.0,1.0,1.0,1.0,1.0,0.04779411764705882,0.04779411764705882,0.025490044792705436,0.025490044792705436,1.0,MALE,1913
die_alte_raschke,29,8.0,4.0,7.0,4.0,7.0,0.11213235294117647,0.11764705882352941,0.06727076882220841,0.06727076882220841,0.9655172413793104,MALE,1913
rapunzel,53,12.0,7.0,13.0,5.0,9.0,0.3333333333333333,0.34191176470588236,0.2155101820581696,0.2155101820581696,0.8490566037735848,FEMALE,1913
der_wirt,17,5.0,2.0,4.0,3.0,3.0,0.003676470588235294,0.10477941176470588,0.04334438655345231,0.04334438655345231,0.5294117647058824,MALE,1913
ein_bauer_3-7,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012501060418249561,0.012501060418249561,0.5,MALE,1913
christel,5,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.05320945975740099,0.05320945975740099,0.4,FEMALE,1913
prinzessin_trull,14,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.012501060418249561,0.012501060418249561,0.07142857142857142,FEMALE,1913
die_junge_raschke,30,3.0,2.0,4.0,1.0,2.0,0.0,0.0,0.035830939089032315,0.035830939089032315,0.06666666666666667,FEMALE,1913
der_polizist,31,2.0,1.0,12.0,1.0,2.0,0.0,0.0,0.0378101264348539,0.0378101264348539,0.06451612903225806,MALE,1913
der_fremde-die_stimme-johannes_habundus,41,6.0,5.0,14.0,1.0,1.0,0.058823529411764705,0.05514705882352941,0.12763945535438426,0.12763945535438426,0.024390243902439025,MALE,1913
der_eine_diener,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015997435906791906,0.015997435906791906,0.0,MALE,1913
ein_anderer_bursche,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03416774655113139,0.03416774655113139,0.0,MALE,1913
der_junge_raschke,19,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.022393764422849183,0.022393764422849183,0.0,MALE,1913
der_apostel_petrus,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015699224676278198,0.015699224676278198,0.0,MALE,1913
