,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
bauer,167,19.0,10.0,9.0,47.0,0.18854166666666666,0.12408088235294118,0.19615835079713606,0.19615835079713606,2.532934131736527,MALE,1900
joseph,149,15.0,8.0,7.0,46.0,0.13884803921568625,0.02879901960784314,0.15822705403804457,0.15822705403804457,2.1610738255033555,MALE,1900
schindlern,32,8.0,4.0,4.0,12.0,0.09031862745098038,0.125,0.04699941405635148,0.04699941405635148,1.5,FEMALE,1900
viehhaendler_blumig,43,9.0,3.0,6.0,10.0,0.0849877450980392,0.07598039215686275,0.03168582090476344,0.03168582090476344,1.3953488372093024,MALE,1900
baeuerin,81,13.0,7.0,6.0,17.0,0.08100490196078432,0.23057598039215688,0.07947281468040271,0.07947281468040271,1.259259259259259,FEMALE,1900
breite,150,11.0,5.0,6.0,25.0,0.07518382352941178,0.15900735294117646,0.15899547190365135,0.15899547190365135,1.0,FEMALE,1900
tine,50,8.0,4.0,4.0,10.0,0.023039215686274508,0.125,0.044618261039061274,0.044618261039061274,0.8,FEMALE,1900
hildebrandt,31,8.0,4.0,4.0,6.0,0.01329656862745098,0.16121323529411766,0.02561019775165524,0.02561019775165524,0.7741935483870968,MALE,1900
wirtin,30,7.0,4.0,3.0,7.0,0.03897058823529412,0.04564950980392156,0.05949690892243224,0.05949690892243224,0.7,FEMALE,1900
franzel,43,8.0,5.0,3.0,9.0,0.061642156862745094,0.11341911764705882,0.04648915426791736,0.04648915426791736,0.627906976744186,FEMALE,1900
mattern,26,4.0,1.0,3.0,4.0,0.0,0.0,0.021051827011975607,0.021051827011975607,0.46153846153846156,FEMALE,1900
kretschmer,11,3.0,1.0,2.0,2.0,0.05024509803921569,0.10526960784313726,0.022011618063769174,0.022011618063769174,0.36363636363636365,MALE,1900
vater_jakob,17,2.0,0.0,2.0,3.0,0.0,0.0,0.009131030285712001,0.009131030285712001,0.35294117647058826,MALE,1900
beckern,5,1.0,0.0,1.0,1.0,0.0,0.0,0.009131030285712001,0.009131030285712001,0.2,FEMALE,1900
huhndorf,9,3.0,2.0,1.0,1.0,0.05392156862745098,0.10894607843137255,0.015153276473557988,0.015153276473557988,0.1111111111111111,MALE,1900
einige_andere,19,3.0,2.0,1.0,1.0,0.004411764705882353,0.014705882352941176,0.026600547634185505,0.026600547634185505,0.05263157894736842,,1900
ernst,25,3.0,2.0,1.0,1.0,0.0,0.04197303921568628,0.03227481585199567,0.03227481585199567,0.04,MALE,1900
wirt,2,1.0,1.0,0.0,0.0,0.0,0.0,0.01689240603167609,0.01689240603167609,0.0,MALE,1900
die_beiden_arbeiter,2,,,,,,,,,,,1900
einige_2-3,2,,,,,,,,,,,1900
junge,1,,,,,,,,,,MALE,1900
einige_maedchen,1,,,,,,,,,,,1900
ein_junger_bursche,1,,,,,,,,,,MALE,1900
frau_glumm,2,,,,,,,,,,FEMALE,1900
frau_kretschmer,1,,,,,,,,,,FEMALE,1900
einige_burschen,1,,,,,,,,,,,1900
frau_hildebrandt,1,,,,,,,,,,FEMALE,1900
