,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
diener_jose,27,1.0,0.0,1.0,1.0,0.0,0.0,0.17543839772251532,0.17543839772251532,0.037037037037037035,MALE,1917
mander,96,1.0,0.0,1.0,1.0,0.0,0.0,0.17543839772251532,0.17543839772251532,0.010416666666666666,MALE,1917
astarte,35,1.0,1.0,0.0,0.0,0.0,0.0,0.32456160227748454,0.32456160227748454,0.0,FEMALE,1917
der_herr_juwelier,23,1.0,1.0,0.0,0.0,0.0,0.0,0.32456160227748454,0.32456160227748454,0.0,MALE,1917
der_halbwuechsige_junge_als_pan,6,,,,,,,,,,MALE,1917
tiefsee,29,,,,,,,,,,MALE,1917
lunica,26,,,,,,,,,,FEMALE,1917
schwaenchen,10,,,,,,,,,,FEMALE,1917
helie,3,,,,,,,,,,FEMALE,1917
kitz,1,,,,,,,,,,FEMALE,1917
lacerta,5,,,,,,,,,,FEMALE,1917
lucinde,3,,,,,,,,,,FEMALE,1917
muse,5,,,,,,,,,,FEMALE,1917
muecke,4,,,,,,,,,,FEMALE,1917
elfi,16,,,,,,,,,,FEMALE,1917
schwalbe,1,,,,,,,,,,FEMALE,1917
anjelka,3,,,,,,,,,,FEMALE,1917
liddi,10,,,,,,,,,,FEMALE,1917
attendorn,10,,,,,,,,,,MALE,1917
der_kuechenchef,1,,,,,,,,,,MALE,1917
henry,14,,,,,,,,,,MALE,1917
dr_michel_mander,27,,,,,,,,,,MALE,1917
lisiska,11,,,,,,,,,,FEMALE,1917
windfellner,17,,,,,,,,,,MALE,1917
einer_der_musiker,1,,,,,,,,,,MALE,1917
fraeulein_kopriva,28,,,,,,,,,,FEMALE,1917
mater_scholastica,17,,,,,,,,,,FEMALE,1917
einer_der_diener,1,,,,,,,,,,MALE,1917
die_maedchen,1,,,,,,,,,,,1917
alle_herren,1,,,,,,,,,,,1917
