,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
dunkle_stimmen,1,1.0,0.0,1.0,1.0,0.0,0.0,0.11582458599893525,0.11582458599893525,1.0,,1918
der_domorganist,73,4.0,2.0,2.0,3.0,0.25,0.25,0.26350034822839946,0.26350034822839946,0.0821917808219178,MALE,1918
georginel,51,2.0,0.0,2.0,2.0,0.0,0.0,0.11582458599893525,0.11582458599893525,0.0784313725490196,FEMALE,1918
die_mutter,44,2.0,2.0,0.0,0.0,0.0,0.0,0.23970852464188058,0.23970852464188058,0.0,FEMALE,1918
der_strolch,40,1.0,1.0,0.0,0.0,0.0,0.0,0.26514195513184985,0.26514195513184985,0.0,MALE,1918
der_eine_2-5a,1,,,,,,,,,,MALE,1918
ein_anderer_student,1,,,,,,,,,,MALE,1918
die_eine,1,,,,,,,,,,FEMALE,1918
der_eine_2-5b,1,,,,,,,,,,MALE,1918
der_andere,1,,,,,,,,,,MALE,1918
eine_krumme_alte,1,,,,,,,,,,FEMALE,1918
ein_alter_schustermeister,1,,,,,,,,,,MALE,1918
der_eine_2-5c,1,,,,,,,,,,MALE,1918
der_schmiedemeister,1,,,,,,,,,,MALE,1918
der_seminarist,8,,,,,,,,,,MALE,1918
die_zigeunerin,25,,,,,,,,,,FEMALE,1918
eine_stimme_a,1,,,,,,,,,,UNKNOWN,1918
andere_stimme_a,1,,,,,,,,,,UNKNOWN,1918
andere_stimme_b,1,,,,,,,,,,UNKNOWN,1918
eine_dunkle_stimme,2,,,,,,,,,,UNKNOWN,1918
andere_stimmen_a,1,,,,,,,,,,,1918
die_helleren_stimmen,2,,,,,,,,,,,1918
eine_schar_juenglingskoepfe,1,,,,,,,,,,,1918
andere_juenglingskoepfe_a,1,,,,,,,,,,,1918
andere_juenglingskoepfe_b,1,,,,,,,,,,,1918
eine_schar_kinderkoepfe,1,,,,,,,,,,,1918
andere_stimmen_b,1,,,,,,,,,,,1918
eine_andere_schar_kinderkoepfe,1,,,,,,,,,,,1918
andere_stimmen_c,1,,,,,,,,,,,1918
andere_stimmen_d,1,,,,,,,,,,,1918
andere_stimmen_e,1,,,,,,,,,,,1918
andere_stimmen_f,1,,,,,,,,,,,1918
verhallende_stimmen,1,,,,,,,,,,,1918
eine_kinderstimme,0,,,,,,,,,,UNKNOWN,1918
