,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
luisa,49,3.0,1.0,2.0,2.0,0.15000000000000002,0.15000000000000002,0.13867209337485895,0.13867209337485895,0.08163265306122448,FEMALE,1916
clown_odebrecht,60,3.0,1.0,2.0,2.0,0.05,0.05,0.13867209337485895,0.13867209337485895,0.06666666666666667,MALE,1916
wendelborn,89,2.0,1.0,1.0,1.0,0.2,0.2,0.13867209337485895,0.13867209337485895,0.011235955056179775,MALE,1916
tobias_buntschuh,94,2.0,1.0,1.0,1.0,0.15000000000000002,0.15000000000000002,0.19760778352628583,0.19760778352628583,0.010638297872340425,MALE,1916
radiana,64,1.0,1.0,0.0,0.0,0.0,0.0,0.13867209337485895,0.13867209337485895,0.0,FEMALE,1916
mutter_buntschuh,70,1.0,1.0,0.0,0.0,0.0,0.0,0.24770384297427808,0.24770384297427808,0.0,FEMALE,1916
ein_stallmeister_1-2,2,,,,,,,,,,MALE,1916
vater_buntschuh,9,,,,,,,,,,MALE,1916
diener_franz,23,,,,,,,,,,MALE,1916
der_sekretaer,5,,,,,,,,,,MALE,1916
ein_clown_3-1,1,,,,,,,,,,MALE,1916
clown_ambrois,17,,,,,,,,,,MALE,1916
der_stallmeister_3-5_bis_3-16,11,,,,,,,,,,MALE,1916
der_herr,3,,,,,,,,,,MALE,1916
die_dame,1,,,,,,,,,,FEMALE,1916
stimme_eines_stallmeisters,1,,,,,,,,,,MALE,1916
ein_zweiter_clown,8,,,,,,,,,,MALE,1916
der_arzt,1,,,,,,,,,,MALE,1916
ein_zirkusdiener,1,,,,,,,,,,MALE,1916
ein_anderer_stallmeister_3-16a,1,,,,,,,,,,MALE,1916
ein_anderer_stallmeister_3-16b,1,,,,,,,,,,MALE,1916
ein_anderer_stallmeister_3-16c,1,,,,,,,,,,MALE,1916
ein_anderer_stallmeister_3-16d,1,,,,,,,,,,MALE,1916
clownstimmen,2,,,,,,,,,,,1916
