,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
direktor_hassenreuter,163,25,10,15,50,0.5153186274509804,0.5863970588235294,0.13096270105254462,0.13096270105254462,4.601226993865031,MALE,1911
frau_john,233,18,9,9,112,0.1611519607843137,0.06862745098039215,0.23411428194442727,0.23411428194442727,4.32618025751073,FEMALE,1911
john,134,12,6,6,43,0.07904411764705882,0.21078431372549017,0.12255517988176508,0.12255517988176508,1.9253731343283582,MALE,1911
schierke,24,6,2,4,7,0.003063725490196078,0.10049019607843136,0.019757779780101355,0.019757779780101355,1.1666666666666667,MALE,1911
frau_direktor_hassenreuter,28,7,3,4,7,0.02389705882352941,0.1924019607843137,0.025351051453301986,0.025351051453301986,1.0,FEMALE,1911
spitta,84,8,4,4,12,0.018995098039215688,0.0661764705882353,0.07388831029764324,0.07388831029764324,0.5714285714285714,MALE,1911
die_piperkarcka,70,6,3,3,13,0.007352941176470587,0.0,0.07016613462136101,0.07016613462136101,0.5571428571428572,FEMALE,1911
nathanael_jettel,6,2,1,1,3,0.0,0.0,0.015169904135694395,0.015169904135694395,0.5,MALE,1911
quaquaro,33,4,2,2,7,0.0012254901960784314,0.0,0.043652804217899424,0.043652804217899424,0.42424242424242425,MALE,1911
walburga,60,6,4,2,11,0.0012254901960784314,0.0,0.06628361624041884,0.06628361624041884,0.36666666666666664,FEMALE,1911
alice_ruetterbusch,12,1,0,1,4,0.0,0.0,0.010717146267860448,0.010717146267860448,0.3333333333333333,FEMALE,1911
selma,29,6,4,2,4,0.0012254901960784314,0.00980392156862745,0.0427731385975285,0.0427731385975285,0.27586206896551724,FEMALE,1911
pastor_spitta,14,2,1,1,2,0.0,0.0,0.021849040937445316,0.021849040937445316,0.14285714285714285,MALE,1911
bruno,49,3,2,1,6,0.0,0.0,0.05933463584861673,0.05933463584861673,0.12244897959183673,MALE,1911
kaeferstein,9,2,1,1,1,0.0,0.0,0.01294352520177742,0.01294352520177742,0.1111111111111111,MALE,1911
dr_kegel,5,1,1,0,0,0.0,0.0,0.015169904135694395,0.015169904135694395,0.0,MALE,1911
frau_kielbacke,11,2,2,0,0,0.0,0.0,0.02236732018414248,0.02236732018414248,0.0,FEMALE,1911
frau_knobbe,8,1,1,0,0,0.0,0.0,0.01294352520177742,0.01294352520177742,0.0,FEMALE,1911
