,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
florian_geyer,193,38.0,18.0,54.0,20.0,66.0,0.23592056439800793,0.19319131161236425,0.11000146923124134,0.11000146923124134,6.839378238341968,MALE,1896
menzingen,93,25.0,11.0,22.0,14.0,34.0,0.1306422170143975,0.141532402434658,0.050664776415826174,0.050664776415826174,5.118279569892473,MALE,1896
kratzer,81,24.0,11.0,19.0,13.0,30.0,0.22222387792171627,0.22498955722639927,0.06060782627912117,0.06060782627912117,4.814814814814815,MALE,1896
loeffelholz,67,19.0,9.0,24.0,10.0,19.0,0.055122525153070256,0.07581826590285237,0.05597115230728324,0.05597115230728324,2.835820895522388,MALE,1896
sartorius,37,12.0,5.0,11.0,7.0,14.0,0.015737389785792037,0.03690849146676214,0.017793242970389162,0.017793242970389162,2.6486486486486487,MALE,1896
frau_grumbach,59,11.0,4.0,11.0,7.0,20.0,0.04109231411862991,0.042073934837092736,0.020972285142068607,0.020972285142068607,2.3728813559322033,FEMALE,1896
wolf_von_kastell,28,8.0,2.0,3.0,6.0,10.0,0.02696846282372598,0.03208542188805346,0.008812964030049606,0.008812964030049606,2.142857142857143,MALE,1896
rektor_besenmeyer,77,16.0,9.0,20.0,7.0,23.0,0.055268447091755345,0.07962913235469625,0.0466941512503889,0.0466941512503889,2.090909090909091,MALE,1896
schertlin,35,11.0,4.0,10.0,7.0,10.0,0.006646825396825396,0.008547410192147033,0.015515028978788325,0.015515028978788325,2.0,MALE,1896
bubenleben,25,7.0,1.0,1.0,6.0,8.0,0.0005221386800334168,0.009951963241436925,0.00716473064537471,0.00716473064537471,1.92,MALE,1896
hartheim,12,5.0,1.0,1.0,4.0,5.0,0.0024648675259577512,0.011038011695906432,0.0055521735716273415,0.0055521735716273415,1.6666666666666667,MALE,1896
wilhelm_von_grumbach,85,17.0,11.0,28.0,6.0,22.0,0.05162503797372217,0.06751476906552095,0.04687555632364043,0.04687555632364043,1.5529411764705885,MALE,1896
lorenz_von_hutten,34,9.0,5.0,9.0,4.0,12.0,0.0062869226638023615,0.010792606516290727,0.01828665914004615,0.01828665914004615,1.411764705882353,MALE,1896
goetz,13,5.0,2.0,3.0,3.0,6.0,0.0031742415201061816,0.0014097744360902255,0.008255440713677446,0.008255440713677446,1.3846153846153846,MALE,1896
jos_frankenheim,16,7.0,3.0,4.0,4.0,5.0,0.06328320802005012,0.06328320802005012,0.01713652288071206,0.01713652288071206,1.25,MALE,1896
link,16,7.0,3.0,4.0,4.0,5.0,0.00464493213553364,0.02149122807017544,0.01267163934099699,0.01267163934099699,1.25,MALE,1896
der_schultheiss,59,11.0,5.0,17.0,6.0,12.0,0.01486809104290307,0.05340956558061821,0.033391216853613584,0.033391216853613584,1.2203389830508475,MALE,1896
sebastian_von_rotenhahn,16,5.0,2.0,3.0,3.0,6.0,0.0,0.002521929824561403,0.008610765712035477,0.008610765712035477,1.125,MALE,1896
kilian,9,5.0,2.0,2.0,3.0,3.0,0.013157894736842105,0.03367794486215539,0.00918401386089301,0.00918401386089301,1.0,MALE,1896
hans_von_grumbach,2,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,1.0,MALE,1896
martin,21,8.0,4.0,4.0,4.0,5.0,0.04064327485380117,0.05167084377610693,0.022870992422577736,0.022870992422577736,0.9523809523809523,MALE,1896
schaeferhans,40,16.0,10.0,15.0,6.0,6.0,0.07039202443337783,0.09963002744957626,0.046328980224305594,0.046328980224305594,0.8999999999999999,MALE,1896
christheinz,14,4.0,1.0,1.0,3.0,4.0,0.0003132832080200501,0.0006265664160401002,0.007574357964439133,0.007574357964439133,0.8571428571428571,MALE,1896
zweiter_buerger_tisch_1,5,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,0.8,MALE,1896
hausierer,6,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,0.6666666666666666,MALE,1896
kohl,20,8.0,5.0,9.0,3.0,4.0,0.007478766360345308,0.012426900584795321,0.018861749505563057,0.018861749505563057,0.6000000000000001,MALE,1896
ein_hoeriger,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,0.5,MALE,1896
feistle,10,4.0,2.0,4.0,2.0,2.0,0.0022451963241436924,0.024582289055973275,0.011079517932229041,0.011079517932229041,0.4,MALE,1896
der_blinde_moench,10,7.0,5.0,6.0,2.0,2.0,0.04129669411624298,0.05245405179615705,0.02564013591243394,0.02564013591243394,0.4,MALE,1896
flammenbecker,15,7.0,5.0,5.0,2.0,3.0,0.013509468114731272,0.012844611528822054,0.012329813802795684,0.012329813802795684,0.4,MALE,1896
karlstatt,40,6.0,3.0,10.0,3.0,5.0,0.0007923454469507101,0.012771512113617376,0.021241292408140256,0.021241292408140256,0.375,MALE,1896
lichtenstein,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,0.3333333333333333,MALE,1896
dritter_buerger_tisch_1,3,2.0,1.0,1.0,1.0,1.0,0.0003132832080200501,0.008563074352548036,0.011224467976360099,0.011224467976360099,0.3333333333333333,MALE,1896
barchart,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,0.25,MALE,1896
entlaufener_moench,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,0.25,MALE,1896
erster_buerger_tisch_2,4,2.0,1.0,1.0,1.0,1.0,0.0010129490392648288,0.009967627401837927,0.0059274904633856065,0.0059274904633856065,0.25,MALE,1896
finkenmaeuslin,4,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.01243595180038281,0.01243595180038281,0.25,MALE,1896
ochsenhans,4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.007574357964439133,0.007574357964439133,0.25,MALE,1896
tellermann,18,5.0,3.0,4.0,2.0,2.0,0.012844611528822054,0.037620091896407686,0.011576748367297761,0.011576748367297761,0.2222222222222222,MALE,1896
kunz_von_der_muehlen,5,3.0,2.0,2.0,1.0,1.0,0.0007309941520467835,0.0033939014202172104,0.01254321326930792,0.01254321326930792,0.2,MALE,1896
zweiter_buerger_tisch_2,5,2.0,1.0,1.0,1.0,1.0,0.006881787802840433,0.005628654970760234,0.00664176579083519,0.00664176579083519,0.2,MALE,1896
beheim,6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046608830555244195,0.0046608830555244195,0.16666666666666666,MALE,1896
joerg_kumpf,7,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011224467976360099,0.011224467976360099,0.14285714285714285,MALE,1896
