,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
klas_olfers,30,10.0,3.0,7.0,10.0,0.14482323232323233,0.3305555555555556,0.034219454866705946,0.034219454866705946,2.333333333333333,MALE,1912
schilling,143,15.0,7.0,8.0,37.0,0.18724747474747472,0.18989898989898993,0.1258761773529664,0.1258761773529664,2.06993006993007,MALE,1912
maeurer,211,13.0,7.0,6.0,63.0,0.14305555555555552,0.08333333333333334,0.2301450076491776,0.2301450076491776,1.791469194312796,MALE,1912
eveline,23,7.0,3.0,4.0,10.0,0.002525252525252525,0.002525252525252525,0.03547729607406617,0.03547729607406617,1.7391304347826086,FEMALE,1912
kuehn,57,9.0,4.0,5.0,15.0,0.20681818181818182,0.1590909090909091,0.09555891931227131,0.09555891931227131,1.3157894736842104,MALE,1912
lucie,157,14.0,8.0,6.0,28.0,0.09848484848484848,0.18106060606060606,0.20196946168193644,0.20196946168193644,1.070063694267516,FEMALE,1912
rasmussen,38,8.0,4.0,4.0,10.0,0.004419191919191919,0.07272727272727272,0.03860846154584326,0.03860846154584326,1.0526315789473684,MALE,1912
hanna,62,9.0,4.0,5.0,12.0,0.028282828282828285,0.06313131313131312,0.07319243379282647,0.07319243379282647,0.967741935483871,FEMALE,1912
schuckert,13,4.0,2.0,2.0,3.0,0.07828282828282827,0.10606060606060606,0.030796809609705288,0.030796809609705288,0.46153846153846156,MALE,1912
fraeulein_majakin,37,6.0,4.0,2.0,8.0,0.0,0.0,0.07176624216978864,0.07176624216978864,0.43243243243243246,FEMALE,1912
der_junge,7,3.0,2.0,1.0,3.0,0.0,0.030303030303030304,0.022456277464016274,0.022456277464016274,0.42857142857142855,MALE,1912
die_magd,3,1.0,1.0,0.0,0.0,0.0,0.0,0.017058153526378197,0.017058153526378197,0.0,FEMALE,1912
die_fischer,2,1.0,1.0,0.0,0.0,0.0,0.0,0.02287530495431795,0.02287530495431795,0.0,,1912
mathias,2,,,,,,,,,,MALE,1912
