,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
frau_krause,30,14.0,6.0,8.0,12.0,0.2577838827838828,0.43498168498168505,0.07305307908018216,0.07305307908018216,3.2,FEMALE,1889
loth,411,13.0,6.0,7.0,132.0,0.18498168498168502,0.07692307692307693,0.27020680123855956,0.27020680123855956,2.2481751824817517,MALE,1889
hoffmann,237,12.0,5.0,7.0,65.0,0.03983516483516483,0.1098901098901099,0.1106390721024764,0.1106390721024764,1.9198312236286919,MALE,1889
helene,235,10.0,4.0,6.0,53.0,0.05631868131868132,0.05494505494505495,0.14171884492830739,0.14171884492830739,1.353191489361702,FEMALE,1889
beibst,29,5.0,2.0,3.0,11.0,0.047619047619047616,0.061355311355311366,0.048752711531717126,0.048752711531717126,1.1379310344827585,MALE,1889
guste,8,3.0,1.0,2.0,3.0,0.01098901098901099,0.0641025641025641,0.03123866144017377,0.03123866144017377,0.75,FEMALE,1889
liese,10,6.0,4.0,2.0,3.0,0.13736263736263737,0.18681318681318682,0.05539778533386791,0.05539778533386791,0.6,FEMALE,1889
kahl,28,9.0,5.0,4.0,4.0,0.028846153846153848,0.1217948717948718,0.03918484787358597,0.03918484787358597,0.5714285714285714,MALE,1889
die_kutschenfrau,2,1.0,0.0,1.0,1.0,0.0,0.0,0.015542631172247755,0.015542631172247755,0.5,FEMALE,1889
dr_schimmelpfennig,98,4.0,2.0,2.0,22.0,0.0,0.0,0.08019459044998498,0.08019459044998498,0.4489795918367347,MALE,1889
miele,5,1.0,0.0,1.0,1.0,0.0,0.0,0.015542631172247755,0.015542631172247755,0.2,FEMALE,1889
marie,6,2.0,1.0,1.0,1.0,0.0,0.0,0.02071723872333979,0.02071723872333979,0.16666666666666666,FEMALE,1889
eduard,15,2.0,2.0,0.0,0.0,0.0,0.0,0.027349288200118838,0.027349288200118838,0.0,MALE,1889
postpackettraeger,3,1.0,1.0,0.0,0.0,0.0,0.0,0.017815516765161087,0.017815516765161087,0.0,MALE,1889
frau_spiller,27,5.0,5.0,0.0,0.0,0.0,0.0,0.0526462999880296,0.0526462999880296,0.0,FEMALE,1889
bauer_krause,6,,,,,,,,,,MALE,1889
der_junge,2,,,,,,,,,,MALE,1889
baer,1,,,,,,,,,,MALE,1889
