,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
albrecht,188,22.0,10.0,35.0,12.0,65.0,0.3964052287581699,0.33061002178649235,0.1545415511854607,0.1545415511854607,4.1489361702127665,MALE,1852
agnes,177,17.0,7.0,42.0,10.0,58.0,0.21552287581699348,0.28431372549019607,0.15392849361099703,0.15392849361099703,3.27683615819209,FEMALE,1852
marschall_von_pappenheim,24,7.0,2.0,3.0,5.0,6.0,0.04575163398692811,0.20860566448801743,0.016395657187319952,0.016395657187319952,1.25,MALE,1852
caspar_bernauer,70,10.0,5.0,23.0,5.0,15.0,0.040141612200435745,0.010893246187363833,0.07581912640617507,0.07581912640617507,1.0714285714285714,MALE,1852
nothhafft_von_wernberg,38,8.0,3.0,10.0,5.0,8.0,0.09967320261437908,0.10457516339869281,0.04871414931508282,0.04871414931508282,1.0526315789473684,MALE,1852
toerring,53,11.0,6.0,16.0,5.0,11.0,0.05049019607843138,0.2145969498910675,0.05826879429817507,0.05826879429817507,1.0377358490566038,MALE,1852
ernst,103,6.0,2.0,18.0,4.0,24.0,0.016884531590413945,0.0,0.09580867694878999,0.09580867694878999,0.9320388349514563,MALE,1852
knippeldollinger,24,5.0,3.0,4.0,2.0,9.0,0.0,0.04139433551198257,0.026391155826121955,0.026391155826121955,0.75,MALE,1852
theobald,63,9.0,5.0,26.0,4.0,11.0,0.030283224400871462,0.0784313725490196,0.07045739168669124,0.07045739168669124,0.6984126984126984,MALE,1852
preising,102,8.0,4.0,34.0,4.0,15.0,0.09014161220043573,0.10457516339869281,0.12273134860634827,0.12273134860634827,0.5882352941176471,MALE,1852
frauenhoven,32,6.0,4.0,11.0,2.0,9.0,0.0016339869281045752,0.022875816993464054,0.03933716443423131,0.03933716443423131,0.5625,MALE,1852
barbara,23,3.0,2.0,8.0,1.0,8.0,0.0,0.0,0.027910183628703226,0.027910183628703226,0.34782608695652173,FEMALE,1852
kastellan,6,3.0,2.0,4.0,1.0,1.0,0.0,0.0392156862745098,0.021336591061493673,0.021336591061493673,0.16666666666666666,MALE,1852
buergermeister,11,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01527381278092814,0.01527381278092814,0.09090909090909091,MALE,1852
stachus,11,3.0,2.0,3.0,1.0,1.0,0.0,0.013071895424836602,0.023838853778053882,0.023838853778053882,0.09090909090909091,MALE,1852
der_kastellan,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012353805000276262,0.012353805000276262,0.0,MALE,1852
die_reisigen,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012420616906894118,0.012420616906894118,0.0,,1852
emeran_nusperger_zu_kalmperg,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012353805000276262,0.012353805000276262,0.0,MALE,1852
der_herold,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.012118822337980586,0.012118822337980586,0.0,MALE,1852
