,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
demetrius,220,26.0,11.0,54.0,15.0,75.0,0.4042620078334364,0.42316017316017324,0.11561724220176059,0.11561724220176059,5.113636363636363,MALE,1864
otrepiep,114,22.0,11.0,45.0,11.0,34.0,0.2721603793032365,0.31998556998557,0.12029692439461315,0.12029692439461315,3.280701754385965,MALE,1864
mniczek,159,15.0,6.0,45.0,9.0,48.0,0.07233560090702948,0.15115440115440115,0.07575185538085973,0.07575185538085973,2.7169811320754715,MALE,1864
boris,32,6.0,2.0,2.0,4.0,19.0,0.00468975468975469,0.0021645021645021645,0.015869830578144437,0.015869830578144437,2.375,MALE,1864
schuiskoi,70,12.0,6.0,30.0,6.0,21.0,0.09361987219130075,0.0367965367965368,0.06180660762453219,0.06180660762453219,1.7999999999999998,MALE,1864
marfa,78,12.0,6.0,20.0,6.0,19.0,0.0906411049268192,0.1479076479076479,0.07316910423350703,0.07316910423350703,1.4615384615384615,FEMALE,1864
ossip,62,9.0,5.0,16.0,4.0,21.0,0.015151515151515152,0.05519480519480519,0.04932978519096248,0.04932978519096248,1.3548387096774193,MALE,1864
poniatowsky,46,9.0,5.0,14.0,4.0,15.0,0.02922077922077922,0.09199134199134198,0.047668315447511295,0.047668315447511295,1.3043478260869565,MALE,1864
petrowitsch,14,6.0,3.0,7.0,3.0,6.0,0.0,0.08225108225108226,0.021659206528553538,0.021659206528553538,1.2857142857142856,MALE,1864
rurik,50,7.0,3.0,11.0,4.0,16.0,0.0038806431663574517,0.004329004329004329,0.03540153568971208,0.03540153568971208,1.28,MALE,1864
aebtissin,42,8.0,5.0,14.0,3.0,15.0,0.013059163059163059,0.07233044733044733,0.05678938100057403,0.05678938100057403,1.0714285714285714,FEMALE,1864
marina,72,7.0,4.0,15.0,3.0,25.0,0.007215007215007214,0.03427128427128427,0.03098302463028526,0.03098302463028526,1.0416666666666665,FEMALE,1864
barbara,58,8.0,4.0,19.0,4.0,11.0,0.011368789940218511,0.0,0.039453883460517675,0.039453883460517675,0.7586206896551724,FEMALE,1864
basmanow,26,7.0,4.0,10.0,3.0,6.0,0.026046176046176046,0.09812409812409813,0.03342831201167744,0.03342831201167744,0.6923076923076923,MALE,1864
odowalsky,22,6.0,3.0,6.0,3.0,5.0,0.0,0.048701298701298704,0.026026954799695655,0.026026954799695655,0.6818181818181818,MALE,1864
maschinka,21,4.0,2.0,7.0,2.0,7.0,0.0,0.045454545454545456,0.015910012945936573,0.015910012945936573,0.6666666666666666,FEMALE,1864
mstislawski,25,7.0,4.0,8.0,3.0,5.0,0.028896103896103895,0.1323953823953824,0.022838143788954938,0.022838143788954938,0.6000000000000001,MALE,1864
kardinal-legat,21,3.0,1.0,3.0,2.0,5.0,0.0,0.0,0.027232059581013345,0.027232059581013345,0.47619047619047616,MALE,1864
gregory,61,8.0,4.0,18.0,4.0,7.0,0.04329004329004329,0.047619047619047616,0.05484867424571198,0.05484867424571198,0.45901639344262296,MALE,1864
kuester,13,5.0,3.0,8.0,2.0,2.0,0.0,0.0021645021645021645,0.027420406263850332,0.027420406263850332,0.3076923076923077,MALE,1864
hiob,26,5.0,3.0,9.0,2.0,3.0,0.007539682539682539,0.03463203463203463,0.02875450729465578,0.02875450729465578,0.23076923076923078,MALE,1864
buergermeister,3,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.009872116353485224,0.009872116353485224,0.0,MALE,1864
soldat,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.009872116353485224,0.009872116353485224,0.0,MALE,1864
