,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
jacob,94,19.0,10.0,37.0,9.0,38.0,0.4531746031746032,0.49770833333333336,0.17409424649715302,0.17409424649715302,3.6382978723404253,MALE,1847
benjamin,93,11.0,4.0,38.0,7.0,37.0,0.19494047619047622,0.1625,0.15172606117206683,0.15172606117206683,2.7849462365591395,MALE,1847
block,38,8.0,3.0,14.0,5.0,19.0,0.01334325396825397,0.052083333333333336,0.06969392377941933,0.06969392377941933,2.5,MALE,1847
kilian,57,14.0,7.0,16.0,7.0,17.0,0.07643849206349206,0.3186805555555556,0.06675239881423989,0.06675239881423989,2.087719298245614,MALE,1847
der_prinz,39,8.0,4.0,6.0,4.0,17.0,0.02802579365079365,0.01361111111111111,0.036563573385107385,0.036563573385107385,1.7435897435897436,MALE,1847
doktor_pfeffer,85,11.0,6.0,39.0,5.0,25.0,0.04692460317460316,0.0,0.13389254406680953,0.13389254406680953,1.4705882352941178,MALE,1847
schlueter,41,7.0,4.0,12.0,3.0,16.0,0.020138888888888887,0.05902777777777778,0.06120945870198959,0.06120945870198959,1.1707317073170733,MALE,1847
der_graf,26,7.0,3.0,7.0,4.0,7.0,0.0013888888888888887,0.09576388888888887,0.028050066269702467,0.028050066269702467,1.0769230769230769,MALE,1847
der_koenig,21,6.0,2.0,3.0,4.0,5.0,0.11666666666666667,0.16666666666666666,0.045143100720414095,0.045143100720414095,0.9523809523809523,MALE,1847
koenigin,9,4.0,2.0,4.0,2.0,3.0,0.0,0.0013888888888888887,0.0452499834916564,0.0452499834916564,0.6666666666666666,FEMALE,1847
erste_dame,13,3.0,1.0,1.0,2.0,4.0,0.11666666666666667,0.11666666666666667,0.013948131251796187,0.013948131251796187,0.6153846153846154,FEMALE,1847
der_jaeger,8,6.0,4.0,6.0,2.0,2.0,0.007291666666666666,0.07527777777777779,0.03126887913136348,0.03126887913136348,0.5,MALE,1847
die_prinzessin,20,5.0,3.0,4.0,2.0,4.0,0.09166666666666666,0.12291666666666666,0.042527714864060616,0.042527714864060616,0.4,FEMALE,1847
barbara,22,2.0,1.0,9.0,1.0,8.0,0.0,0.0,0.04551034115914936,0.04551034115914936,0.36363636363636365,FEMALE,1847
joerg,10,3.0,2.0,3.0,1.0,1.0,0.0,0.026388888888888892,0.021588561186874106,0.021588561186874106,0.1,MALE,1847
zweite_dame,6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01639050775409882,0.01639050775409882,0.0,FEMALE,1847
die_hofmeisterin,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.01639050775409882,0.01639050775409882,0.0,FEMALE,1847
