,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
herodes,223,24.0,11.0,46.0,13.0,74.0,0.29404761904761906,0.29761904761904767,0.14255228420380953,0.14255228420380953,4.31390134529148,MALE,1849
alexandra,129,16.0,7.0,38.0,9.0,41.0,0.06944444444444445,0.0880952380952381,0.09519710592288406,0.09519710592288406,2.86046511627907,FEMALE,1849
mariamne,203,17.0,9.0,69.0,8.0,62.0,0.13571428571428573,0.1142857142857143,0.17005732388224784,0.17005732388224784,2.4433497536945814,FEMALE,1849
joseph,77,11.0,5.0,20.0,6.0,22.0,0.018650793650793654,0.1,0.05627021130411464,0.05627021130411464,1.7142857142857142,MALE,1849
salome,50,7.0,3.0,14.0,4.0,20.0,0.0,0.04166666666666667,0.03681257028582957,0.03681257028582957,1.6,FEMALE,1849
sameas,46,6.0,3.0,16.0,3.0,17.0,0.0,0.048809523809523817,0.04011482479083108,0.04011482479083108,1.108695652173913,MALE,1849
judas,14,4.0,2.0,8.0,2.0,6.0,0.06666666666666668,0.06666666666666668,0.05183509403332064,0.05183509403332064,0.8571428571428571,MALE,1849
jehu,3,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.008493909531074643,0.008493909531074643,0.6666666666666666,MALE,1849
silo,9,2.0,1.0,5.0,1.0,5.0,0.0,0.0,0.04521045693205459,0.04521045693205459,0.5555555555555556,MALE,1849
aaron,6,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.013156774601465596,0.013156774601465596,0.5,MALE,1849
titus,63,9.0,5.0,19.0,4.0,7.0,0.009523809523809525,0.17380952380952383,0.04302360816747719,0.04302360816747719,0.4444444444444444,MALE,1849
artaxerxes,9,3.0,2.0,4.0,1.0,3.0,0.002380952380952381,0.002380952380952381,0.0826465524193072,0.0826465524193072,0.3333333333333333,MALE,1849
soemus,37,5.0,3.0,14.0,2.0,5.0,0.0,0.0071428571428571435,0.03694826641340328,0.03694826641340328,0.2702702702702703,MALE,1849
moses,8,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.07873505482626371,0.07873505482626371,0.25,MALE,1849
dritter_koenig,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008493909531074643,0.008493909531074643,0.2,MALE,1849
ein_bote,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008493909531074643,0.008493909531074643,0.2,MALE,1849
joab,28,4.0,2.0,7.0,2.0,2.0,0.0011904761904761906,0.08928571428571429,0.023542763221617708,0.023542763221617708,0.14285714285714285,MALE,1849
erster_koenig,9,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.015043613049131262,0.015043613049131262,0.1111111111111111,MALE,1849
philo,4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.012641587131571081,0.012641587131571081,0.0,MALE,1849
ein_diener_2-5,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010467509400269408,0.010467509400269408,0.0,MALE,1849
serubabel,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010131335410588797,0.010131335410588797,0.0,MALE,1849
zweiter_koenig,6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010131335410588797,0.010131335410588797,0.0,MALE,1849
