,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
holofernes,113,23.0,9.0,14.0,34.0,0.17077294685990338,0.17101449275362318,0.06752800376276001,0.06752800376276001,4.212389380530974,MALE,1840
josua,8,5.0,2.0,3.0,5.0,0.010628019323671497,0.02318840579710145,0.014467658496921526,0.014467658496921526,1.875,MALE,1840
judith,162,16.0,8.0,8.0,37.0,0.2188405797101449,0.21328502415458936,0.1828438649381898,0.1828438649381898,1.8271604938271604,FEMALE,1840
samaja,7,4.0,1.0,3.0,4.0,0.03260869565217391,0.042753623188405795,0.012946558120718831,0.012946558120718831,1.7142857142857142,MALE,1840
der_andere,3,3.0,1.0,2.0,2.0,0.014009661835748793,0.014009661835748793,0.013165352522133324,0.013165352522133324,1.3333333333333333,MALE,1840
weiber,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004545601690763352,0.004545601690763352,1.0,,1840
ein_weib,1,1.0,0.0,1.0,1.0,0.0,0.0,0.004545601690763352,0.004545601690763352,1.0,FEMALE,1840
einer_der_aeltesten_3,2,1.0,0.0,1.0,2.0,0.0,0.0,0.004545601690763352,0.004545601690763352,1.0,MALE,1840
ein_dritter_3,1,2.0,1.0,1.0,1.0,0.0,0.0,0.030303256481208022,0.030303256481208022,1.0,MALE,1840
mirza,72,8.0,5.0,3.0,21.0,0.06811594202898551,0.06811594202898551,0.08581024713683798,0.08581024713683798,0.875,FEMALE,1840
volk_stimmen_im_volk_3,14,6.0,3.0,3.0,4.0,0.03333333333333333,0.033091787439613524,0.026925028774933652,0.026925028774933652,0.8571428571428571,,1840
samuel,8,3.0,1.0,2.0,3.0,0.027053140096618356,0.027053140096618356,0.010140878977923014,0.010140878977923014,0.75,MALE,1840
einer_der_hauptleute_4a,9,3.0,1.0,2.0,3.0,0.012077294685990338,0.012077294685990338,0.006233805152000558,0.006233805152000558,0.6666666666666666,MALE,1840
ephraim,26,5.0,2.0,3.0,5.0,0.005072463768115942,0.0963768115942029,0.027236196226889255,0.027236196226889255,0.576923076923077,MALE,1840
assad,7,3.0,1.0,2.0,2.0,0.0012077294685990338,0.0014492753623188406,0.010267180281943785,0.010267180281943785,0.5714285714285714,MALE,1840
ein_anderes_weib,2,1.0,0.0,1.0,1.0,0.0,0.0,0.004545601690763352,0.004545601690763352,0.5,FEMALE,1840
trabant,4,1.0,0.0,1.0,2.0,0.0,0.0,0.004545601690763352,0.004545601690763352,0.5,MALE,1840
ein_anderer_der_vorige_3c,2,2.0,1.0,1.0,1.0,0.0,0.0,0.030303256481208022,0.030303256481208022,0.5,MALE,1840
zweiter_priester_5a,4,1.0,0.0,1.0,2.0,0.0,0.0,0.004545601690763352,0.004545601690763352,0.5,MALE,1840
kaemmerer,7,2.0,1.0,1.0,3.0,0.0,0.0,0.008018882444885429,0.008018882444885429,0.42857142857142855,MALE,1840
eine_mutter,5,2.0,1.0,1.0,2.0,0.0,0.0,0.07765117759369322,0.07765117759369322,0.4,FEMALE,1840
der_hauptmann_5,9,2.0,1.0,1.0,3.0,0.0,0.0,0.007922008613237764,0.007922008613237764,0.3333333333333333,MALE,1840
oberpriester_1a,3,2.0,1.0,1.0,1.0,0.0,0.0,0.006233805152000558,0.006233805152000558,0.3333333333333333,MALE,1840
erster_buerger_3a,3,2.0,1.0,1.0,1.0,0.03768115942028986,0.03768115942028986,0.007418851967886676,0.007418851967886676,0.3333333333333333,MALE,1840
wachen,3,1.0,0.0,1.0,1.0,0.0,0.0,0.004545601690763352,0.004545601690763352,0.3333333333333333,,1840
der_eine,3,2.0,1.0,1.0,1.0,0.0,0.0,0.010140878977923014,0.010140878977923014,0.3333333333333333,MALE,1840
hosea,6,2.0,1.0,1.0,2.0,0.0,0.0,0.030303256481208022,0.030303256481208022,0.3333333333333333,MALE,1840
erster_buerger_5,4,1.0,0.0,1.0,1.0,0.0,0.0,0.004545601690763352,0.004545601690763352,0.25,MALE,1840
daniel,8,3.0,2.0,1.0,2.0,0.0007246376811594203,0.0004830917874396135,0.014411458075027722,0.014411458075027722,0.25,MALE,1840
zweiter_buerger_5,4,2.0,1.0,1.0,1.0,0.012560386473429951,0.012560386473429951,0.008409364333394946,0.008409364333394946,0.25,MALE,1840
ein_krieger,4,2.0,1.0,1.0,1.0,0.0,0.0,0.006233805152000558,0.006233805152000558,0.25,MALE,1840
die_aeltesten,4,2.0,1.0,1.0,1.0,0.0,0.0,0.00874607990574109,0.00874607990574109,0.25,,1840
priester_1b,5,2.0,1.0,1.0,1.0,0.0,0.0,0.007922008613237764,0.007922008613237764,0.2,MALE,1840
ammon,8,2.0,1.0,1.0,1.0,0.0,0.0,0.030303256481208022,0.030303256481208022,0.125,MALE,1840
erster_priester_5a,10,6.0,5.0,1.0,1.0,0.001932367149758454,0.001932367149758454,0.08598595453050156,0.08598595453050156,0.1,MALE,1840
der_aelteste_3,14,5.0,4.0,1.0,1.0,0.058695652173913045,0.05893719806763285,0.03447660489651525,0.03447660489651525,0.07142857142857142,MALE,1840
achior,17,3.0,2.0,1.0,1.0,0.0,0.015217391304347825,0.02641212493438593,0.02641212493438593,0.058823529411764705,MALE,1840
ein_hauptmann_4b,2,1.0,1.0,0.0,0.0,0.0,0.0,0.007922008613237764,0.007922008613237764,0.0,MALE,1840
der_zweite_der_hauptleute_4a,4,1.0,1.0,0.0,0.0,0.0,0.0,0.006311848009294163,0.006311848009294163,0.0,MALE,1840
hauptmann_1a,3,1.0,1.0,0.0,0.0,0.0,0.0,0.006233805152000558,0.006233805152000558,0.0,MALE,1840
ein_hauptmann_1c,3,1.0,1.0,0.0,0.0,0.0,0.0,0.006233805152000558,0.006233805152000558,0.0,MALE,1840
ein_buerger_3b,1,1.0,1.0,0.0,0.0,0.0,0.0,0.007296751252316205,0.007296751252316205,0.0,MALE,1840
lybische_gesandte,3,1.0,1.0,0.0,0.0,0.0,0.0,0.007922008613237764,0.007922008613237764,0.0,,1840
enkel,7,1.0,1.0,0.0,0.0,0.0,0.0,0.01029210224501,0.01029210224501,0.0,MALE,1840
mesopotamische_gesandte,6,1.0,1.0,0.0,0.0,0.0,0.0,0.006233805152000558,0.006233805152000558,0.0,,1840
volk_stimmen_im_volk_5,3,1.0,1.0,0.0,0.0,0.0,0.0,0.008018882444885429,0.008018882444885429,0.0,,1840
delia,4,1.0,1.0,0.0,0.0,0.0,0.0,0.008409364333394946,0.008409364333394946,0.0,FEMALE,1840
ein_hauptmann_1b,1,,,,,,,,,,MALE,1840
bote,7,,,,,,,,,,MALE,1840
ben,4,,,,,,,,,,MALE,1840
zweiter_buerger_3a,2,,,,,,,,,,MALE,1840
ein_anderer_3b,1,,,,,,,,,,MALE,1840
einer_im_volk_3c,1,,,,,,,,,,MALE,1840
einer_aus_dem_volke_3d,1,,,,,,,,,,MALE,1840
ein_priester_3,2,,,,,,,,,,MALE,1840
ein_dritter_buerger_5,1,,,,,,,,,,MALE,1840
ein_priester_5b,2,,,,,,,,,,MALE,1840
einer_der_aeltesten_5,1,,,,,,,,,,MALE,1840
die_priester,1,,,,,,,,,,,1840
