,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
kriemhild,221,23.0,10.0,48.0,13.0,84.0,0.2593925070028011,0.21875,0.15045318941854996,0.15045318941854996,4.9411764705882355,FEMALE,1861
hagen,197,25.0,13.0,58.0,12.0,55.0,0.2940388655462185,0.42824754901960776,0.161409916433483,0.161409916433483,3.350253807106599,MALE,1861
giselher,45,10.0,3.0,13.0,7.0,15.0,0.044117647058823525,0.04963235294117647,0.04489459267455605,0.04489459267455605,2.333333333333333,MALE,1861
gunther,70,9.0,4.0,17.0,5.0,27.0,0.012631302521008402,0.023284313725490193,0.04683605870244799,0.04683605870244799,1.9285714285714286,MALE,1861
ruedeger,83,13.0,7.0,24.0,6.0,23.0,0.058280812324929966,0.1404411764705882,0.06743796691809635,0.06743796691809635,1.6626506024096386,MALE,1861
dankwart,25,8.0,4.0,8.0,4.0,9.0,0.01446078431372549,0.05698529411764706,0.03394648528149049,0.03394648528149049,1.44,MALE,1861
werbel,52,9.0,4.0,20.0,5.0,12.0,0.02307422969187675,0.09938725490196078,0.05255739948572871,0.05255739948572871,1.153846153846154,MALE,1861
rumolt,16,5.0,2.0,6.0,3.0,5.0,0.0040178571428571425,0.03455882352941177,0.0271070548235193,0.0271070548235193,0.9375,MALE,1861
etzel,70,10.0,5.0,20.0,5.0,13.0,0.014828431372549019,0.07567401960784315,0.05720642980973785,0.05720642980973785,0.9285714285714286,MALE,1861
goetelinde,17,7.0,4.0,7.0,3.0,5.0,0.07683823529411764,0.09558823529411764,0.0668653080043424,0.0668653080043424,0.8823529411764706,FEMALE,1861
dietrich,69,11.0,5.0,19.0,6.0,10.0,0.08367471988795519,0.13762254901960785,0.06151571584259424,0.06151571584259424,0.8695652173913044,MALE,1861
volker,72,9.0,6.0,27.0,3.0,19.0,0.019730392156862744,0.015625,0.08057834143627608,0.08057834143627608,0.7916666666666667,MALE,1861
hildebrant,34,5.0,2.0,9.0,3.0,8.0,0.002573529411764706,0.0,0.030669000911576327,0.030669000911576327,0.7058823529411764,MALE,1861
ute,26,6.0,4.0,6.0,2.0,4.0,0.004105392156862745,0.022977941176470586,0.027303556504899452,0.027303556504899452,0.3076923076923077,FEMALE,1861
gerenot,14,5.0,3.0,5.0,2.0,2.0,0.0,0.18841911764705882,0.019160399218217432,0.019160399218217432,0.2857142857142857,MALE,1861
gudrun,10,3.0,2.0,4.0,1.0,2.0,0.0,0.0,0.046198374241042575,0.046198374241042575,0.2,FEMALE,1861
iring,5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.014783267808224932,0.014783267808224932,0.0,MALE,1861
ein_heune,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011076942485216764,0.011076942485216764,0.0,MALE,1861
