,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
meister_anton,84,12,5,7,25,0.3388888888888889,0.4388888888888889,0.13859535007564178,0.13859535007564178,2.0833333333333335,MALE,1844
leonhard,90,7,3,4,32,0.08888888888888889,0.08888888888888889,0.12529250092973632,0.12529250092973632,1.4222222222222223,MALE,1844
klara,141,12,6,6,29,0.21666666666666667,0.17777777777777778,0.3023476429268752,0.3023476429268752,1.2340425531914894,FEMALE,1844
sekretaer,44,8,4,4,11,0.02592592592592593,0.14444444444444446,0.09405162798687368,0.09405162798687368,1.0,MALE,1844
karl,44,7,4,3,14,0.007407407407407408,0.09444444444444444,0.11222165912001782,0.11222165912001782,0.9545454545454546,MALE,1844
mutter,32,6,3,3,8,0.011111111111111112,0.13333333333333333,0.09779861437426027,0.09779861437426027,0.75,FEMALE,1844
zweiter_gerichtsdiener,3,1,0,1,2,0.0,0.0,0.016863900846794986,0.016863900846794986,0.6666666666666666,MALE,1844
wolfram,10,2,1,1,3,0.0,0.0,0.025725753790609148,0.025725753790609148,0.3,MALE,1844
adam,7,3,2,1,1,0.1,0.1,0.045334830755762806,0.045334830755762806,0.14285714285714285,MALE,1844
eine_magd,1,1,1,0,0,0.0,0.0,0.021576105960233315,0.021576105960233315,0.0,FEMALE,1844
ein_knabe,2,1,1,0,0,0.0,0.0,0.020192013233194694,0.020192013233194694,0.0,MALE,1844
