,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
giselher,31,11,5,7,6,13,0.08627450980392157,0.2202205882352941,0.034964169303741716,0.034964169303741716,2.5161290322580645,MALE,1861
kriemhild,170,17,8,43,9,47,0.18676470588235294,0.13909313725490194,0.13056013744002123,0.13056013744002123,2.488235294117647,FEMALE,1861
hagen,140,19,9,52,10,34,0.2800245098039215,0.29007352941176473,0.17226354807789104,0.17226354807789104,2.4285714285714284,MALE,1861
ute,49,10,3,6,7,15,0.059742647058823525,0.11715686274509804,0.026148235504342896,0.026148235504342896,2.142857142857143,FEMALE,1861
siegfried,132,13,7,35,6,44,0.05912990196078432,0.09987745098039215,0.11692497053310293,0.11692497053310293,2.0,MALE,1861
brunhild,118,11,6,26,5,39,0.01366421568627451,0.004901960784313725,0.08978348633117181,0.08978348633117181,1.652542372881356,FEMALE,1861
gunther,63,11,5,20,6,17,0.05104166666666666,0.09669117647058824,0.06254665149262337,0.06254665149262337,1.619047619047619,MALE,1861
kaplan,24,5,2,2,3,8,0.04473039215686274,0.044117647058823525,0.01436666720050632,0.01436666720050632,1.0,MALE,1861
frigga,59,7,4,24,3,11,0.003553921568627451,0.017769607843137254,0.06098013365407466,0.06098013365407466,0.5593220338983051,FEMALE,1861
wulf,9,2,1,1,1,4,0.0,0.0,0.08332550910397389,0.08332550910397389,0.4444444444444444,MALE,1861
volker,11,4,2,3,2,2,0.0,0.05514705882352941,0.017327447202380337,0.017327447202380337,0.36363636363636365,MALE,1861
rumolt,7,2,1,2,1,1,0.005514705882352941,0.007352941176470588,0.015095975648057829,0.015095975648057829,0.14285714285714285,MALE,1861
gerenot,7,3,2,2,1,1,0.0,0.06801470588235294,0.01719155860476712,0.01719155860476712,0.14285714285714285,MALE,1861
truchs,10,3,2,5,1,1,0.04779411764705882,0.04779411764705882,0.08565470120131798,0.08565470120131798,0.1,MALE,1861
dankwart,11,3,2,2,1,1,0.0588235294117647,0.11115196078431372,0.026482693505333315,0.026482693505333315,0.09090909090909091,MALE,1861
kaemmerer,7,1,1,4,0,0,0.0,0.0,0.016450682456373517,0.016450682456373517,0.0,MALE,1861
antwort_von_draussen,3,1,1,3,0,0,0.0,0.0,0.015103094301207511,0.015103094301207511,0.0,UNKNOWN,1861
alle_sippen_bis_auf_giselher,1,1,1,1,0,0,0.0,0.0,0.014830338439112453,0.014830338439112453,0.0,,1861
