,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
ihr_ritter_3a,1,1.0,0.0,1.0,1.0,0.0,0.0,0.015384191823622342,0.015384191823622342,1.0,MALE,1821
zweiter_maure,1,1.0,0.0,1.0,1.0,0.0,0.0,0.015384191823622342,0.015384191823622342,1.0,MALE,1821
der_andre_ritter_3c,1,1.0,0.0,1.0,1.0,0.0,0.0,0.015384191823622342,0.015384191823622342,1.0,MALE,1821
erster_ritter_3a,1,1.0,0.0,1.0,1.0,0.0,0.0,0.015384191823622342,0.015384191823622342,1.0,MALE,1821
don_enrique,24,5.0,2.0,3.0,6.0,0.05263157894736842,0.07236842105263158,0.08296601988224257,0.08296601988224257,0.75,MALE,1821
zuleima,28,4.0,2.0,2.0,8.0,0.0,0.0,0.10593536038872058,0.10593536038872058,0.5714285714285714,FEMALE,1821
almansor,64,7.0,4.0,3.0,12.0,0.07368421052631578,0.07105263157894737,0.1865721654066362,0.1865721654066362,0.5625,MALE,1821
der_abt,2,1.0,0.0,1.0,1.0,0.0,0.0,0.015384191823622342,0.015384191823622342,0.5,MALE,1821
ein_junger_fiedler,2,2.0,1.0,1.0,1.0,0.002631578947368421,0.002631578947368421,0.028460800584371698,0.028460800584371698,0.5,MALE,1821
eine_andre_dame_3,2,2.0,1.0,1.0,1.0,0.002631578947368421,0.002631578947368421,0.028460800584371698,0.028460800584371698,0.5,FEMALE,1821
aly,20,7.0,4.0,3.0,3.0,0.09473684210526316,0.1013157894736842,0.08658691706775982,0.08658691706775982,0.44999999999999996,MALE,1821
pedrillo,9,3.0,1.0,2.0,2.0,0.02368421052631579,0.02368421052631579,0.028460800584371698,0.028460800584371698,0.4444444444444444,MALE,1821
ein_teil_der_gaeste_alle,5,1.0,0.0,1.0,2.0,0.0,0.0,0.015384191823622342,0.015384191823622342,0.4,,1821
hassan,34,4.0,2.0,2.0,4.0,0.04736842105263158,0.031578947368421054,0.10599753782949657,0.10599753782949657,0.23529411764705882,MALE,1821
don_diego,9,2.0,1.0,1.0,2.0,0.0,0.0,0.050644066852363764,0.050644066852363764,0.2222222222222222,MALE,1821
erster_maure,4,1.0,1.0,0.0,0.0,0.0,0.0,0.02860017249255494,0.02860017249255494,0.0,MALE,1821
seine_dame_3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.028460800584371698,0.028460800584371698,0.0,FEMALE,1821
der_erste_3b,2,1.0,1.0,0.0,0.0,0.0,0.0,0.03957587056174396,0.03957587056174396,0.0,MALE,1821
der_alte,2,1.0,1.0,0.0,0.0,0.0,0.0,0.03957587056174396,0.03957587056174396,0.0,MALE,1821
einige_ritter_andre_ritter_alle_ritter_6,3,1.0,1.0,0.0,0.0,0.0,0.0,0.02748003119268315,0.02748003119268315,0.0,,1821
ein_ritter_8,1,1.0,1.0,0.0,0.0,0.0,0.0,0.03991763448483356,0.03991763448483356,0.0,MALE,1821
dritter_maure,1,,,,,,,,,,MALE,1821
eine_andre_stimme,1,,,,,,,,,,MALE,1821
eine_dritte_stimme,1,,,,,,,,,,MALE,1821
der_zweite_3b,2,,,,,,,,,,MALE,1821
der_eine_ritter_3c,1,,,,,,,,,,MALE,1821
der_chor,1,,,,,,,,,,,1821
ein_ritter_6,1,,,,,,,,,,MALE,1821
ein_anderer_ritter_6,2,,,,,,,,,,MALE,1821
dritter_ritter_6,2,,,,,,,,,,MALE,1821
vierter_ritter_6,2,,,,,,,,,,MALE,1821
fuenfter_ritter_6,2,,,,,,,,,,MALE,1821
die_dame_6,1,,,,,,,,,,FEMALE,1821
der_harfenspieler,2,,,,,,,,,,MALE,1821
mehrere_ritter_8,1,,,,,,,,,,,1821
