,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
boris,197,29.0,11.0,43.0,18.0,73.0,0.5253623188405797,0.490036231884058,0.19285240006051352,0.19285240006051352,6.67005076142132,MALE,1929
ksenja,68,10.0,3.0,13.0,7.0,25.0,0.1099033816425121,0.1875,0.05199472611795506,0.05199472611795506,2.573529411764706,FEMALE,1929
der_weissbart,5,5.0,2.0,2.0,3.0,3.0,0.04015700483091788,0.08484299516908211,0.01903273910439112,0.01903273910439112,1.7999999999999998,MALE,1929
die_menge_geschrei_stimmen,15,8.0,4.0,4.0,4.0,6.0,0.12983091787439616,0.16515700483091786,0.048635910643199554,0.048635910643199554,1.6,,1929
schuiski,23,8.0,4.0,11.0,4.0,6.0,0.012681159420289856,0.10778985507246377,0.04157559712989265,0.04157559712989265,1.0434782608695652,MALE,1929
galizin,27,6.0,3.0,7.0,3.0,7.0,0.03804347826086957,0.1322463768115942,0.10529222334291691,0.10529222334291691,0.7777777777777777,MALE,1929
der_rotbart,8,6.0,4.0,5.0,2.0,3.0,0.005132850241545894,0.00392512077294686,0.056394858970031214,0.056394858970031214,0.75,MALE,1929
fiodor,33,7.0,3.0,9.0,4.0,6.0,0.035326086956521736,0.1068840579710145,0.03951970791048455,0.03951970791048455,0.7272727272727273,MALE,1929
ilja,25,4.0,2.0,12.0,2.0,8.0,0.007548309178743962,0.0,0.047605413289860586,0.047605413289860586,0.64,MALE,1929
der_schwarzbart,8,3.0,1.0,1.0,2.0,2.0,0.003321256038647343,0.04800724637681159,0.016615644990475822,0.016615644990475822,0.5,MALE,1929
einer_4b,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009725456315204353,0.009725456315204353,0.5,MALE,1929
maria,25,5.0,3.0,7.0,2.0,6.0,0.007548309178743962,0.03985507246376812,0.027177930347995868,0.027177930347995868,0.48,FEMALE,1929
der_irre,20,5.0,3.0,10.0,2.0,4.0,0.02355072463768116,0.04891304347826087,0.06429229738196857,0.06429229738196857,0.4,MALE,1929
moench,22,2.0,1.0,7.0,1.0,8.0,0.0,0.0,0.025444389663175207,0.025444389663175207,0.36363636363636365,MALE,1929
bote_1b,3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01197101822205733,0.01197101822205733,0.3333333333333333,MALE,1929
zweiter,3,2.0,1.0,1.0,1.0,1.0,0.041666666666666664,0.041666666666666664,0.01799212082371681,0.01799212082371681,0.3333333333333333,MALE,1929
christian,4,3.0,2.0,2.0,1.0,1.0,0.0,0.14130434782608695,0.0137388641257471,0.0137388641257471,0.25,MALE,1929
repnin,31,4.0,3.0,14.0,1.0,4.0,0.0,0.0,0.10056732517449948,0.10056732517449948,0.12903225806451613,MALE,1929
eine_stimme,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01197101822205733,0.01197101822205733,0.0,MALE,1929
zweiter_bojar,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015323953203909522,0.015323953203909522,0.0,MALE,1929
irina,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011493302218894122,0.011493302218894122,0.0,FEMALE,1929
erster_bojar_1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01197101822205733,0.01197101822205733,0.0,MALE,1929
bassmanof,4,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.014216580128910309,0.014216580128910309,0.0,MALE,1929
simeon,17,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.03133435626750168,0.03133435626750168,0.0,MALE,1929
arzt,5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.013261148122583891,0.013261148122583891,0.0,MALE,1929
