,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
peter,161,21.0,9.0,12.0,74.0,0.5424738841405509,0.5664767331433997,0.12451395442584998,0.12451395442584998,5.515527950310559,MALE,1912
alexej,193,19.0,8.0,11.0,79.0,0.23138651471984814,0.14482431149097816,0.09838608608290626,0.09838608608290626,4.5025906735751295,MALE,1912
costa,64,10.0,4.0,6.0,22.0,0.03573124406457738,0.05341880341880342,0.04258553826729648,0.04258553826729648,2.0625,MALE,1912
erster_bojar,5,4.0,1.0,3.0,3.0,0.01030389363722697,0.01851851851851852,0.01705078804274275,0.01705078804274275,1.7999999999999998,MALE,1912
kikin,18,9.0,5.0,4.0,8.0,0.12039411206077873,0.1225071225071225,0.10036639233063002,0.10036639233063002,1.7777777777777777,MALE,1912
awdotja,7,3.0,1.0,2.0,5.0,0.0033238366571699905,0.056267806267806274,0.008010625426571242,0.008010625426571242,1.4285714285714286,FEMALE,1912
kammerdiener,11,4.0,1.0,3.0,5.0,0.03133903133903134,0.0,0.0160809383003279,0.0160809383003279,1.3636363636363635,MALE,1912
iwanuschka,23,5.0,2.0,3.0,9.0,0.150997150997151,0.150997150997151,0.02696682443528803,0.02696682443528803,1.173913043478261,MALE,1912
dritter_bojar,9,4.0,1.0,3.0,3.0,0.03288224121557455,0.11111111111111112,0.016557414305790778,0.016557414305790778,1.0,MALE,1912
glebof,46,11.0,6.0,5.0,7.0,0.2564814814814815,0.32929724596391263,0.09188366626553643,0.09188366626553643,0.7608695652173914,MALE,1912
katharina,10,4.0,2.0,2.0,3.0,0.03561253561253561,0.03561253561253561,0.026139259997987718,0.026139259997987718,0.6,FEMALE,1912
afanassjitsch,25,6.0,3.0,3.0,4.0,0.0060541310541310555,0.11016144349477683,0.022488745133776928,0.022488745133776928,0.48,MALE,1912
afrossja,44,5.0,3.0,2.0,8.0,0.0,0.0,0.03277567311870752,0.03277567311870752,0.36363636363636365,FEMALE,1912
zweiter_diener,3,4.0,3.0,1.0,1.0,0.03418803418803419,0.03418803418803419,0.08335717603503721,0.08335717603503721,0.3333333333333333,MALE,1912
die_alten,3,2.0,1.0,1.0,1.0,0.0,0.0,0.007323682461874634,0.007323682461874634,0.3333333333333333,,1912
abram,12,6.0,4.0,2.0,2.0,0.007597340930674265,0.20085470085470086,0.02793494297100099,0.02793494297100099,0.3333333333333333,MALE,1912
zweiter_bojar,4,3.0,2.0,1.0,1.0,0.000949667616334283,0.0033238366571699905,0.021388482726465166,0.021388482726465166,0.25,MALE,1912
mehrere_viele_alle_2,4,1.0,0.0,1.0,1.0,0.0,0.0,0.005893451098564829,0.005893451098564829,0.25,,1912
menschikof,5,2.0,1.0,1.0,1.0,0.0,0.0,0.007323682461874634,0.007323682461874634,0.2,MALE,1912
gordon,30,2.0,1.0,1.0,6.0,0.0,0.0,0.0273469215482119,0.0273469215482119,0.2,MALE,1912
dritter_diener,5,3.0,2.0,1.0,1.0,0.03133903133903134,0.06267806267806268,0.011174086587983915,0.011174086587983915,0.2,MALE,1912
der_alte,18,2.0,1.0,1.0,3.0,0.0,0.0,0.023056227458282487,0.023056227458282487,0.16666666666666666,MALE,1912
erster_diener,7,2.0,1.0,1.0,1.0,0.0,0.0,0.07675570075508155,0.07675570075508155,0.14285714285714285,MALE,1912
mons,9,3.0,2.0,1.0,1.0,0.0,0.0,0.022135947699960162,0.022135947699960162,0.1111111111111111,MALE,1912
dolgoruki,13,4.0,3.0,1.0,1.0,0.008831908831908831,0.02492877492877493,0.030890512741978328,0.030890512741978328,0.07692307692307693,MALE,1912
tolstoi,25,4.0,3.0,1.0,1.0,0.0,0.014245014245014245,0.013946673991815033,0.013946673991815033,0.04,MALE,1912
soldat,3,2.0,2.0,0.0,0.0,0.0,0.0,0.008597392737882414,0.008597392737882414,0.0,MALE,1912
offizier,5,1.0,1.0,0.0,0.0,0.0,0.0,0.00906921259057445,0.00906921259057445,0.0,MALE,1912
alle_3,1,,,,,,,,,,,1912
