,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
guenther,136,19.0,8.0,11.0,40.0,0.270439084724799,0.22340239125953412,0.14155459321121533,0.14155459321121533,3.235294117647059,MALE,1799
ritter_hanns,43,12.0,6.0,6.0,11.0,0.15852401566687283,0.19464028035456607,0.07210244886787097,0.07210244886787097,1.5348837209302326,MALE,1799
bodo,11,6.0,2.0,4.0,4.0,0.05951092558235416,0.0881364667078953,0.018585267407306177,0.018585267407306177,1.4545454545454546,MALE,1799
bertha,7,5.0,3.0,2.0,5.0,0.002507215007215007,0.0,0.041373317746836405,0.041373317746836405,1.4285714285714286,FEMALE,1799
frowald,17,5.0,1.0,4.0,6.0,0.001875901875901876,0.004329004329004329,0.010962806619337333,0.010962806619337333,1.411764705882353,MALE,1799
veit,34,11.0,6.0,5.0,9.0,0.09843073593073594,0.09714491857349,0.057243475300598534,0.057243475300598534,1.3235294117647058,MALE,1799
hans,42,10.0,6.0,4.0,12.0,0.0477092352092352,0.08990414347557206,0.05059554636935684,0.05059554636935684,1.1428571428571428,MALE,1799
kaesperle,136,15.0,10.0,5.0,30.0,0.10792104720676149,0.04527417027417028,0.16394847520588893,0.16394847520588893,1.1029411764705883,MALE,1799
jeriel,46,11.0,6.0,5.0,10.0,0.0840110286538858,0.18620387548958975,0.10090256494210367,0.10090256494210367,1.0869565217391304,UNKNOWN,1799
marie,53,10.0,5.0,5.0,8.0,0.0929241393527108,0.14210472067614924,0.09494792468227514,0.09494792468227514,0.7547169811320754,FEMALE,1799
eckard,12,3.0,0.0,3.0,3.0,0.0,0.0,0.007954737262802406,0.007954737262802406,0.75,MALE,1799
mathilde,28,7.0,4.0,3.0,7.0,0.021057513914656774,0.012590187590187589,0.05993211849252819,0.05993211849252819,0.75,FEMALE,1799
otto_von_loebenstein,19,6.0,3.0,3.0,4.0,0.007470109255823542,0.10396825396825396,0.03625404423584934,0.03625404423584934,0.631578947368421,MALE,1799
wallberg,8,3.0,1.0,2.0,2.0,0.0018037518037518035,0.009688723974438259,0.01190419339581554,0.01190419339581554,0.5,MALE,1799
alle_publikum_des_kampfes,2,1.0,0.0,1.0,1.0,0.0,0.0,0.007954737262802406,0.007954737262802406,0.5,,1799
burgvogt_berthold,7,1.0,0.0,1.0,3.0,0.0,0.0,0.007954737262802406,0.007954737262802406,0.42857142857142855,MALE,1799
maertchen,17,4.0,2.0,2.0,3.0,0.0,0.0,0.025935201409018626,0.025935201409018626,0.35294117647058826,FEMALE,1799
fuerchterlicher_chor_geister-chor,3,1.0,0.0,1.0,1.0,0.0,0.0,0.007954737262802406,0.007954737262802406,0.3333333333333333,,1799
kilian,11,2.0,1.0,1.0,3.0,0.0,0.0,0.010962806619337333,0.010962806619337333,0.2727272727272727,MALE,1799
ritter_boodsheim,6,1.0,0.0,1.0,1.0,0.0,0.0,0.007954737262802406,0.007954737262802406,0.16666666666666666,MALE,1799
fust,18,4.0,3.0,1.0,1.0,0.004689754689754689,0.014831993403421973,0.024246212353666873,0.024246212353666873,0.05555555555555555,MALE,1799
erster_knappe,5,2.0,2.0,0.0,0.0,0.0,0.0,0.020732402921557248,0.020732402921557248,0.0,MALE,1799
geister_mit_pritschen_chor,1,1.0,1.0,0.0,0.0,0.0,0.0,0.01804291390542541,0.01804291390542541,0.0,,1799
rudolph,1,,,,,,,,,,MALE,1799
eine_stimme_2-8,1,,,,,,,,,,UNKNOWN,1799
stimme_geist_2-14,4,,,,,,,,,,UNKNOWN,1799
zweiter_knappe,2,,,,,,,,,,MALE,1799
dritter_knappe,1,,,,,,,,,,MALE,1799
knecht,1,,,,,,,,,,MALE,1799
knechte_des_ritter_boodsheim,1,,,,,,,,,,,1799
eine_dumpfe_majestaetische_harmonie,2,,,,,,,,,,,1799
ein_schwarzer_geist,1,,,,,,,,,,UNKNOWN,1799
geister-chor,2,,,,,,,,,,,1799
sphaeren-chor,1,,,,,,,,,,,1799
schluss-chor,0,,,,,,,,,,,1799
