,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
graefin,53,12.0,6.0,11.0,6.0,24.0,0.12878787878787878,0.18181818181818182,0.06536684902230845,0.06536684902230845,2.716981132075472,FEMALE,1883
don_juan,203,17.0,8.0,49.0,9.0,61.0,0.4166666666666667,0.3712121212121212,0.26164721297739196,0.26164721297739196,2.704433497536946,MALE,1883
gianotto,109,13.0,7.0,39.0,6.0,37.0,0.09090909090909091,0.12121212121212122,0.17361482030945724,0.17361482030945724,2.0366972477064222,MALE,1883
ghita,78,10.0,5.0,25.0,5.0,26.0,0.007575757575757576,0.0,0.11905749498976648,0.11905749498976648,1.6666666666666665,FEMALE,1883
wirth,17,8.0,4.0,6.0,4.0,6.0,0.030303030303030304,0.1452020202020202,0.043529559329000544,0.043529559329000544,1.411764705882353,MALE,1883
martina,33,7.0,3.0,15.0,4.0,7.0,0.0,0.15656565656565657,0.06697998447374467,0.06697998447374467,0.8484848484848485,FEMALE,1883
der_alte_fischer,11,4.0,1.0,1.0,3.0,3.0,0.005681818181818182,0.06818181818181818,0.018261965841036426,0.018261965841036426,0.8181818181818181,MALE,1883
biondetta,39,6.0,3.0,15.0,3.0,7.0,0.015151515151515152,0.0,0.0778941614375749,0.0778941614375749,0.5384615384615384,FEMALE,1883
der_moench,19,2.0,1.0,10.0,1.0,6.0,0.0,0.0,0.05107465157190693,0.05107465157190693,0.3157894736842105,MALE,1883
leporello,35,3.0,2.0,11.0,1.0,7.0,0.00946969696969697,0.0,0.057241289300154735,0.057241289300154735,0.2,MALE,1883
erster_strolch,7,2.0,1.0,1.0,1.0,1.0,0.07575757575757576,0.07575757575757576,0.018261965841036426,0.018261965841036426,0.14285714285714285,MALE,1883
zweiter_strolch,4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03013885968150102,0.03013885968150102,0.0,MALE,1883
diener,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.01693118522512059,0.01693118522512059,0.0,MALE,1883
