,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
zweite_frau,7,4.0,1.0,3.0,4.0,0.007352941176470588,0.007352941176470588,0.0834139696741719,0.0834139696741719,1.7142857142857142,FEMALE,1894
der_kleine_eumelos,3,3.0,1.0,2.0,2.0,0.0,0.0,0.038127812804025565,0.038127812804025565,1.3333333333333333,MALE,1894
herakles,49,8.0,4.0,4.0,13.0,0.07720588235294118,0.07720588235294118,0.1277767839891356,0.1277767839891356,1.0612244897959184,MALE,1894
ein_aelterer,1,1.0,0.0,1.0,1.0,0.0,0.0,0.021923459967228262,0.021923459967228262,1.0,MALE,1894
pheres,9,3.0,1.0,2.0,4.0,0.0,0.0,0.04003481623833986,0.04003481623833986,0.8888888888888888,MALE,1894
admet,53,7.0,3.0,4.0,10.0,0.058823529411764705,0.058823529411764705,0.10653674296792973,0.10653674296792973,0.7547169811320755,MALE,1894
ein_juengling_a,3,2.0,1.0,1.0,2.0,0.0,0.0,0.030277906932147713,0.030277906932147713,0.6666666666666666,MALE,1894
erster_mann,7,5.0,3.0,2.0,2.0,0.022058823529411763,0.025735294117647058,0.07691880786630469,0.07691880786630469,0.5714285714285714,MALE,1894
dritter_mann,2,1.0,0.0,1.0,1.0,0.0,0.0,0.021923459967228262,0.021923459967228262,0.5,MALE,1894
irgendeiner,2,2.0,1.0,1.0,1.0,0.0,0.029411764705882353,0.030979138102784066,0.030979138102784066,0.5,MALE,1894
alkestis,12,2.0,1.0,1.0,3.0,0.0,0.0,0.04003481623833986,0.04003481623833986,0.25,FEMALE,1894
zweiter_mann,5,1.0,0.0,1.0,1.0,0.0,0.0,0.021923459967228262,0.021923459967228262,0.2,MALE,1894
erste_frau,7,3.0,2.0,1.0,1.0,0.011029411764705881,0.011029411764705881,0.07234006034408237,0.07234006034408237,0.14285714285714285,FEMALE,1894
ein_junger_mann,1,1.0,1.0,0.0,0.0,0.0,0.0,0.030277906932147713,0.030277906932147713,0.0,MALE,1894
die_aelteren_frauen,1,1.0,1.0,0.0,0.0,0.0,0.0,0.038127812804025565,0.038127812804025565,0.0,,1894
ein_sehr_alter_mann,2,1.0,1.0,0.0,0.0,0.0,0.0,0.040558318659318804,0.040558318659318804,0.0,MALE,1894
sklavin,5,2.0,2.0,0.0,0.0,0.0,0.0,0.09006569085897771,0.09006569085897771,0.0,FEMALE,1894
der_alte_sklave,14,1.0,1.0,0.0,0.0,0.0,0.0,0.08875903568658385,0.08875903568658385,0.0,MALE,1894
dritte_frau,2,,,,,,,,,,FEMALE,1894
mehrere,1,,,,,,,,,,,1894
andere,1,,,,,,,,,,,1894
die_maenner_und_frauen,1,,,,,,,,,,,1894
ein_edler,1,,,,,,,,,,MALE,1894
die_juengeren_frauen,1,,,,,,,,,,,1894
gesang_der_sklavinnen,1,,,,,,,,,,,1894
einer_oder_mehrere,1,,,,,,,,,,,1894
stimmen,1,,,,,,,,,,,1894
der_koenig,2,,,,,,,,,,MALE,1894
der_sklave,1,,,,,,,,,,MALE,1894
ein_juengling_b,1,,,,,,,,,,MALE,1894
