,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
waldner,69,12,5,7,22,0.22916666666666669,0.36875,0.12363685896799953,0.12363685896799953,2.231884057971014,MALE,1928
arabella,119,16,9,7,31,0.3034722222222222,0.2875,0.18857626133683694,0.18857626133683694,1.823529411764706,FEMALE,1928
adelaide,64,12,6,6,19,0.1638888888888889,0.30625,0.13801887147715425,0.13801887147715425,1.78125,FEMALE,1928
mandryka,94,13,7,6,26,0.2569444444444445,0.24583333333333332,0.18016377134935505,0.18016377134935505,1.6595744680851063,MALE,1928
matteo,52,4,2,2,18,0.0,0.0,0.061952177241091796,0.061952177241091796,0.6923076923076923,MALE,1928
welko,3,1,0,1,2,0.0,0.0,0.010396525027609488,0.010396525027609488,0.6666666666666666,MALE,1928
zdenka,82,8,4,4,13,0.03819444444444444,0.1125,0.10467353017098513,0.10467353017098513,0.6341463414634146,FEMALE,1928
die_gaeste,2,1,0,1,1,0.0,0.0,0.010396525027609488,0.010396525027609488,0.5,,1928
piccolo,2,2,1,1,1,0.0,0.0,0.016286552845128817,0.016286552845128817,0.5,MALE,1928
die_drei_spieler,2,2,1,1,1,0.0,0.1,0.015173365140467012,0.015173365140467012,0.5,,1928
lamoral,6,2,1,1,2,0.0,0.0,0.015567103535945669,0.015567103535945669,0.3333333333333333,MALE,1928
dominik,3,1,0,1,1,0.0,0.0,0.010396525027609488,0.010396525027609488,0.3333333333333333,MALE,1928
zimmerkellner,7,2,1,1,2,0.0,0.0,0.01995020525332454,0.01995020525332454,0.2857142857142857,MALE,1928
elemer,17,2,1,1,4,0.0,0.0,0.02590826055261803,0.02590826055261803,0.23529411764705882,MALE,1928
kartenaufschlaegerin,18,2,1,1,2,0.0,0.0,0.04744354906066885,0.04744354906066885,0.1111111111111111,FEMALE,1928
die_fiakermilli,4,1,1,0,0,0.0,0.0,0.016286552845128817,0.016286552845128817,0.0,FEMALE,1928
einer_der_spieler,1,1,1,0,0,0.0,0.0,0.015173365140467012,0.015173365140467012,0.0,MALE,1928
