,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
primadonna_ariadne,22,5,3,9,2,8,0.027777777777777776,0.027777777777777776,0.22932291396078874,0.22932291396078874,0.7272727272727273,FEMALE,1912
najade,29,5,2,6,3,6,0.013888888888888888,0.013888888888888888,0.08608932136135121,0.08608932136135121,0.6206896551724138,FEMALE,1912
der_tenor_bacchus,16,2,1,7,1,7,0.0,0.0,0.1880843445435714,0.1880843445435714,0.4375,MALE,1912
truffaldin,4,2,1,1,1,1,0.013888888888888888,0.013888888888888888,0.11683944211909394,0.11683944211909394,0.25,MALE,1912
dryade,24,2,1,4,1,5,0.0,0.0,0.06631177947511203,0.06631177947511203,0.20833333333333334,FEMALE,1912
zerbinetta,30,1,0,0,1,4,0.0,0.0,0.017526479281467826,0.017526479281467826,0.13333333333333333,FEMALE,1912
brighella,8,2,1,1,1,1,0.013888888888888888,0.013888888888888888,0.11683944211909394,0.11683944211909394,0.125,MALE,1912
scaramuccio,10,2,1,1,1,1,0.013888888888888888,0.013888888888888888,0.11683944211909394,0.11683944211909394,0.1,MALE,1912
harlekin,21,2,1,4,1,1,0.027777777777777776,0.027777777777777776,0.032424030690548035,0.032424030690548035,0.047619047619047616,MALE,1912
echo,13,1,1,1,0,0,0.0,0.0,0.02972280432987888,0.02972280432987888,0.0,FEMALE,1912
