,speeches,degree,indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
elis,197,22.0,11.0,11.0,83.0,0.46031746031746035,0.4458874458874459,0.22818869144353654,0.22818869144353654,4.634517766497462,MALE,1899
frau_jensen,17,7.0,2.0,5.0,9.0,0.19264069264069264,0.22077922077922077,0.03222443871696245,0.03222443871696245,2.6470588235294117,FEMALE,1899
anna,171,14.0,8.0,6.0,66.0,0.19191919191919193,0.19047619047619047,0.18853305954660898,0.18853305954660898,2.3157894736842106,FEMALE,1899
dahlsjoe,61,7.0,3.0,4.0,24.0,0.04725829725829726,0.05627705627705628,0.06925243557203299,0.06925243557203299,1.5737704918032787,MALE,1899
portugieser,7,2.0,0.0,2.0,4.0,0.0,0.0,0.008023501251377805,0.008023501251377805,1.1428571428571428,MALE,1899
zweite_magd,2,1.0,0.0,1.0,2.0,0.0,0.0,0.008023501251377805,0.008023501251377805,1.0,FEMALE,1899
torbern,33,5.0,2.0,3.0,8.0,0.002886002886002886,0.047619047619047616,0.04476885570677572,0.04476885570677572,0.7272727272727273,MALE,1899
koenigin,30,6.0,3.0,3.0,6.0,0.0,0.0735930735930736,0.0449347495598251,0.0449347495598251,0.6000000000000001,FEMALE,1899
grossmutter,21,5.0,2.0,3.0,4.0,0.0,0.16233766233766234,0.037234490061644296,0.037234490061644296,0.5714285714285714,FEMALE,1899
die_gaeste,2,1.0,0.0,1.0,1.0,0.0,0.0,0.008023501251377805,0.008023501251377805,0.5,,1899
ilsebill,24,5.0,3.0,2.0,5.0,0.03463203463203463,0.03463203463203463,0.035078168393196205,0.035078168393196205,0.4166666666666667,FEMALE,1899
kathrine,3,1.0,0.0,1.0,1.0,0.0,0.0,0.008023501251377805,0.008023501251377805,0.3333333333333333,FEMALE,1899
kind,40,2.0,1.0,1.0,13.0,0.0,0.0,0.03716064844032678,0.03716064844032678,0.325,FEMALE,1899
regine,4,4.0,3.0,1.0,1.0,0.0367965367965368,0.22077922077922077,0.02022380199346175,0.02022380199346175,0.25,FEMALE,1899
des_fischers_frau,12,2.0,1.0,1.0,3.0,0.0,0.0,0.06280036673190524,0.06280036673190524,0.25,FEMALE,1899
erste_magd,4,2.0,1.0,1.0,1.0,0.03896103896103896,0.03896103896103896,0.014843483395484535,0.014843483395484535,0.25,FEMALE,1899
erstes_maedchen,6,2.0,1.0,1.0,1.0,0.003246753246753247,0.03463203463203463,0.011066931115720657,0.011066931115720657,0.16666666666666666,FEMALE,1899
der_bursch,7,2.0,1.0,1.0,1.0,0.0,0.0,0.022044833653184003,0.022044833653184003,0.14285714285714285,MALE,1899
der_fischer,17,3.0,2.0,1.0,2.0,0.03896103896103896,0.03896103896103896,0.0644383659818136,0.0644383659818136,0.11764705882352941,MALE,1899
peter,9,3.0,2.0,1.0,1.0,0.0,0.07142857142857142,0.014476922187774023,0.014476922187774023,0.1111111111111111,MALE,1899
des_fischers_sohn,6,1.0,1.0,0.0,0.0,0.0,0.0,0.01036038998501217,0.01036038998501217,0.0,MALE,1899
handwerksbursch,7,2.0,2.0,0.0,0.0,0.0,0.0,0.01979915178499435,0.01979915178499435,0.0,MALE,1899
knecht,1,1.0,1.0,0.0,0.0,0.0,0.0,0.010476210724229391,0.010476210724229391,0.0,MALE,1899
zweites_maedchen,5,,,,,,,,,,FEMALE,1899
klaus,2,,,,,,,,,,MALE,1899
christian,7,,,,,,,,,,MALE,1899
die_bergleute,1,,,,,,,,,,,1899
