,speeches,degree,indegree,weighted_indegree,outdegree,weighted_outdegree,betweenness,betweenness_weighted,pagerank,pagerank_weighted,request_value,gender,year
bettler,93,15.0,9.0,35.0,6.0,36.0,0.4305555555555556,0.3358585858585859,0.2844637340550047,0.2844637340550047,2.32258064516129,MALE,1922
welt,37,8.0,3.0,4.0,5.0,14.0,0.13888888888888892,0.13636363636363635,0.04424789098515,0.04424789098515,1.891891891891892,UNKNOWN,1922
weisheit,63,10.0,5.0,21.0,5.0,22.0,0.07702020202020202,0.08712121212121214,0.14599438331845885,0.14599438331845885,1.746031746031746,UNKNOWN,1922
reicher,33,9.0,4.0,9.0,5.0,10.0,0.18055555555555555,0.3737373737373737,0.07127758460951204,0.07127758460951204,1.5151515151515151,MALE,1922
koenig,23,6.0,1.0,2.0,5.0,6.0,0.05934343434343435,0.0946969696969697,0.024650970517906462,0.024650970517906462,1.3043478260869565,MALE,1922
bauer,44,6.0,2.0,12.0,4.0,11.0,0.0,0.0,0.09365117691578119,0.09365117691578119,1.0,MALE,1922
widersacher,22,7.0,3.0,5.0,4.0,5.0,0.09217171717171717,0.39141414141414144,0.04223377271084788,0.04223377271084788,0.9090909090909091,UNKNOWN,1922
schoenheit,27,5.0,2.0,8.0,3.0,8.0,0.00505050505050505,0.0,0.05807782634562448,0.05807782634562448,0.8888888888888888,FEMALE,1922
engel,36,8.0,5.0,14.0,3.0,8.0,0.07702020202020202,0.03787878787878788,0.09515772988745506,0.09515772988745506,0.6666666666666666,UNKNOWN,1922
meister,13,4.0,2.0,4.0,2.0,3.0,0.021464646464646468,0.03787878787878788,0.027772958557985707,0.027772958557985707,0.46153846153846156,MALE,1922
vorwitz,28,6.0,4.0,7.0,2.0,3.0,0.05681818181818182,0.1893939393939394,0.04406215435916551,0.04406215435916551,0.21428571428571427,UNKNOWN,1922
tod,18,5.0,4.0,6.0,1.0,2.0,0.00505050505050505,0.03535353535353536,0.05318968278307458,0.05318968278307458,0.1111111111111111,UNKNOWN,1922
propheten,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.015220134954033692,0.015220134954033692,0.0,,1922
